epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,186.319,1.83575,0.83584,0.71373,0.55912,0.06137,0.02524,0.00675,1.1737,0.61273,0.38204,0.000332428,0.000332428,0.000332428
2,397.174,1.25653,0.53188,0.33052,0.73256,0.10427,0.07597,0.03158,nan,nan,nan,0.000661367,0.000661367,0.000661367
3,586.565,1.1241,0.5945,0.26568,0.75517,0.11388,0.08368,0.03515,0.90673,0.74664,0.2161,0.000985906,0.000985906,0.000985906
4,754.993,1.03599,0.59746,0.2203,0.53534,0.1774,0.14,0.06202,0.83262,0.71544,0.18992,0.0009802,0.0009802,0.0009802
5,919.892,0.98334,0.60773,0.20841,0.46712,0.20481,0.1701,0.0843,0.76819,0.70965,0.16426,0.0009736,0.0009736,0.0009736
6,1083.78,0.93456,0.58859,0.18459,0.42212,0.25792,0.21646,0.10499,0.72735,0.68018,0.15483,0.000967,0.000967,0.000967
7,1248.6,0.91733,0.58458,0.18183,0.2987,0.31879,0.22595,0.10815,0.75351,0.65077,0.16631,0.0009604,0.0009604,0.0009604
8,1412.81,0.89338,0.57355,0.17258,0.40778,0.33364,0.27361,0.14385,0.6887,0.67076,0.13482,0.0009538,0.0009538,0.0009538
9,1577.87,0.8538,0.5687,0.15671,0.36476,0.31368,0.27256,0.13179,0.71638,0.61975,0.16727,0.0009472,0.0009472,0.0009472
10,1742.92,0.81833,0.55854,0.14422,0.3988,0.37802,0.32812,0.17612,0.64751,0.65176,0.12574,0.0009406,0.0009406,0.0009406
11,1907.5,0.78866,0.56824,0.13767,0.3815,0.41088,0.34603,0.19046,0.63496,0.6102,0.11855,0.000934,0.000934,0.000934
12,2072.45,0.77637,0.55615,0.13142,0.40112,0.37219,0.31505,0.16312,0.6694,0.63715,0.13567,0.0009274,0.0009274,0.0009274
13,2237.1,0.77195,0.54916,0.12861,0.423,0.39772,0.33948,0.17657,0.67873,0.61239,0.13165,0.0009208,0.0009208,0.0009208
14,2402.21,0.73493,0.544,0.11939,0.52139,0.41123,0.40417,0.21877,0.62347,0.58799,0.12372,0.0009142,0.0009142,0.0009142
15,2566.75,0.72011,0.53898,0.11639,0.48619,0.46165,0.42569,0.23999,0.60336,0.54924,0.11326,0.0009076,0.0009076,0.0009076
16,2731.73,0.70025,0.5304,0.10923,0.51138,0.43723,0.43112,0.23951,0.5798,0.55217,0.1052,0.000901,0.000901,0.000901
17,2896.32,0.69006,0.52929,0.1072,0.55224,0.48755,0.49144,0.27831,0.5586,0.54299,0.09805,0.0008944,0.0008944,0.0008944
18,3061.47,0.68542,0.53162,0.10517,0.59336,0.48973,0.50143,0.28406,0.5681,0.53647,0.09976,0.0008878,0.0008878,0.0008878
19,3226.29,0.65597,0.5154,0.09752,0.62256,0.51575,0.54004,0.29744,0.55226,0.52774,0.09519,0.0008812,0.0008812,0.0008812
20,3395.33,0.66878,0.52173,0.10077,0.57375,0.53533,0.5213,0.30205,0.55925,0.54424,0.09591,0.0008746,0.0008746,0.0008746
21,3560.01,0.67054,0.51954,0.1009,0.61025,0.51187,0.52118,0.29782,0.55421,0.53419,0.09937,0.000868,0.000868,0.000868
22,3724.75,0.64472,0.51719,0.09628,0.63701,0.53865,0.56081,0.3215,0.54011,0.50903,0.09074,0.0008614,0.0008614,0.0008614
23,3889.9,0.64167,0.51033,0.09636,0.61264,0.51356,0.54366,0.31637,0.5523,0.51761,0.09729,0.0008548,0.0008548,0.0008548
24,4054.97,0.62879,0.50599,0.09075,0.60351,0.56867,0.56316,0.32696,0.5332,0.50304,0.09196,0.0008482,0.0008482,0.0008482
25,4220.36,0.62195,0.49611,0.09039,0.64503,0.59167,0.60037,0.35631,0.51269,0.49104,0.08482,0.0008416,0.0008416,0.0008416
26,4385.53,0.60074,0.48739,0.08608,0.62377,0.58662,0.60039,0.35814,0.51984,0.49033,0.08938,0.000835,0.000835,0.000835
27,4551.02,0.61445,0.48797,0.08781,0.65938,0.60418,0.6253,0.37299,0.50973,0.47925,0.08504,0.0008284,0.0008284,0.0008284
28,4715.99,0.61134,0.48741,0.0872,0.68865,0.61729,0.63514,0.37027,0.50269,0.47971,0.08374,0.0008218,0.0008218,0.0008218
29,4881.54,0.60774,0.48235,0.08576,0.68524,0.60864,0.64357,0.38934,0.49589,0.46554,0.08194,0.0008152,0.0008152,0.0008152
30,5046.62,0.59347,0.48174,0.0835,0.64705,0.62621,0.62996,0.37404,0.50134,0.47712,0.08467,0.0008086,0.0008086,0.0008086
31,5212.28,0.58803,0.47988,0.08174,0.70001,0.62999,0.66394,0.39294,0.49196,0.45575,0.07786,0.000802,0.000802,0.000802
32,5377.36,0.59571,0.47411,0.08204,0.67895,0.62063,0.64269,0.39232,0.49509,0.47344,0.08017,0.0007954,0.0007954,0.0007954
33,5542.8,0.57908,0.4685,0.07997,0.70547,0.63384,0.65247,0.39285,0.48772,0.46567,0.07772,0.0007888,0.0007888,0.0007888
34,5707.46,0.57746,0.46883,0.07766,0.73279,0.64151,0.68621,0.41155,0.4806,0.45097,0.07557,0.0007822,0.0007822,0.0007822
35,5872.61,0.57934,0.46832,0.07731,0.74004,0.66757,0.70736,0.4285,0.48045,0.45743,0.07728,0.0007756,0.0007756,0.0007756
36,6037.56,0.56515,0.46699,0.07576,0.74601,0.64284,0.70254,0.42703,0.47226,0.45717,0.07588,0.000769,0.000769,0.000769
37,6202.44,0.56557,0.47617,0.07886,0.72036,0.64448,0.6956,0.42006,0.48384,0.45198,0.07766,0.0007624,0.0007624,0.0007624
38,6369.27,0.56193,0.463,0.07549,0.75943,0.65231,0.70879,0.42844,nan,nan,nan,0.0007558,0.0007558,0.0007558
39,6538.22,0.55289,0.46172,0.07557,0.74675,0.65573,0.69723,0.42739,0.47197,0.46062,0.0769,0.0007492,0.0007492,0.0007492
40,6703.43,0.55253,0.46314,0.07513,0.72626,0.67355,0.69974,0.42797,0.47285,0.44095,0.07451,0.0007426,0.0007426,0.0007426
41,6868.19,0.55401,0.4659,0.07397,0.72471,0.70307,0.71804,0.43447,0.47202,0.44802,0.07422,0.000736,0.000736,0.000736
42,7033.75,0.55498,0.46408,0.0741,0.7568,0.66014,0.71675,0.43723,0.47411,0.45171,0.07643,0.0007294,0.0007294,0.0007294
43,7198.73,0.536,0.45386,0.07049,0.74663,0.68373,0.73003,0.4502,0.46127,0.43667,0.0719,0.0007228,0.0007228,0.0007228
44,7364.47,0.54638,0.45324,0.07194,0.77157,0.70248,0.7498,0.46195,0.4597,0.43726,0.07157,0.0007162,0.0007162,0.0007162
45,7529.73,0.534,0.45245,0.07163,0.76038,0.6957,0.7455,0.45913,0.45825,0.43972,0.07125,0.0007096,0.0007096,0.0007096
46,7695.84,0.53439,0.45135,0.06927,0.74188,0.71382,0.75105,0.47017,0.45181,0.43898,0.07124,0.000703,0.000703,0.000703
47,7864.16,0.52833,0.45058,0.06878,0.7419,0.72252,0.74459,0.46657,nan,nan,nan,0.0006964,0.0006964,0.0006964
48,8029.38,0.53015,0.45223,0.06988,0.77146,0.72325,0.76397,0.47457,0.44942,0.43314,0.06927,0.0006898,0.0006898,0.0006898
49,8194.55,0.52802,0.45114,0.06955,0.78998,0.69267,0.74158,0.46212,0.45213,0.43486,0.07176,0.0006832,0.0006832,0.0006832
