epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,4585.06,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000332428,0.000332428,0.000332428
2,7425.12,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000661367,0.000661367,0.000661367
3,8156.8,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000985906,0.000985906,0.000985906
4,8450.35,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0009802,0.0009802,0.0009802
5,8745.38,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0009736,0.0009736,0.0009736
6,9043.61,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000967,0.000967,0.000967
7,9329.63,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0009604,0.0009604,0.0009604
8,9622.67,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0009538,0.0009538,0.0009538
9,9923.65,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0009472,0.0009472,0.0009472
10,10228.5,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0009406,0.0009406,0.0009406
11,10523.2,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000934,0.000934,0.000934
12,10823.4,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0009274,0.0009274,0.0009274
13,11124.5,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0009208,0.0009208,0.0009208
14,11416.9,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0009142,0.0009142,0.0009142
15,11705.3,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0009076,0.0009076,0.0009076
16,11985.6,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000901,0.000901,0.000901
17,12287.4,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0008944,0.0008944,0.0008944
18,12586.5,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0008878,0.0008878,0.0008878
19,12887.7,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0008812,0.0008812,0.0008812
20,13168.2,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0008746,0.0008746,0.0008746
21,13469.2,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000868,0.000868,0.000868
22,13755.2,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0008614,0.0008614,0.0008614
23,14050.5,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0008548,0.0008548,0.0008548
24,14331.4,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0008482,0.0008482,0.0008482
25,14626.4,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0008416,0.0008416,0.0008416
26,14918.9,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000835,0.000835,0.000835
27,15219.4,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0008284,0.0008284,0.0008284
