epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,624.055,2.07301,0.61367,0.88149,0.00652,0.03368,0.00199,0.00045,1.551,0.38372,0.57363,0.000332428,0.000332428,0.000332428
2,835.776,1.49053,0.4208,0.42617,0.56735,0.07445,0.03828,0.01118,1.13205,0.60308,0.34138,0.000661367,0.000661367,0.000661367
3,1555.8,1.30724,0.47189,0.34171,0.76513,0.09008,0.0652,0.02128,nan,nan,nan,0.000985906,0.000985906,0.000985906
4,1859.86,1.19886,0.51269,0.28871,0.41296,0.13385,0.10218,0.04005,0.97371,0.65749,0.23706,0.0009802,0.0009802,0.0009802
5,2070.28,1.0838,0.55854,0.24082,0.49832,0.18561,0.15542,0.05955,0.88239,0.65254,0.19955,0.0009736,0.0009736,0.0009736
6,2279.66,1.04293,0.56333,0.22278,0.3048,0.26898,0.1862,0.07863,0.84452,0.65179,0.19039,0.000967,0.000967,0.000967
7,2824.46,0.9772,0.56632,0.19936,0.34021,0.29465,0.24346,0.1048,0.75373,0.68611,0.15028,0.0009604,0.0009604,0.0009604
8,3034.51,0.95572,0.5645,0.18764,0.35242,0.32406,0.2344,0.10741,0.74892,0.66356,0.15136,0.0009538,0.0009538,0.0009538
9,3244.27,0.92065,0.54733,0.17464,0.46529,0.34758,0.3129,0.14645,0.72372,0.59698,0.14027,0.0009472,0.0009472,0.0009472
10,3453.94,0.88123,0.54147,0.16068,0.39757,0.37995,0.33145,0.16392,0.68806,0.61768,0.13261,0.0009406,0.0009406,0.0009406
11,3666.57,0.85536,0.54558,0.1535,0.53386,0.32055,0.33947,0.17998,0.68318,0.59784,0.12474,0.000934,0.000934,0.000934
12,3876.45,0.84169,0.54719,0.14962,0.36982,0.39478,0.32952,0.16751,0.70623,0.60672,0.1362,0.0009274,0.0009274,0.0009274
13,4087.92,0.82121,0.53126,0.14163,0.42252,0.40369,0.36038,0.19369,0.65598,0.57422,0.12088,0.0009208,0.0009208,0.0009208
14,4297.89,0.78729,0.54144,0.13025,0.43397,0.39774,0.3621,0.19396,0.64183,0.57814,0.1194,0.0009142,0.0009142,0.0009142
15,4508.12,0.77105,0.53614,0.12745,0.53663,0.40721,0.42519,0.23067,0.62482,0.56018,0.11301,0.0009076,0.0009076,0.0009076
16,4719.4,0.74855,0.53874,0.12133,0.52265,0.39893,0.38577,0.20844,0.65704,0.60006,0.12677,0.000901,0.000901,0.000901
17,4929.05,0.75212,0.5417,0.12096,0.54071,0.46017,0.46437,0.25089,0.61491,0.55043,0.10721,0.0008944,0.0008944,0.0008944
18,5138.61,0.73222,0.52021,0.11536,0.54234,0.47823,0.46795,0.2596,0.60163,0.5402,0.10881,0.0008878,0.0008878,0.0008878
19,5348.84,0.71944,0.52088,0.1117,0.6063,0.48248,0.50849,0.27358,0.58537,0.52631,0.09867,0.0008812,0.0008812,0.0008812
20,5558.19,0.71089,0.52399,0.10926,0.55008,0.50102,0.50985,0.27438,0.58726,0.51844,0.10057,0.0008746,0.0008746,0.0008746
21,5770.66,0.70474,0.51466,0.10748,0.55399,0.51082,0.51607,0.27334,0.57874,0.52164,0.09906,0.000868,0.000868,0.000868
22,5980.61,0.67613,0.51179,0.10164,0.63754,0.51135,0.53767,0.29723,0.56961,0.49938,0.09823,0.0008614,0.0008614,0.0008614
23,6190.62,0.67398,0.512,0.10145,0.59549,0.54242,0.53901,0.30529,0.55477,0.49979,0.09057,0.0008548,0.0008548,0.0008548
24,6402.37,0.65862,0.5078,0.09738,0.58907,0.52159,0.5308,0.30663,0.5652,0.50704,0.09837,0.0008482,0.0008482,0.0008482
25,6612.33,0.66095,0.5067,0.09788,0.60791,0.53665,0.55705,0.31674,0.55864,0.50159,0.09243,0.0008416,0.0008416,0.0008416
26,6823.87,0.64312,0.50533,0.09497,0.6306,0.54746,0.55873,0.32524,0.54415,0.50277,0.09304,0.000835,0.000835,0.000835
27,7033.8,0.64457,0.50922,0.09389,0.61028,0.56436,0.57963,0.33184,0.53426,0.48916,0.08977,0.0008284,0.0008284,0.0008284
28,7245.35,0.63303,0.49612,0.09003,0.68619,0.56058,0.60833,0.36295,0.52111,0.47578,0.08568,0.0008218,0.0008218,0.0008218
29,7455.39,0.62588,0.48677,0.08795,0.65566,0.57167,0.59137,0.34173,0.52714,0.51359,0.08897,0.0008152,0.0008152,0.0008152
30,7666.82,0.62996,0.49754,0.08934,0.65814,0.5843,0.59926,0.34984,0.52343,0.48794,0.08767,0.0008086,0.0008086,0.0008086
31,7877.14,0.62319,0.49073,0.08816,0.65754,0.59442,0.63338,0.36015,0.52488,0.48489,0.08501,0.000802,0.000802,0.000802
32,8086.77,0.61806,0.48452,0.08498,0.70108,0.59915,0.6379,0.36889,0.5054,0.47618,0.08196,0.0007954,0.0007954,0.0007954
33,8296.8,0.60755,0.48474,0.08481,0.67785,0.60218,0.6351,0.37087,0.52253,0.48041,0.08845,0.0007888,0.0007888,0.0007888
34,8508.12,0.6227,0.49418,0.08615,0.72074,0.61361,0.6586,0.40057,0.5074,0.46536,0.0821,0.0007822,0.0007822,0.0007822
35,8718.06,0.61646,0.48602,0.08387,0.70877,0.58145,0.61601,0.36446,0.51191,0.47527,0.08506,0.0007756,0.0007756,0.0007756
36,8929.4,0.6008,0.47945,0.08232,0.70726,0.64002,0.67663,0.40061,0.49394,0.46779,0.07913,0.000769,0.000769,0.000769
37,9139.26,0.59231,0.47588,0.08361,0.73682,0.62505,0.6911,0.4196,0.48779,0.45722,0.07681,0.0007624,0.0007624,0.0007624
