epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,192.975,1.85188,0.69012,0.71967,0.52914,0.05021,0.01162,0.00273,1.28421,0.53836,0.44336,0.000332428,0.000332428,0.000332428
2,378.326,1.28498,0.51968,0.33949,0.75996,0.09537,0.06883,0.02824,0.94917,0.71094,0.24088,0.000661367,0.000661367,0.000661367
3,564.281,1.1139,0.58085,0.25593,0.47238,0.15673,0.12323,0.05593,0.84072,0.73922,0.1945,0.000985906,0.000985906,0.000985906
4,748.068,1.04868,0.60417,0.22628,0.45652,0.18169,0.14876,0.0641,0.84986,0.69782,0.1936,0.0009802,0.0009802,0.0009802
5,933.827,1.01102,0.58302,0.21759,0.57743,0.20447,0.1734,0.08195,0.78088,0.72013,0.16443,0.0009736,0.0009736,0.0009736
6,1117.77,0.94348,0.58423,0.18614,0.42525,0.22574,0.19599,0.09512,0.74318,0.70286,0.14918,0.000967,0.000967,0.000967
7,1303.99,0.8958,0.58649,0.17283,0.38416,0.3215,0.27932,0.13667,0.7084,0.63798,0.14036,0.0009604,0.0009604,0.0009604
8,1490,0.86545,0.56894,0.15924,0.42629,0.32068,0.27337,0.14555,0.68119,0.64311,0.12851,0.0009538,0.0009538,0.0009538
9,1680.79,0.83233,0.56974,0.14709,0.46483,0.32396,0.30878,0.14526,0.67686,0.6503,0.14069,0.0009472,0.0009472,0.0009472
10,1879.65,0.80519,0.54949,0.13689,0.48594,0.38044,0.36003,0.18927,0.6508,0.58767,0.12015,0.0009406,0.0009406,0.0009406
11,2065.47,0.79257,0.54996,0.13454,0.45544,0.42344,0.38117,0.21154,0.61658,0.58815,0.11051,0.000934,0.000934,0.000934
12,2251.47,0.77972,0.54727,0.13118,0.54404,0.36221,0.37544,0.19409,0.63563,0.59285,0.11507,0.0009274,0.0009274,0.0009274
13,2453.98,0.75392,0.53833,0.12165,0.45739,0.40369,0.38632,0.20951,0.61069,0.59159,0.11169,0.0009208,0.0009208,0.0009208
14,2639.92,0.73124,0.54804,0.11557,0.54895,0.45842,0.46544,0.25159,0.58652,0.54332,0.10195,0.0009142,0.0009142,0.0009142
15,2825.42,0.7287,0.53546,0.1168,0.55814,0.47613,0.47391,0.26414,0.58634,0.5307,0.10083,0.0009076,0.0009076,0.0009076
16,3025.18,0.70152,0.5228,0.10877,0.54503,0.46045,0.46524,0.25143,0.58316,0.54066,0.10127,0.000901,0.000901,0.000901
17,3209.86,0.70206,0.51982,0.10888,0.56918,0.48693,0.50074,0.28896,0.55613,0.54027,0.09415,0.0008944,0.0008944,0.0008944
18,3396.45,0.68853,0.51996,0.10483,0.54916,0.48774,0.47551,0.26541,0.55777,0.57265,0.09444,0.0008878,0.0008878,0.0008878
19,3581.04,0.66509,0.51315,0.09947,0.63315,0.50889,0.54569,0.30023,0.55145,0.51384,0.09393,0.0008812,0.0008812,0.0008812
20,3767.74,0.65963,0.50626,0.09688,0.58661,0.54484,0.56919,0.33852,0.52787,0.50356,0.08545,0.0008746,0.0008746,0.0008746
21,3958.07,0.64612,0.4968,0.09352,0.63168,0.5718,0.58161,0.33758,0.52418,0.49604,0.08718,0.000868,0.000868,0.000868
22,4159.87,0.64696,0.51103,0.09545,0.59935,0.52615,0.54231,0.30603,0.57384,0.4974,0.09942,0.0008614,0.0008614,0.0008614
23,4347.13,0.62688,0.50175,0.09111,0.63869,0.54542,0.57399,0.33807,0.52165,0.49969,0.08667,0.0008548,0.0008548,0.0008548
24,4550.9,0.6167,0.49447,0.08738,0.64835,0.53074,0.56081,0.3253,0.52412,0.4934,0.08843,0.0008482,0.0008482,0.0008482
25,4736.74,0.61472,0.48997,0.08805,0.63683,0.58302,0.61112,0.36007,0.51405,0.49003,0.08524,0.0008416,0.0008416,0.0008416
26,4922.12,0.5983,0.49066,0.08606,0.61889,0.60552,0.62591,0.38042,0.51253,0.48054,0.08155,0.000835,0.000835,0.000835
27,5107.11,0.60191,0.48619,0.0854,0.66135,0.59208,0.6278,0.37945,0.50844,0.47283,0.08324,0.0008284,0.0008284,0.0008284
28,5292.63,0.59657,0.48461,0.08189,0.66497,0.62564,0.65102,0.3991,0.49655,0.48164,0.0798,0.0008218,0.0008218,0.0008218
29,5478.59,0.60063,0.48144,0.08319,0.67553,0.61682,0.63802,0.38565,0.49928,0.47129,0.08101,0.0008152,0.0008152,0.0008152
30,5663.84,0.59141,0.48109,0.08111,0.70048,0.61611,0.63519,0.37776,0.50758,0.4749,0.08578,0.0008086,0.0008086,0.0008086
31,5849.02,0.58588,0.47173,0.0801,0.70677,0.62106,0.66485,0.40171,0.49079,0.45457,0.07759,0.000802,0.000802,0.000802
32,6034.58,0.59243,0.47645,0.08007,0.70216,0.64077,0.66767,0.4047,0.49072,0.46608,0.07986,0.0007954,0.0007954,0.0007954
33,6221.08,0.57154,0.47307,0.07669,0.71553,0.6173,0.66454,0.4048,0.48474,0.46503,0.07633,0.0007888,0.0007888,0.0007888
34,6419.07,0.57193,0.46708,0.07646,0.64796,0.63535,0.64629,0.39769,0.4923,0.46579,0.07914,0.0007822,0.0007822,0.0007822
35,6615.92,0.5723,0.46676,0.07513,0.68413,0.67133,0.69319,0.43122,0.4767,0.45433,0.07429,0.0007756,0.0007756,0.0007756
36,6805.73,0.567,0.46961,0.07554,0.73236,0.65838,0.70437,0.44114,0.47634,0.4519,0.07641,0.000769,0.000769,0.000769
37,6992.92,0.55411,0.46625,0.07601,0.73039,0.66376,0.69483,0.42221,0.47681,0.45348,0.07513,0.0007624,0.0007624,0.0007624
38,7189.22,0.5532,0.46257,0.073,0.71233,0.6469,0.67806,0.41475,0.48831,0.45766,0.07519,0.0007558,0.0007558,0.0007558
39,7375.46,0.54841,0.46155,0.0736,0.75478,0.66442,0.71306,0.43522,0.4766,0.45073,0.0758,0.0007492,0.0007492,0.0007492
40,7559.67,0.5433,0.45994,0.07196,0.76381,0.6927,0.73739,0.45531,0.46608,0.44676,0.0724,0.0007426,0.0007426,0.0007426
41,7745.42,0.54469,0.46224,0.07163,0.7607,0.70732,0.73748,0.4567,0.45938,0.44314,0.07148,0.000736,0.000736,0.000736
42,7930.13,0.5439,0.45977,0.07129,0.76838,0.69226,0.72887,0.45564,0.45263,0.43552,0.07032,0.0007294,0.0007294,0.0007294
43,8116.48,0.53014,0.4492,0.0689,0.76952,0.66681,0.73158,0.45758,0.46244,0.44374,0.07135,0.0007228,0.0007228,0.0007228
44,8300.87,0.53798,0.45315,0.06939,0.74155,0.6875,0.72585,0.45203,0.45761,0.44311,0.07097,0.0007162,0.0007162,0.0007162
45,8487.37,0.52772,0.44667,0.07045,0.74617,0.72978,0.76324,0.47703,0.45433,0.43114,0.0676,0.0007096,0.0007096,0.0007096
46,8671.53,0.52633,0.446,0.0671,0.79422,0.71119,0.75342,0.46562,0.45523,0.43053,0.07139,0.000703,0.000703,0.000703
47,8869.04,0.52621,0.45089,0.067,0.79953,0.73194,0.77303,0.48298,0.4462,0.4297,0.06732,0.0006964,0.0006964,0.0006964
48,9055.28,0.51929,0.44185,0.06692,0.78464,0.71752,0.75249,0.47089,0.44671,0.43212,0.06784,0.0006898,0.0006898,0.0006898
49,9241.42,0.51684,0.43877,0.06671,0.83731,0.73397,0.79026,0.49122,0.44174,0.41648,0.06757,0.0006832,0.0006832,0.0006832
50,9426.19,0.50878,0.43546,0.06412,0.80703,0.73728,0.79605,0.49822,0.43626,0.42482,0.06588,0.0006766,0.0006766,0.0006766
51,9615.5,0.50966,0.43926,0.06397,0.80368,0.73173,0.78228,0.49495,0.43371,0.42405,0.06659,0.00067,0.00067,0.00067
52,9815.51,0.51491,0.44571,0.0656,0.77297,0.72247,0.76332,0.47822,0.44094,0.43059,0.06677,0.0006634,0.0006634,0.0006634
53,10012.3,0.50963,0.44192,0.0654,0.78468,0.7059,0.76475,0.48563,0.44202,0.43057,0.06737,0.0006568,0.0006568,0.0006568
54,10211.1,0.50977,0.43526,0.06276,0.78705,0.75001,0.78775,0.50033,0.43577,0.42246,0.06669,0.0006502,0.0006502,0.0006502
55,10396,0.50587,0.43765,0.06506,0.82036,0.73778,0.80121,0.50737,0.43429,0.42,0.06509,0.0006436,0.0006436,0.0006436
56,10582.3,0.50431,0.43799,0.06358,0.79042,0.74163,0.78818,0.49108,0.43558,0.42323,0.06725,0.000637,0.000637,0.000637
57,10767.4,0.49363,0.43266,0.06113,0.79916,0.74426,0.78754,0.5049,0.43245,0.42765,0.06592,0.0006304,0.0006304,0.0006304
58,10965.7,0.5012,0.43015,0.06115,0.81769,0.75577,0.80102,0.50583,0.42876,0.41927,0.06444,0.0006238,0.0006238,0.0006238
59,11161.4,0.49777,0.43299,0.06335,0.80771,0.7504,0.78599,0.5001,0.43274,0.41777,0.0661,0.0006172,0.0006172,0.0006172
60,11347.9,0.48641,0.42855,0.06145,0.80307,0.76412,0.80727,0.51452,0.4307,0.41379,0.06562,0.0006106,0.0006106,0.0006106
61,11536.2,0.49707,0.4284,0.06087,0.8519,0.74154,0.81613,0.52059,0.42224,0.41359,0.06376,0.000604,0.000604,0.000604
62,11722.6,0.48632,0.43091,0.06224,0.79928,0.75936,0.80217,0.5068,0.42692,0.42052,0.0652,0.0005974,0.0005974,0.0005974
63,11906.8,0.48908,0.42929,0.06021,0.83552,0.75668,0.81536,0.51617,0.42278,0.4157,0.06338,0.0005908,0.0005908,0.0005908
64,12104.4,0.48808,0.42769,0.06015,0.82942,0.74287,0.80143,0.5136,0.42292,0.41628,0.06361,0.0005842,0.0005842,0.0005842
65,12301.4,0.48269,0.42632,0.06135,0.8244,0.75516,0.81005,0.51962,0.4283,0.41688,0.06456,0.0005776,0.0005776,0.0005776
66,12497.7,0.48617,0.42139,0.0584,0.82514,0.76602,0.8158,0.52338,0.42002,0.41019,0.0638,0.000571,0.000571,0.000571
67,12683.2,0.4773,0.4182,0.05773,0.84166,0.77831,0.82833,0.53036,0.41822,0.40821,0.06128,0.0005644,0.0005644,0.0005644
68,12868.3,0.47897,0.42275,0.05793,0.84409,0.75618,0.81542,0.52851,0.41669,0.41149,0.06181,0.0005578,0.0005578,0.0005578
69,13067,0.48466,0.41955,0.05746,0.84339,0.78092,0.81783,0.52893,0.41591,0.40618,0.06207,0.0005512,0.0005512,0.0005512
70,13252.1,0.47741,0.41948,0.0576,0.85497,0.751,0.81611,0.52454,0.41593,0.41138,0.06303,0.0005446,0.0005446,0.0005446
71,13438.6,0.47457,0.42147,0.05796,0.83279,0.7795,0.81634,0.52076,0.41576,0.40933,0.06165,0.000538,0.000538,0.000538
72,13622.9,0.47143,0.42346,0.05749,0.82,0.77681,0.80693,0.51938,0.41969,0.41381,0.06351,0.0005314,0.0005314,0.0005314
73,13807.5,0.47414,0.42022,0.05766,0.82562,0.76422,0.81852,0.5262,0.4207,0.40715,0.06294,0.0005248,0.0005248,0.0005248
74,13990.8,0.46875,0.41808,0.05763,0.85958,0.76814,0.83346,0.53386,0.4135,0.40359,0.06147,0.0005182,0.0005182,0.0005182
75,14176,0.46914,0.41288,0.05652,0.84891,0.77779,0.8296,0.53975,0.41492,0.40587,0.06045,0.0005116,0.0005116,0.0005116
76,14359.6,0.46111,0.40997,0.05625,0.82347,0.79774,0.83198,0.54117,0.40846,0.4026,0.06044,0.000505,0.000505,0.000505
77,14549,0.46468,0.41731,0.05659,0.83598,0.7785,0.83294,0.53849,0.4107,0.40291,0.06094,0.0004984,0.0004984,0.0004984
78,14732.5,0.46782,0.41292,0.05559,0.84024,0.78949,0.83213,0.54327,0.41031,0.40801,0.06072,0.0004918,0.0004918,0.0004918
79,14917.9,0.45793,0.4119,0.05519,0.84674,0.80558,0.84416,0.55057,0.40837,0.40446,0.06071,0.0004852,0.0004852,0.0004852
80,15107.9,0.45935,0.41252,0.05498,0.85898,0.77989,0.84372,0.54864,0.41232,0.40448,0.06099,0.0004786,0.0004786,0.0004786
81,15293.5,0.46381,0.41122,0.05621,0.81581,0.79687,0.81808,0.52647,0.41138,0.40394,0.06072,0.000472,0.000472,0.000472
82,15476.9,0.45873,0.41115,0.05606,0.81914,0.79728,0.83143,0.53584,0.40999,0.40182,0.061,0.0004654,0.0004654,0.0004654
83,15662,0.45666,0.41,0.05465,0.84961,0.79336,0.84116,0.55216,0.40651,0.40275,0.06027,0.0004588,0.0004588,0.0004588
84,15845.5,0.45325,0.40963,0.05394,0.84712,0.80579,0.83813,0.54928,0.4064,0.39985,0.06069,0.0004522,0.0004522,0.0004522
85,16030.5,0.45229,0.409,0.05352,0.84291,0.79279,0.84107,0.54835,0.4078,0.40495,0.05967,0.0004456,0.0004456,0.0004456
86,16214.6,0.45113,0.40533,0.05366,0.84721,0.78301,0.84315,0.54563,0.40641,0.40242,0.05857,0.000439,0.000439,0.000439
87,16400.5,0.45395,0.40945,0.05327,0.85356,0.81054,0.83943,0.54205,0.4038,0.40087,0.05878,0.0004324,0.0004324,0.0004324
88,16596,0.45495,0.40836,0.05373,0.84667,0.80385,0.84342,0.54888,0.40677,0.39948,0.05959,0.0004258,0.0004258,0.0004258
89,16792,0.45684,0.40961,0.05392,0.83905,0.81544,0.85157,0.55084,0.40421,0.40018,0.05819,0.0004192,0.0004192,0.0004192
90,16975.7,0.44797,0.40691,0.05319,0.85719,0.79992,0.84805,0.55029,0.40518,0.40239,0.05934,0.0004126,0.0004126,0.0004126
