epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,215.645,2.08013,0.64831,0.93383,0.16737,0.04185,0.00077,0.00018,1.56668,0.40167,0.60725,0.000332428,0.000332428,0.000332428
2,426.103,1.81775,0.32393,0.65789,0.34982,0.02123,0.00711,0.0019,1.68699,0.37271,0.66984,0.000661367,0.000661367,0.000661367
3,625.895,1.61256,0.39241,0.53015,0.20196,0.0593,0.02337,0.00827,1.19882,0.60554,0.37124,0.000985906,0.000985906,0.000985906
4,822.194,1.34425,0.48813,0.37026,0.582,0.08326,0.05459,0.01923,1.06851,0.62443,0.2919,0.0009802,0.0009802,0.0009802
5,1018.34,1.2461,0.52565,0.3323,0.59622,0.09831,0.08309,0.03012,0.98949,0.67739,0.25827,0.0009736,0.0009736,0.0009736
6,1214.31,1.17157,0.55796,0.29479,0.64775,0.13763,0.11654,0.0461,0.91456,0.73372,0.23377,0.000967,0.000967,0.000967
7,1410.64,1.12105,0.56408,0.27909,0.31847,0.21666,0.13954,0.05733,0.91504,0.70544,0.22364,0.0009604,0.0009604,0.0009604
8,1606.87,1.06407,0.57299,0.24392,0.47972,0.20199,0.15948,0.06534,0.836,0.67815,0.20469,0.0009538,0.0009538,0.0009538
9,1803.65,1.02418,0.575,0.22602,0.29821,0.26622,0.18716,0.07944,0.79712,0.67636,0.18485,0.0009472,0.0009472,0.0009472
10,1999.48,0.98466,0.57871,0.20735,0.33318,0.26352,0.21844,0.09541,0.75055,0.70532,0.16685,0.0009406,0.0009406,0.0009406
11,2196.23,0.9369,0.58499,0.19569,0.32887,0.30494,0.2543,0.11655,0.73495,0.65568,0.15624,0.000934,0.000934,0.000934
12,2392.04,0.91048,0.58246,0.18672,0.3403,0.30317,0.25339,0.11068,0.71877,0.70176,0.15389,0.0009274,0.0009274,0.0009274
13,2588.87,0.89319,0.57797,0.17963,0.34114,0.36841,0.27913,0.133,0.70523,0.65303,0.15249,0.0009208,0.0009208,0.0009208
14,2785.02,0.85439,0.58151,0.16358,0.36106,0.32745,0.29836,0.14785,0.67446,0.65576,0.13744,0.0009142,0.0009142,0.0009142
15,2981.71,0.82929,0.58024,0.1639,0.5236,0.33791,0.33749,0.17086,0.65915,0.61691,0.13604,0.0009076,0.0009076,0.0009076
16,3177.87,0.80214,0.57801,0.15211,0.37337,0.3991,0.35148,0.18185,0.63895,0.63905,0.12763,0.000901,0.000901,0.000901
17,3374,0.78883,0.56977,0.14803,0.47745,0.39017,0.38175,0.20107,0.61106,0.61799,0.11889,0.0008944,0.0008944,0.0008944
18,3570.21,0.77558,0.57652,0.14399,0.47551,0.40155,0.38902,0.2003,0.61432,0.61647,0.12165,0.0008878,0.0008878,0.0008878
19,3766.11,0.74506,0.5564,0.13335,0.47145,0.41197,0.39668,0.22006,0.58928,0.58938,0.11319,0.0008812,0.0008812,0.0008812
20,3962.46,0.76132,0.56499,0.13837,0.46577,0.43136,0.41344,0.22032,0.59148,0.59698,0.11593,0.0008746,0.0008746,0.0008746
