epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,190.895,1.84122,0.60175,0.70256,0.71462,0.07118,0.0291,0.00943,1.11102,0.68425,0.34561,0.000332428,0.000332428,0.000332428
2,380.857,1.21733,0.55115,0.31327,0.60383,0.09354,0.07455,0.03083,0.9337,0.69968,0.24861,0.000661367,0.000661367,0.000661367
3,543.976,1.07737,0.58777,0.24616,0.47564,0.17706,0.1182,0.05233,0.87983,0.79967,0.22257,0.000985906,0.000985906,0.000985906
4,705.62,0.98652,0.58662,0.206,0.69239,0.15603,0.15934,0.07206,0.80624,0.69145,0.18807,0.0009802,0.0009802,0.0009802
5,875.985,0.91715,0.58399,0.1801,0.53256,0.20855,0.23752,0.11929,0.71015,0.66384,0.14384,0.0009736,0.0009736,0.0009736
6,1037.12,0.89227,0.57409,0.16753,0.53079,0.28415,0.25577,0.12711,0.72243,0.63085,0.15175,0.000967,0.000967,0.000967
7,1198.24,0.83228,0.58125,0.15022,0.40295,0.36663,0.32053,0.16962,0.65569,0.62016,0.12394,0.0009604,0.0009604,0.0009604
8,1359.09,0.81002,0.5507,0.14204,0.50355,0.35507,0.33219,0.17929,0.65984,0.59189,0.13041,0.0009538,0.0009538,0.0009538
9,1520.1,0.78357,0.54858,0.13239,0.49317,0.39207,0.38284,0.20742,0.63048,0.57789,0.11722,0.0009472,0.0009472,0.0009472
10,1680.88,0.76038,0.54036,0.12393,0.49983,0.40976,0.39119,0.20772,0.62961,0.57114,0.11719,0.0009406,0.0009406,0.0009406
11,1841.94,0.75352,0.55258,0.12385,0.48545,0.41697,0.40466,0.22663,0.60203,0.57564,0.10715,0.000934,0.000934,0.000934
12,2002.37,0.73594,0.54218,0.11879,0.50646,0.44521,0.42214,0.23138,0.60874,0.57351,0.11451,0.0009274,0.0009274,0.0009274
