epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,207.956,2.05279,0.54094,0.86745,0.33402,0.03358,0.00047,0.00012,1.55928,0.39632,0.55221,0.000332428,0.000332428,0.000332428
2,400.759,1.49139,0.39462,0.42473,0.71498,0.04914,0.02436,0.00652,1.24049,0.57554,0.39587,0.000661367,0.000661367,0.000661367
3,590.928,1.32006,0.49083,0.33994,0.24472,0.0858,0.05587,0.01773,1.06427,0.64211,0.28256,0.000985906,0.000985906,0.000985906
4,781.674,1.18698,0.53824,0.27588,0.76856,0.11594,0.08891,0.03305,0.96712,0.66629,0.23963,0.0009802,0.0009802,0.0009802
5,977.708,1.11474,0.54796,0.25103,0.62964,0.12714,0.11346,0.04398,0.90945,0.64581,0.21386,0.0009736,0.0009736,0.0009736
6,1168.81,1.0638,0.54712,0.22512,0.36112,0.1483,0.12835,0.05194,0.88603,0.6791,0.19604,0.000967,0.000967,0.000967
7,1359.77,1.03109,0.55185,0.21468,0.53391,0.18233,0.17252,0.07439,0.86275,0.61706,0.19261,0.0009604,0.0009604,0.0009604
8,1557.21,1.02055,0.5558,0.20567,0.35624,0.21275,0.14906,0.06756,0.85712,0.63351,0.2002,0.0009538,0.0009538,0.0009538
9,1758.91,0.99117,0.54968,0.20177,0.51854,0.20961,0.19738,0.08735,0.7867,0.65229,0.16459,0.0009472,0.0009472,0.0009472
10,1951.65,0.95196,0.55161,0.17666,0.27203,0.29219,0.2332,0.11327,0.77512,0.62401,0.15279,0.0009406,0.0009406,0.0009406
11,2148.81,0.90552,0.54985,0.16414,0.26941,0.26342,0.19845,0.09361,0.77551,0.63664,0.16348,0.000934,0.000934,0.000934
12,2340.3,0.88861,0.54597,0.15821,0.35044,0.35023,0.27171,0.1362,0.74784,0.60038,0.15271,0.0009274,0.0009274,0.0009274
