epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,179.347,1.92022,0.67274,0.83367,0.7039,0.07448,0.02247,0.00623,1.20682,0.69567,0.36427,0.000332428,0.000332428,0.000332428
2,358.293,1.25175,0.53129,0.32997,0.64092,0.11196,0.07173,0.03047,0.982,0.69982,0.28646,0.000661367,0.000661367,0.000661367
3,549.786,1.11768,0.57234,0.26484,0.48706,0.16662,0.12781,0.05789,0.85119,0.73938,0.19755,0.000985906,0.000985906,0.000985906
4,723.656,1.02274,0.59956,0.22346,0.50675,0.1751,0.13767,0.0592,0.87362,0.78848,0.22025,0.0009802,0.0009802,0.0009802
5,898.579,0.99699,0.60515,0.21859,0.45368,0.21467,0.16686,0.07243,0.78059,0.74151,0.16657,0.0009736,0.0009736,0.0009736
6,1072.02,0.93722,0.58586,0.18952,0.33756,0.29843,0.23912,0.12398,0.72367,0.6502,0.15547,0.000967,0.000967,0.000967
7,1243.69,0.8856,0.58875,0.1743,0.33855,0.31243,0.26639,0.12977,0.69549,0.65118,0.13532,0.0009604,0.0009604,0.0009604
8,1410.38,0.85689,0.57974,0.16116,0.38937,0.34227,0.2774,0.146,0.68465,0.65799,0.12864,0.0009538,0.0009538,0.0009538
9,1578.1,0.82865,0.57049,0.1485,0.43256,0.3876,0.34016,0.1742,0.65277,0.59679,0.11984,0.0009472,0.0009472,0.0009472
10,1744.77,0.79698,0.55642,0.1364,0.46693,0.38372,0.35139,0.18056,0.64429,0.59055,0.12039,0.0009406,0.0009406,0.0009406
11,1912.25,0.77196,0.55159,0.13095,0.42779,0.41077,0.36938,0.20108,0.62901,0.58231,0.11716,0.000934,0.000934,0.000934
12,2089.08,0.75943,0.54513,0.12784,0.4821,0.41983,0.41057,0.2284,0.60887,0.57005,0.10835,0.0009274,0.0009274,0.0009274
13,2268.74,0.73767,0.54112,0.12014,0.52986,0.44355,0.42674,0.23839,0.59576,0.55788,0.1041,0.0009208,0.0009208,0.0009208
14,2453.06,0.71426,0.5409,0.11195,0.50675,0.44568,0.42877,0.24233,0.58982,0.5984,0.11222,0.0009142,0.0009142,0.0009142
15,2627.44,0.69892,0.54328,0.11003,0.46045,0.42066,0.39837,0.21557,0.64828,0.57447,0.12718,0.0009076,0.0009076,0.0009076
16,2794.06,0.68778,0.53285,0.10747,0.52614,0.49287,0.47736,0.26805,0.5577,0.54186,0.09652,0.000901,0.000901,0.000901
17,2974.84,0.67117,0.52709,0.10106,0.57152,0.52112,0.5084,0.27972,0.56046,0.52567,0.09485,0.0008944,0.0008944,0.0008944
18,3141.12,0.66894,0.51308,0.10159,0.57711,0.52306,0.51318,0.29776,0.55292,0.52061,0.09437,0.0008878,0.0008878,0.0008878
19,3307.75,0.64612,0.5176,0.09538,0.58042,0.50497,0.50968,0.29867,0.53948,0.5245,0.09537,0.0008812,0.0008812,0.0008812
20,3478.64,0.63996,0.5181,0.09304,0.55319,0.53553,0.53229,0.3107,0.54192,0.52707,0.08945,0.0008746,0.0008746,0.0008746
21,3645.53,0.6337,0.50712,0.0906,0.58718,0.5625,0.55613,0.31696,0.54364,0.50782,0.09044,0.000868,0.000868,0.000868
22,3812.03,0.61307,0.50152,0.08728,0.66804,0.53754,0.57353,0.33455,0.52736,0.49159,0.08504,0.0008614,0.0008614,0.0008614
23,3981.32,0.61579,0.50659,0.08984,0.58277,0.55818,0.56973,0.33178,0.52409,0.50694,0.08735,0.0008548,0.0008548,0.0008548
24,4148.13,0.5978,0.49007,0.08408,0.60898,0.60383,0.60518,0.36582,0.50543,0.48848,0.0834,0.0008482,0.0008482,0.0008482
