epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,290.843,1.87093,0.72591,0.72179,0.53231,0.05101,0.01651,0.00431,nan,nan,nan,0.000332428,0.000332428,0.000332428
2,567.4,1.27943,0.51221,0.34217,0.7391,0.08631,0.04916,0.02042,1.05424,0.66117,0.31798,0.000661367,0.000661367,0.000661367
3,836.025,1.1051,0.59224,0.25932,0.6162,0.1388,0.09204,0.04032,0.90199,0.74767,0.24964,0.000985906,0.000985906,0.000985906
4,1100.37,1.01465,0.60151,0.21921,0.2717,0.25562,0.15548,0.07208,0.79926,0.71703,0.17528,0.0009802,0.0009802,0.0009802
5,1359.18,0.95094,0.60677,0.19392,0.32312,0.26747,0.19641,0.08907,0.77264,0.73394,0.16325,0.0009736,0.0009736,0.0009736
6,1618.07,0.92768,0.60561,0.18335,0.353,0.27332,0.2109,0.10198,0.73959,0.7342,0.1489,0.000967,0.000967,0.000967
7,1876.38,0.88663,0.58908,0.16996,0.35772,0.35205,0.27988,0.13335,0.69968,0.64772,0.14741,0.0009604,0.0009604,0.0009604
8,2133.04,0.85898,0.58239,0.15817,0.41484,0.37191,0.3044,0.1562,0.68026,0.65041,0.13323,0.0009538,0.0009538,0.0009538
9,2388.66,0.83472,0.56691,0.14857,0.47721,0.34048,0.31482,0.15573,0.69274,0.62906,0.14099,0.0009472,0.0009472,0.0009472
10,2643.14,0.80232,0.55469,0.13636,0.48673,0.4044,0.3752,0.20207,0.63597,0.57931,0.11175,0.0009406,0.0009406,0.0009406
11,2899.72,0.78417,0.5552,0.13492,0.49751,0.38962,0.39483,0.21337,0.61334,0.58513,0.11122,0.000934,0.000934,0.000934
12,3153.98,0.77132,0.55605,0.12997,0.44172,0.42367,0.37216,0.2058,0.63382,0.6071,0.117,0.0009274,0.0009274,0.0009274
13,3409.97,0.75188,0.54135,0.12195,0.47802,0.44017,0.41589,0.22262,0.61292,0.56651,0.11146,0.0009208,0.0009208,0.0009208
14,3663.33,0.71477,0.54878,0.11185,0.54984,0.4465,0.44504,0.25398,0.57381,0.54825,0.09973,0.0009142,0.0009142,0.0009142
15,3918.05,0.71117,0.52955,0.11597,0.51941,0.47782,0.47412,0.26437,0.57489,0.53967,0.10208,0.0009076,0.0009076,0.0009076
16,4174.32,0.68444,0.53036,0.10636,0.54116,0.49663,0.48421,0.27837,0.56582,0.5492,0.09561,0.000901,0.000901,0.000901
17,4429.47,0.66866,0.52373,0.10114,0.58205,0.50479,0.51317,0.2958,0.54008,0.52926,0.09121,0.0008944,0.0008944,0.0008944
18,4685.42,0.66908,0.5144,0.10073,0.55707,0.53528,0.52926,0.29886,0.54377,0.51674,0.09004,0.0008878,0.0008878,0.0008878
19,4940.42,0.64332,0.50392,0.09444,0.58568,0.56463,0.5551,0.32083,0.54208,0.50497,0.09058,0.0008812,0.0008812,0.0008812
20,5195.94,0.64006,0.50528,0.0937,0.57192,0.5729,0.56753,0.32856,0.53612,0.49692,0.09127,0.0008746,0.0008746,0.0008746
21,5451.78,0.63545,0.50567,0.09119,0.68847,0.5137,0.6014,0.35014,0.52268,0.49843,0.08694,0.000868,0.000868,0.000868
22,5707.18,0.6221,0.50497,0.08953,0.6041,0.55611,0.56743,0.33321,0.51212,0.52204,0.08484,0.0008614,0.0008614,0.0008614
23,5961.9,0.61489,0.49919,0.08957,0.6866,0.54105,0.59205,0.35201,0.50992,0.49727,0.08172,0.0008548,0.0008548,0.0008548
24,6215.96,0.60273,0.49143,0.08354,0.67895,0.58411,0.62468,0.37195,0.50546,0.48109,0.08308,0.0008482,0.0008482,0.0008482
25,6471.47,0.60369,0.49019,0.08603,0.65949,0.57143,0.61257,0.36364,0.51025,0.48806,0.08539,0.0008416,0.0008416,0.0008416
26,6726.32,0.59199,0.48913,0.08462,0.66398,0.58357,0.61536,0.36433,0.50735,0.48652,0.08181,0.000835,0.000835,0.000835
27,6982.21,0.59263,0.48317,0.08337,0.68663,0.59357,0.64433,0.38406,0.4991,0.47267,0.08197,0.0008284,0.0008284,0.0008284
28,7236.72,0.59511,0.48139,0.08178,0.69055,0.64946,0.67053,0.40026,0.48819,0.4596,0.0789,0.0008218,0.0008218,0.0008218
29,7490.22,0.57833,0.47545,0.07926,0.70909,0.65577,0.68254,0.40388,0.4847,0.46299,0.07741,0.0008152,0.0008152,0.0008152
