epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,239.701,1.9652,0.64377,0.81863,0.53814,0.05705,0.0192,0.00541,nan,nan,nan,0.000332428,0.000332428,0.000332428
2,474.594,1.232,0.53985,0.31998,0.76392,0.10551,0.07618,0.0302,0.92421,0.70517,0.24604,0.000661367,0.000661367,0.000661367
3,711.55,1.07365,0.59173,0.24381,0.40632,0.16894,0.11857,0.0514,0.87449,0.72758,0.21493,0.000985906,0.000985906,0.000985906
4,944.133,1.03061,0.59543,0.22448,0.47097,0.20917,0.1692,0.0752,0.79562,0.68463,0.19084,0.0009802,0.0009802,0.0009802
5,1177.63,0.93323,0.59496,0.19008,0.45605,0.21944,0.1821,0.08803,0.76751,0.69719,0.19226,0.0009736,0.0009736,0.0009736
6,1412.28,0.9415,0.58511,0.19539,0.32913,0.31146,0.2098,0.10501,0.74404,0.72713,0.1749,0.000967,0.000967,0.000967
7,1648.27,0.84975,0.59741,0.16105,0.47137,0.34321,0.31473,0.15889,0.70889,0.63728,0.15082,0.0009604,0.0009604,0.0009604
8,1886.66,0.82316,0.58044,0.14523,0.41438,0.37124,0.33493,0.17933,0.65458,0.60718,0.12547,0.0009538,0.0009538,0.0009538
9,2121.36,0.79251,0.57508,0.13442,0.43146,0.39186,0.36509,0.19349,0.63918,0.61612,0.11732,0.0009472,0.0009472,0.0009472
10,2354.31,0.76277,0.56341,0.12436,0.44681,0.39571,0.37583,0.2111,0.61529,0.60071,0.11092,0.0009406,0.0009406,0.0009406
11,2588.46,0.74755,0.55585,0.12137,0.41037,0.46285,0.39727,0.22287,0.60949,0.60677,0.11324,0.000934,0.000934,0.000934
12,2827.62,0.74074,0.54716,0.11956,0.49392,0.42234,0.40847,0.23429,0.61494,0.59359,0.11866,0.0009274,0.0009274,0.0009274
13,3064.12,0.72751,0.55266,0.11423,0.44346,0.44653,0.41503,0.20358,0.66193,0.57406,0.1304,0.0009208,0.0009208,0.0009208
14,3298.9,0.71997,0.54989,0.11417,0.45314,0.47349,0.43745,0.24663,0.58625,0.55651,0.10151,0.0009142,0.0009142,0.0009142
15,3533.93,0.69793,0.54353,0.10874,0.55251,0.49383,0.50169,0.29055,0.56569,0.52081,0.0954,0.0009076,0.0009076,0.0009076
16,3770.1,0.67261,0.52825,0.10259,0.57225,0.50523,0.50625,0.29799,0.55258,0.535,0.09287,0.000901,0.000901,0.000901
17,4004.03,0.66182,0.52227,0.09809,0.51639,0.54971,0.50915,0.29766,0.55935,0.51672,0.0993,0.0008944,0.0008944,0.0008944
18,4237.24,0.6687,0.51518,0.09875,0.57336,0.53831,0.53831,0.31823,0.54669,0.51861,0.09237,0.0008878,0.0008878,0.0008878
19,4474.13,0.64915,0.5155,0.09473,0.63046,0.53754,0.55104,0.31348,0.54211,0.51371,0.08908,0.0008812,0.0008812,0.0008812
20,4708.53,0.6469,0.51006,0.09339,0.62397,0.54112,0.56355,0.32119,0.55289,0.49554,0.09463,0.0008746,0.0008746,0.0008746
21,4942.52,0.64007,0.50121,0.09077,0.60446,0.57468,0.56863,0.33179,0.53089,0.4984,0.09009,0.000868,0.000868,0.000868
22,5175.54,0.6188,0.49697,0.08793,0.66127,0.54921,0.5791,0.34761,0.52866,0.49527,0.08519,0.0008614,0.0008614,0.0008614
23,5410.17,0.61613,0.49987,0.08865,0.68562,0.58247,0.62776,0.37238,0.51014,0.48466,0.08009,0.0008548,0.0008548,0.0008548
24,5644,0.63226,0.50821,0.09089,0.62495,0.5901,0.61008,0.36551,0.5122,0.48276,0.08167,0.0008482,0.0008482,0.0008482
25,5925.81,0.61126,0.49397,0.08682,0.69008,0.5822,0.62415,0.36674,0.51282,0.48648,0.08237,0.0008416,0.0008416,0.0008416
26,6217.72,0.5892,0.48666,0.08213,0.67962,0.61169,0.64591,0.3857,0.49873,0.4655,0.07906,0.000835,0.000835,0.000835
27,6458.4,0.60027,0.48957,0.08388,0.71718,0.58171,0.63869,0.37787,0.50979,0.47786,0.08474,0.0008284,0.0008284,0.0008284
28,6697.59,0.59049,0.48304,0.08014,0.65183,0.62977,0.65364,0.39604,0.49555,0.45935,0.07538,0.0008218,0.0008218,0.0008218
29,6936.74,0.58396,0.46984,0.07814,0.71773,0.60675,0.65417,0.38711,0.5017,0.47118,0.08104,0.0008152,0.0008152,0.0008152
30,7176.55,0.5791,0.47128,0.07752,0.67058,0.65551,0.65546,0.3977,0.48619,0.45626,0.07512,0.0008086,0.0008086,0.0008086
31,7409.97,0.57199,0.46695,0.0763,0.74326,0.64844,0.7008,0.42873,0.48257,0.44544,0.07588,0.000802,0.000802,0.000802
32,7644.11,0.57055,0.46725,0.07495,0.71258,0.66231,0.70581,0.43142,0.47875,0.44283,0.07301,0.0007954,0.0007954,0.0007954
33,7878.6,0.5694,0.4669,0.07623,0.63438,0.67259,0.69694,0.42472,0.48034,0.45127,0.07456,0.0007888,0.0007888,0.0007888
34,8111.77,0.56907,0.46553,0.07417,0.722,0.63375,0.67803,0.4151,0.48192,0.45023,0.07506,0.0007822,0.0007822,0.0007822
35,8346.01,0.56654,0.45741,0.07275,0.76576,0.67471,0.72202,0.44788,0.47653,0.44042,0.07311,0.0007756,0.0007756,0.0007756
36,8580.03,0.55413,0.46608,0.07177,0.72447,0.69171,0.71326,0.43175,0.47613,0.44806,0.07354,0.000769,0.000769,0.000769
37,8813.39,0.54684,0.46397,0.0731,0.73572,0.67864,0.72588,0.44774,0.46997,0.44737,0.07057,0.0007624,0.0007624,0.0007624
38,9047.83,0.54759,0.46206,0.07154,0.76847,0.64995,0.70469,0.43428,0.47231,0.4401,0.07127,0.0007558,0.0007558,0.0007558
39,9281.86,0.54165,0.45721,0.07117,0.74977,0.68898,0.73839,0.45088,0.46598,0.4375,0.06979,0.0007492,0.0007492,0.0007492
40,9515.35,0.53858,0.45445,0.07067,0.79055,0.68461,0.73719,0.45451,0.47205,0.4364,0.0713,0.0007426,0.0007426,0.0007426
