epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,202.389,2.01753,0.6744,1.04112,0.17004,0.01059,0.00112,0.00025,nan,nan,nan,0.000332428,0.000332428,0.000332428
2,393.068,1.4715,0.42123,0.42357,0.58357,0.07504,0.05021,0.01518,nan,nan,nan,0.000661367,0.000661367,0.000661367
3,600.11,1.2855,0.50652,0.32091,0.75351,0.09701,0.06686,0.02524,nan,nan,nan,0.000985906,0.000985906,0.000985906
4,797.38,1.18334,0.53374,0.27715,0.76933,0.10278,0.08906,0.02934,nan,nan,nan,0.0009802,0.0009802,0.0009802
5,986.388,1.08927,0.56142,0.23849,0.53197,0.14527,0.12443,0.05038,nan,nan,nan,0.0009736,0.0009736,0.0009736
6,1172.31,1.03924,0.55204,0.21742,0.50381,0.15554,0.13153,0.0542,nan,nan,nan,0.000967,0.000967,0.000967
7,1360.49,1.00452,0.55924,0.20889,0.54319,0.20513,0.1854,0.08252,nan,nan,nan,0.0009604,0.0009604,0.0009604
8,1547.1,0.95719,0.55195,0.1888,0.59471,0.26649,0.25525,0.12318,nan,nan,nan,0.0009538,0.0009538,0.0009538
9,1734.87,0.90985,0.56426,0.17099,0.37615,0.34468,0.27916,0.13033,nan,nan,nan,0.0009472,0.0009472,0.0009472
10,1922.26,0.87155,0.54165,0.15536,0.40742,0.29286,0.25659,0.12238,nan,nan,nan,0.0009406,0.0009406,0.0009406
11,2109.41,0.84184,0.54992,0.14977,0.43475,0.31208,0.29278,0.15201,nan,nan,nan,0.000934,0.000934,0.000934
12,2296.65,0.83377,0.54444,0.14658,0.46029,0.38054,0.36162,0.17784,nan,nan,nan,0.0009274,0.0009274,0.0009274
13,2483.49,0.80198,0.53276,0.13643,0.46336,0.43132,0.3918,0.20869,0.63191,0.57818,0.1128,0.0009208,0.0009208,0.0009208
14,2670.83,0.77314,0.5382,0.12656,0.46979,0.42916,0.40401,0.22086,0.61394,0.58849,0.11128,0.0009142,0.0009142,0.0009142
15,2857.8,0.76662,0.53527,0.12703,0.48153,0.47001,0.44461,0.23993,0.6261,0.5509,0.1144,0.0009076,0.0009076,0.0009076
16,3045.41,0.73916,0.52837,0.11888,0.49539,0.4242,0.40539,0.22063,nan,nan,nan,0.000901,0.000901,0.000901
17,3231.68,0.73331,0.52965,0.11891,0.52877,0.46495,0.47017,0.26586,0.58166,0.55738,0.09827,0.0008944,0.0008944,0.0008944
18,3418.58,0.72069,0.51981,0.11424,0.55375,0.48048,0.47423,0.27157,0.58758,0.53153,0.10033,0.0008878,0.0008878,0.0008878
