epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,222.625,2.02873,0.67179,0.85483,0.00169,0.04728,0.00119,0.00023,1.61265,0.39999,0.70349,0.000332428,0.000332428,0.000332428
2,435.693,1.55627,0.38508,0.48081,0.56917,0.0344,0.01355,0.00317,1.23172,0.69367,0.3715,0.000661367,0.000661367,0.000661367
3,639.613,1.32939,0.48289,0.35955,0.58961,0.09467,0.06762,0.02395,1.01517,0.67643,0.2818,0.000985906,0.000985906,0.000985906
4,842.953,1.20524,0.53826,0.28852,0.77515,0.10045,0.08217,0.03056,0.9392,0.68454,0.23505,0.0009802,0.0009802,0.0009802
5,1046.25,1.09207,0.5695,0.2438,0.62183,0.13391,0.11893,0.04976,0.87648,0.66909,0.20154,0.0009736,0.0009736,0.0009736
6,1250.68,1.03908,0.56265,0.21811,0.7956,0.12855,0.12836,0.05102,0.86466,0.69566,0.21367,0.000967,0.000967,0.000967
7,1453.64,1.0152,0.5609,0.21638,0.42071,0.23222,0.18128,0.07689,0.80004,0.68217,0.17817,0.0009604,0.0009604,0.0009604
8,1658.76,0.97043,0.55318,0.19402,0.33249,0.30192,0.21943,0.09932,0.78369,0.6279,0.17667,0.0009538,0.0009538,0.0009538
9,1861.8,0.94132,0.55176,0.1847,0.38658,0.27404,0.2321,0.10391,0.79192,0.61945,0.16841,0.0009472,0.0009472,0.0009472
10,2066.25,0.90355,0.53883,0.16628,0.47012,0.26452,0.25258,0.1183,0.74327,0.60958,0.15814,0.0009406,0.0009406,0.0009406
11,2269.69,0.86525,0.54655,0.15217,0.4434,0.37003,0.31846,0.15975,0.69124,0.62556,0.13419,0.000934,0.000934,0.000934
12,2473.55,0.83842,0.54751,0.14486,0.4061,0.35837,0.32026,0.17425,0.66491,0.61971,0.12634,0.0009274,0.0009274,0.0009274
13,2684.73,0.80461,0.54262,0.13128,0.5305,0.38237,0.3689,0.19613,0.66533,0.56663,0.12142,0.0009208,0.0009208,0.0009208
14,2895.49,0.78392,0.53896,0.12628,0.43132,0.4501,0.38801,0.201,0.64083,0.5696,0.11854,0.0009142,0.0009142,0.0009142
15,3108.33,0.7647,0.5361,0.12382,0.52372,0.38594,0.40719,0.22623,0.62761,0.56437,0.11309,0.0009076,0.0009076,0.0009076
16,3319.32,0.74323,0.53539,0.11699,0.49036,0.48083,0.46413,0.25133,0.61018,0.53587,0.10606,0.000901,0.000901,0.000901
17,3528.76,0.72555,0.52272,0.11113,0.55059,0.47513,0.45944,0.25302,0.60857,0.53155,0.11265,0.0008944,0.0008944,0.0008944
18,3735.41,0.72945,0.51848,0.11322,0.51781,0.50718,0.48941,0.27878,0.57663,0.53695,0.10003,0.0008878,0.0008878,0.0008878
19,3940.66,0.71095,0.51607,0.10788,0.538,0.51198,0.49464,0.27872,0.5757,0.51406,0.10071,0.0008812,0.0008812,0.0008812
20,4147.81,0.69404,0.51621,0.10273,0.55858,0.46245,0.47539,0.2721,0.60952,0.53957,0.11281,0.0008746,0.0008746,0.0008746
21,4353.3,0.68833,0.51228,0.10076,0.56032,0.47495,0.48078,0.2677,0.5839,0.52572,0.10394,0.000868,0.000868,0.000868
22,4560.63,0.6676,0.51385,0.09802,0.59578,0.53176,0.5226,0.30047,0.55491,0.50874,0.09238,0.0008614,0.0008614,0.0008614
23,4766.39,0.6713,0.51211,0.101,0.62419,0.52161,0.55593,0.31646,0.55829,0.49488,0.09522,0.0008548,0.0008548,0.0008548
24,4973.84,0.66376,0.50542,0.09553,0.61284,0.55239,0.57303,0.32779,0.55115,0.49724,0.09679,0.0008482,0.0008482,0.0008482
25,5178.11,0.64811,0.49663,0.09388,0.61376,0.56368,0.58057,0.33216,0.55699,0.50275,0.09317,0.0008416,0.0008416,0.0008416
26,5382.31,0.63111,0.50213,0.09129,0.64861,0.5699,0.58802,0.35025,0.52785,0.4859,0.08757,0.000835,0.000835,0.000835
27,5588.29,0.63742,0.49392,0.0913,0.61749,0.55957,0.57861,0.33299,0.53706,0.49733,0.08871,0.0008284,0.0008284,0.0008284
28,5792.35,0.62773,0.4898,0.08808,0.65224,0.57529,0.606,0.35329,0.52606,0.47749,0.08657,0.0008218,0.0008218,0.0008218
29,5997.07,0.62399,0.4932,0.08666,0.70852,0.58823,0.62715,0.36405,0.51797,0.48106,0.08427,0.0008152,0.0008152,0.0008152
30,6200.02,0.62054,0.48958,0.08591,0.67453,0.59669,0.61036,0.36141,0.52007,0.4691,0.08571,0.0008086,0.0008086,0.0008086
31,6404.88,0.60782,0.4855,0.08352,0.689,0.58783,0.61677,0.35628,0.52551,0.47063,0.08733,0.000802,0.000802,0.000802
32,6609.03,0.61973,0.48563,0.08497,0.68803,0.61746,0.63497,0.38029,0.50892,0.47064,0.08182,0.0007954,0.0007954,0.0007954
33,6812.46,0.5946,0.48133,0.08148,0.63688,0.64291,0.65422,0.38666,0.49651,0.46535,0.07816,0.0007888,0.0007888,0.0007888
34,7016.72,0.60036,0.4767,0.0807,0.72075,0.59948,0.66527,0.39386,0.50633,0.46251,0.08126,0.0007822,0.0007822,0.0007822
35,7219.66,0.59888,0.47243,0.07989,0.76318,0.61315,0.68207,0.40172,0.50577,0.45911,0.0826,0.0007756,0.0007756,0.0007756
36,7423.76,0.58245,0.47338,0.07761,0.68091,0.67439,0.66761,0.4035,0.49056,0.46339,0.07667,0.000769,0.000769,0.000769
37,7626.18,0.58175,0.47916,0.08146,0.73695,0.64336,0.68168,0.40924,0.49117,0.45379,0.07719,0.0007624,0.0007624,0.0007624
38,7830.68,0.57289,0.46633,0.07589,0.7011,0.64659,0.68251,0.41496,0.489,0.45638,0.07789,0.0007558,0.0007558,0.0007558
39,8034.38,0.57015,0.46755,0.07703,0.74789,0.65871,0.71594,0.43641,0.47932,0.44305,0.07383,0.0007492,0.0007492,0.0007492
40,8238.72,0.5656,0.46257,0.0761,0.73631,0.641,0.69662,0.42378,0.48548,0.44852,0.07664,0.0007426,0.0007426,0.0007426
41,8443.17,0.56891,0.46629,0.07548,0.74538,0.6547,0.67772,0.41725,0.48529,0.45364,0.07793,0.000736,0.000736,0.000736
42,8646.88,0.56961,0.46671,0.07569,0.72296,0.68603,0.70817,0.4342,0.48174,0.4466,0.0766,0.0007294,0.0007294,0.0007294
43,8851.5,0.55808,0.45853,0.07387,0.77644,0.68002,0.72359,0.44252,0.47857,0.44548,0.07479,0.0007228,0.0007228,0.0007228
44,9054.48,0.56067,0.45507,0.07228,0.74457,0.66601,0.72205,0.4513,0.47054,0.44222,0.07312,0.0007162,0.0007162,0.0007162
45,9259.25,0.55476,0.46091,0.07468,0.76348,0.66793,0.72483,0.43597,0.47984,0.44595,0.07511,0.0007096,0.0007096,0.0007096
46,9462.78,0.55578,0.45581,0.07229,0.72442,0.68827,0.72625,0.44544,0.47661,0.4431,0.07406,0.000703,0.000703,0.000703
47,9667.26,0.5512,0.45895,0.07194,0.73784,0.69793,0.73108,0.44518,0.46612,0.44195,0.0736,0.0006964,0.0006964,0.0006964
