epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,189.864,1.97157,0.59594,0.79994,0.00997,0.02466,0.00557,0.00121,1.41383,0.47776,0.5008,0.000332428,0.000332428,0.000332428
2,383.235,1.39885,0.43826,0.39389,0.74546,0.07956,0.05048,0.01584,1.10874,0.60176,0.34651,0.000661367,0.000661367,0.000661367
3,552.637,1.17339,0.53399,0.28554,0.77984,0.12419,0.10039,0.0392,0.93994,0.74211,0.25092,0.000985906,0.000985906,0.000985906
4,717.404,1.06583,0.57687,0.23362,0.536,0.18805,0.14691,0.06472,0.85274,0.67064,0.20232,0.0009802,0.0009802,0.0009802
5,881.901,0.98267,0.58281,0.20495,0.43,0.23036,0.21109,0.09469,0.77737,0.65352,0.16631,0.0009736,0.0009736,0.0009736
6,1045.77,0.93306,0.5772,0.17993,0.45104,0.27167,0.27776,0.1318,0.75049,0.63844,0.14995,0.000967,0.000967,0.000967
7,1209.85,0.89564,0.57263,0.16895,0.38589,0.33258,0.29869,0.15565,0.70403,0.62187,0.13625,0.0009604,0.0009604,0.0009604
8,1373.49,0.87799,0.57138,0.15928,0.50991,0.30041,0.29181,0.14771,0.70489,0.6506,0.13536,0.0009538,0.0009538,0.0009538
9,1537.59,0.83717,0.56168,0.14482,0.41131,0.37527,0.32698,0.16313,0.66982,0.60786,0.12858,0.0009472,0.0009472,0.0009472
10,1701.4,0.82907,0.54837,0.14024,0.42921,0.38863,0.35146,0.18423,0.67665,0.59066,0.1283,0.0009406,0.0009406,0.0009406
11,1865.04,0.80238,0.55249,0.13449,0.45558,0.39129,0.3658,0.19551,0.65742,0.57635,0.12325,0.000934,0.000934,0.000934
12,2029.19,0.78421,0.55324,0.12923,0.45002,0.41333,0.37951,0.19779,0.67098,0.58249,0.1205,0.0009274,0.0009274,0.0009274
