epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,225.689,2.05423,0.70726,0.96133,0.00808,0.01691,0.00504,0.00133,1.46366,0.47106,0.53885,0.000332428,0.000332428,0.000332428
2,451.064,1.37443,0.46831,0.38081,0.59071,0.08045,0.05196,0.01444,1.14399,0.64957,0.36021,0.000661367,0.000661367,0.000661367
3,671.239,1.2413,0.51016,0.30537,0.6045,0.10375,0.08072,0.02701,0.99278,0.64891,0.25788,0.000985906,0.000985906,0.000985906
4,891.738,1.14585,0.51813,0.25496,0.80055,0.13064,0.12201,0.04567,0.91278,0.61795,0.21069,0.0009802,0.0009802,0.0009802
5,1111.53,1.06765,0.54201,0.22755,0.65122,0.12821,0.15475,0.06087,0.89908,0.62043,0.19592,0.0009736,0.0009736,0.0009736
6,1331.47,1.06529,0.54463,0.22541,0.76149,0.15248,0.16819,0.06811,0.86043,0.63626,0.19538,0.000967,0.000967,0.000967
7,1551.55,0.98553,0.54689,0.19663,0.30237,0.3381,0.24076,0.10111,0.79489,0.61972,0.16515,0.0009604,0.0009604,0.0009604
8,1776.22,0.95721,0.55411,0.18463,0.3539,0.32593,0.26152,0.12301,0.76249,0.61101,0.15245,0.0009538,0.0009538,0.0009538
9,2045.08,0.9037,0.55415,0.16547,0.44937,0.33683,0.29691,0.13837,0.72857,0.61281,0.14214,0.0009472,0.0009472,0.0009472
10,2261.88,0.86529,0.54274,0.14985,0.44048,0.37377,0.34296,0.16837,0.69955,0.60238,0.13181,0.0009406,0.0009406,0.0009406
11,2475.07,0.8303,0.55013,0.1418,0.53565,0.38306,0.37822,0.19326,0.67424,0.57321,0.12471,0.000934,0.000934,0.000934
12,2690.22,0.80549,0.55134,0.13462,0.40196,0.35779,0.32045,0.15937,0.72271,0.57893,0.14478,0.0009274,0.0009274,0.0009274
13,2904.7,0.7817,0.54074,0.12561,0.47797,0.45251,0.41361,0.21494,0.65274,0.56843,0.1223,0.0009208,0.0009208,0.0009208
14,3118.58,0.76353,0.54648,0.12105,0.64796,0.34241,0.40323,0.21838,0.65206,0.5937,0.12617,0.0009142,0.0009142,0.0009142
15,3333.49,0.73811,0.54097,0.11582,0.49487,0.46044,0.43681,0.23461,0.6177,0.54989,0.11605,0.0009076,0.0009076,0.0009076
16,3546.6,0.71727,0.53231,0.11148,0.52622,0.48731,0.46452,0.26252,0.57926,0.55575,0.10156,0.000901,0.000901,0.000901
17,3761.44,0.70084,0.53098,0.1069,0.53176,0.50323,0.47451,0.26898,0.57423,0.54607,0.10232,0.0008944,0.0008944,0.0008944
18,3975.46,0.7017,0.53258,0.10657,0.54538,0.46404,0.47137,0.25911,0.59481,0.54485,0.10642,0.0008878,0.0008878,0.0008878
19,4189.14,0.67576,0.51695,0.10081,0.58404,0.50538,0.51546,0.29209,0.55271,0.51716,0.0916,0.0008812,0.0008812,0.0008812
20,4402.89,0.66239,0.51708,0.09702,0.57608,0.50868,0.52487,0.29269,0.56544,0.52217,0.0947,0.0008746,0.0008746,0.0008746
21,4616.25,0.65367,0.50838,0.09362,0.62112,0.5441,0.582,0.3378,0.54041,0.49179,0.09168,0.000868,0.000868,0.000868
22,4831.4,0.63789,0.51512,0.09226,0.63748,0.54298,0.56739,0.32577,0.53858,0.4973,0.0915,0.0008614,0.0008614,0.0008614
23,5045.21,0.62819,0.50492,0.08951,0.6115,0.58178,0.59289,0.34326,0.5257,0.49662,0.08295,0.0008548,0.0008548,0.0008548
24,5259.53,0.61422,0.49857,0.08564,0.59422,0.59947,0.59628,0.35903,0.52246,0.48171,0.08804,0.0008482,0.0008482,0.0008482
25,5473.84,0.6131,0.50031,0.08739,0.65149,0.56408,0.60285,0.35296,0.52084,0.49097,0.08701,0.0008416,0.0008416,0.0008416
26,5687.58,0.61127,0.49745,0.08773,0.60406,0.60003,0.60056,0.35719,0.50815,0.47696,0.08103,0.000835,0.000835,0.000835
27,5902.79,0.60443,0.49396,0.0843,0.67266,0.6153,0.63961,0.38093,0.50367,0.48875,0.0806,0.0008284,0.0008284,0.0008284
28,6116.66,0.58852,0.48072,0.07877,0.67947,0.61585,0.64534,0.38698,0.49703,0.47258,0.08061,0.0008218,0.0008218,0.0008218
29,6331.26,0.59045,0.48079,0.08034,0.66503,0.62089,0.63285,0.3831,0.49656,0.48875,0.08241,0.0008152,0.0008152,0.0008152
30,6545.92,0.59089,0.47994,0.08037,0.68736,0.64752,0.66243,0.3904,0.49731,0.47042,0.0799,0.0008086,0.0008086,0.0008086
31,6759.73,0.58299,0.48197,0.0783,0.67013,0.65735,0.67311,0.40934,0.49049,0.4612,0.07881,0.000802,0.000802,0.000802
32,6975.07,0.58333,0.47493,0.07881,0.70691,0.64359,0.68646,0.40975,0.48494,0.45738,0.07552,0.0007954,0.0007954,0.0007954
33,7188.88,0.5653,0.46245,0.07425,0.77984,0.64714,0.70156,0.42001,0.48615,0.44869,0.07713,0.0007888,0.0007888,0.0007888
34,7402.91,0.57174,0.46987,0.0754,0.74084,0.62083,0.67898,0.40847,0.48159,0.45196,0.07637,0.0007822,0.0007822,0.0007822
35,7617.66,0.56609,0.46984,0.07302,0.73341,0.6604,0.69979,0.42593,0.48579,0.45511,0.07619,0.0007756,0.0007756,0.0007756
36,7831.66,0.55935,0.46918,0.07299,0.72927,0.67258,0.70355,0.42688,0.47838,0.4462,0.07436,0.000769,0.000769,0.000769
37,8046.06,0.5427,0.46261,0.07266,0.73932,0.64434,0.71442,0.42679,0.48,0.46438,0.07629,0.0007624,0.0007624,0.0007624
38,8258.99,0.5516,0.46029,0.07213,0.71344,0.69558,0.71201,0.42727,0.46459,0.45192,0.07302,0.0007558,0.0007558,0.0007558
39,8473.85,0.54065,0.45243,0.07144,0.78564,0.69887,0.74515,0.4574,0.46612,0.43523,0.07338,0.0007492,0.0007492,0.0007492
40,8688.09,0.53363,0.45394,0.07,0.75514,0.68336,0.73052,0.45065,0.4632,0.43976,0.07178,0.0007426,0.0007426,0.0007426
