epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,235.094,2.0933,0.69656,1.09857,0.00982,0.02666,0.00393,0.00085,1.39694,0.46453,0.46903,0.000332428,0.000332428,0.000332428
2,466.413,1.35902,0.45359,0.35167,0.74375,0.07565,0.04191,0.01102,1.1475,0.57012,0.3102,0.000661367,0.000661367,0.000661367
3,696.151,1.27447,0.47076,0.30977,0.58653,0.10757,0.06703,0.02212,1.01129,0.63383,0.26684,0.000985906,0.000985906,0.000985906
4,947.27,1.13555,0.51622,0.24303,0.56956,0.17643,0.13153,0.04918,0.93316,0.61554,0.23614,0.0009802,0.0009802,0.0009802
5,1169.77,1.04961,0.5426,0.21042,0.54332,0.20002,0.17517,0.07008,0.87837,0.62339,0.18153,0.0009736,0.0009736,0.0009736
6,1387.98,0.99479,0.54507,0.18733,0.42444,0.28903,0.2205,0.09079,0.80944,0.61932,0.16909,0.000967,0.000967,0.000967
7,1604.46,0.94734,0.55013,0.17476,0.51501,0.29033,0.2197,0.09798,0.78929,0.64391,0.15554,0.0009604,0.0009604,0.0009604
8,1822.08,0.95456,0.54823,0.17567,0.4378,0.3111,0.25108,0.11159,0.80096,0.6011,0.16169,0.0009538,0.0009538,0.0009538
9,2037.91,0.90643,0.55443,0.16054,0.38116,0.3449,0.28203,0.13124,0.77424,0.60549,0.15539,0.0009472,0.0009472,0.0009472
10,2255.48,0.88534,0.55044,0.1511,0.43178,0.3712,0.32049,0.15842,0.71435,0.58421,0.13402,0.0009406,0.0009406,0.0009406
11,2472.5,0.85182,0.55223,0.14329,0.53491,0.34627,0.35832,0.17153,0.68554,0.57918,0.12896,0.000934,0.000934,0.000934
12,2688.64,0.81358,0.5457,0.13134,0.42366,0.41556,0.37111,0.19095,0.67774,0.60257,0.12335,0.0009274,0.0009274,0.0009274
13,2906.15,0.78765,0.54483,0.12259,0.5172,0.40353,0.39286,0.2096,0.64843,0.58736,0.1159,0.0009208,0.0009208,0.0009208
14,3122.19,0.76805,0.54028,0.11876,0.53543,0.42441,0.44595,0.23435,0.63581,0.56666,0.11615,0.0009142,0.0009142,0.0009142
15,3339.81,0.74465,0.54016,0.11412,0.54464,0.47343,0.48258,0.26463,0.60119,0.53184,0.1046,0.0009076,0.0009076,0.0009076
16,3556.39,0.71683,0.52237,0.10683,0.52177,0.47823,0.48721,0.28029,0.58574,0.53315,0.09995,0.000901,0.000901,0.000901
17,3773.06,0.69736,0.52222,0.10219,0.56393,0.52361,0.52583,0.30061,0.57209,0.52867,0.09643,0.0008944,0.0008944,0.0008944
18,3990.34,0.72298,0.53515,0.10804,0.61018,0.45537,0.50053,0.27596,0.58385,0.53367,0.09577,0.0008878,0.0008878,0.0008878
