epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,196.624,2.05583,0.70278,0.97314,0.50945,0.02929,0.00401,0.00084,1.42284,0.44297,0.48477,0.000332428,0.000332428,0.000332428
2,390.947,1.38938,0.42658,0.36466,0.4054,0.08369,0.0414,0.01041,1.18771,0.54003,0.35621,0.000661367,0.000661367,0.000661367
3,582.082,1.25186,0.47203,0.29253,0.77165,0.10156,0.08263,0.02387,1.12191,0.56149,0.30524,0.000985906,0.000985906,0.000985906
4,768.582,1.19249,0.47801,0.25616,0.80436,0.12471,0.13554,0.04585,0.98175,0.56769,0.23805,0.0009802,0.0009802,0.0009802
5,948.086,1.09389,0.51502,0.22252,0.72695,0.14153,0.15021,0.05708,0.89367,0.61117,0.19775,0.0009736,0.0009736,0.0009736
6,1127.4,1.01644,0.54184,0.19422,0.53138,0.19895,0.18265,0.06892,0.88621,0.58682,0.19172,0.000967,0.000967,0.000967
7,1307.38,0.99409,0.54619,0.18879,0.34864,0.28907,0.24058,0.09985,0.81221,0.58963,0.1632,0.0009604,0.0009604,0.0009604
8,1486.9,0.94874,0.55018,0.1704,0.40516,0.31153,0.24434,0.10591,0.7986,0.61229,0.16413,0.0009538,0.0009538,0.0009538
9,1669.81,0.94323,0.54354,0.16816,0.31875,0.34338,0.27839,0.12244,0.77325,0.6044,0.15376,0.0009472,0.0009472,0.0009472
10,1849.13,0.9101,0.53681,0.15717,0.37637,0.37372,0.30756,0.13549,0.75436,0.6025,0.15271,0.0009406,0.0009406,0.0009406
11,2033.87,0.87883,0.54921,0.15054,0.4461,0.3502,0.32118,0.14828,0.72164,0.59449,0.1422,0.000934,0.000934,0.000934
12,2212.69,0.85104,0.53963,0.14068,0.47491,0.35822,0.34147,0.16057,0.72526,0.56327,0.14455,0.0009274,0.0009274,0.0009274
13,2392.28,0.82249,0.53849,0.12972,0.44887,0.4155,0.38493,0.19661,0.67626,0.55761,0.12258,0.0009208,0.0009208,0.0009208
14,2571.72,0.79,0.54532,0.12336,0.48316,0.43409,0.42841,0.22606,0.64333,0.57121,0.11551,0.0009142,0.0009142,0.0009142
15,2751.94,0.77186,0.53226,0.12041,0.50792,0.43761,0.43544,0.23253,0.65892,0.54095,0.12404,0.0009076,0.0009076,0.0009076
16,2934.96,0.74876,0.53308,0.11426,0.55305,0.45587,0.46081,0.2405,0.62487,0.53105,0.10803,0.000901,0.000901,0.000901
17,3114.64,0.74364,0.53251,0.1124,0.61088,0.4108,0.46945,0.2598,0.60791,0.54126,0.10536,0.0008944,0.0008944,0.0008944
18,3293.9,0.72342,0.52426,0.10841,0.60373,0.48042,0.50943,0.28653,0.5873,0.52548,0.0963,0.0008878,0.0008878,0.0008878
19,3473.68,0.68966,0.5197,0.10059,0.57354,0.49152,0.50439,0.27055,0.60118,0.53024,0.105,0.0008812,0.0008812,0.0008812
20,3652.75,0.69346,0.52729,0.10155,0.59687,0.53623,0.53237,0.29603,0.58712,0.52599,0.09789,0.0008746,0.0008746,0.0008746
21,3832.64,0.67703,0.51558,0.09685,0.56359,0.54177,0.54305,0.31966,0.55752,0.52142,0.09571,0.000868,0.000868,0.000868
22,4012.39,0.65512,0.52224,0.09468,0.60817,0.5412,0.56358,0.32558,0.54734,0.51395,0.09019,0.0008614,0.0008614,0.0008614
23,4192.58,0.65137,0.51298,0.09406,0.62066,0.56922,0.5841,0.32765,0.5459,0.50785,0.09289,0.0008548,0.0008548,0.0008548
24,4372.63,0.64359,0.51652,0.09002,0.61923,0.57064,0.59744,0.32348,0.56989,0.50749,0.10047,0.0008482,0.0008482,0.0008482
25,4564.66,0.62998,0.50679,0.08902,0.64471,0.58053,0.59934,0.34072,0.53557,0.50294,0.08757,0.0008416,0.0008416,0.0008416
26,4744.77,0.61162,0.49843,0.08615,0.63997,0.58464,0.61328,0.36747,0.52188,0.49441,0.08547,0.000835,0.000835,0.000835
27,4925.18,0.61487,0.49737,0.08491,0.67128,0.62424,0.64995,0.38783,0.50938,0.48252,0.08219,0.0008284,0.0008284,0.0008284
28,5107.8,0.60698,0.49423,0.08204,0.67701,0.60078,0.64459,0.37977,0.51582,0.4736,0.08311,0.0008218,0.0008218,0.0008218
29,5288.05,0.6047,0.49029,0.08236,0.71521,0.62505,0.66643,0.39543,0.50851,0.46616,0.08274,0.0008152,0.0008152,0.0008152
30,5468.01,0.59795,0.47734,0.0802,0.71295,0.6322,0.66277,0.39963,0.50368,0.46489,0.07921,0.0008086,0.0008086,0.0008086
31,5647.99,0.58969,0.4776,0.07857,0.71061,0.62495,0.66638,0.39307,0.5089,0.47178,0.08225,0.000802,0.000802,0.000802
32,5840.53,0.6052,0.4807,0.08035,0.70988,0.65233,0.69521,0.41686,0.50209,0.46059,0.07833,0.0007954,0.0007954,0.0007954
33,6020.56,0.58801,0.47413,0.07874,0.76125,0.6274,0.69515,0.41896,0.49768,0.46225,0.07945,0.0007888,0.0007888,0.0007888
34,6200.8,0.57744,0.46957,0.07481,0.76899,0.65019,0.71145,0.42912,0.49249,0.4501,0.07881,0.0007822,0.0007822,0.0007822
35,6380.64,0.57747,0.4715,0.07382,0.80263,0.6186,0.70304,0.42782,0.48266,0.46022,0.07524,0.0007756,0.0007756,0.0007756
36,6560.43,0.56447,0.46543,0.07384,0.7518,0.68119,0.71787,0.43344,0.4871,0.45371,0.07706,0.000769,0.000769,0.000769
37,6740.37,0.55379,0.47009,0.07362,0.74962,0.68181,0.72017,0.43963,0.47433,0.43872,0.07323,0.0007624,0.0007624,0.0007624
38,6920.19,0.556,0.46574,0.0721,0.76407,0.70241,0.74965,0.46639,0.45393,0.4387,0.07099,0.0007558,0.0007558,0.0007558
39,7099.91,0.54561,0.45279,0.0719,0.76809,0.68825,0.7367,0.45062,0.47185,0.43606,0.07457,0.0007492,0.0007492,0.0007492
40,7279.81,0.54388,0.46202,0.07076,0.77404,0.70379,0.75644,0.46344,0.46955,0.43525,0.07231,0.0007426,0.0007426,0.0007426
41,7459.58,0.5548,0.46549,0.07239,0.77091,0.69105,0.74128,0.45186,0.46272,0.43893,0.07274,0.000736,0.000736,0.000736
42,7639.21,0.54079,0.45386,0.06902,0.76217,0.69399,0.73513,0.4479,0.47101,0.44057,0.07417,0.0007294,0.0007294,0.0007294
