epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,171.392,1.93142,0.71777,0.76745,0.35793,0.02768,0.01734,0.00462,1.21942,0.62051,0.36078,0.000332428,0.000332428,0.000332428
2,334.646,1.25031,0.54025,0.31899,0.74672,0.0969,0.06042,0.02513,0.934,0.74479,0.23194,0.000661367,0.000661367,0.000661367
3,506.651,1.10687,0.5935,0.25182,0.37175,0.166,0.10637,0.04818,0.81782,0.79271,0.17579,0.000985906,0.000985906,0.000985906
4,667.449,1.0146,0.61513,0.21275,0.48787,0.18411,0.14993,0.07039,0.81208,0.71352,0.17615,0.0009802,0.0009802,0.0009802
5,831.287,0.95468,0.60113,0.19241,0.46725,0.26442,0.23976,0.10701,0.73359,0.73034,0.1437,0.0009736,0.0009736,0.0009736
6,991.843,0.89206,0.59346,0.16681,0.44123,0.26191,0.22802,0.11665,0.6929,0.6872,0.1343,0.000967,0.000967,0.000967
7,1153.22,0.84354,0.57376,0.15428,0.45878,0.3317,0.33189,0.16072,0.67418,0.6302,0.13151,0.0009604,0.0009604,0.0009604
8,1314.04,0.83438,0.56657,0.14665,0.41026,0.37857,0.33531,0.16514,0.67529,0.59833,0.1262,0.0009538,0.0009538,0.0009538
9,1475.42,0.8061,0.56227,0.13828,0.43611,0.36765,0.34046,0.17397,0.65798,0.59837,0.12306,0.0009472,0.0009472,0.0009472
10,1636.55,0.7742,0.54687,0.12715,0.4382,0.37875,0.34868,0.17972,0.67507,0.61532,0.13271,0.0009406,0.0009406,0.0009406
11,1797.36,0.75598,0.54089,0.12377,0.49396,0.43853,0.42606,0.23645,0.61044,0.54986,0.10946,0.000934,0.000934,0.000934
12,1959.01,0.74124,0.5433,0.1194,0.42011,0.43884,0.39171,0.21838,0.60778,0.58301,0.10851,0.0009274,0.0009274,0.0009274
13,2135.31,0.71095,0.5328,0.10966,0.50201,0.48191,0.45947,0.25574,0.57497,0.55316,0.10256,0.0009208,0.0009208,0.0009208
14,2306.51,0.69562,0.53025,0.10721,0.56115,0.46559,0.47794,0.26655,0.58656,0.54877,0.10849,0.0009142,0.0009142,0.0009142
15,2480.86,0.69815,0.52304,0.10879,0.50771,0.48321,0.46746,0.25772,0.58555,0.53858,0.10375,0.0009076,0.0009076,0.0009076
16,2656.72,0.67124,0.51832,0.10139,0.59455,0.50731,0.5217,0.29026,0.56413,0.52882,0.09435,0.000901,0.000901,0.000901
17,2820.26,0.65905,0.51545,0.09728,0.55614,0.56078,0.53507,0.30153,0.54386,0.52363,0.08932,0.0008944,0.0008944,0.0008944
18,2981.64,0.65161,0.50539,0.09535,0.61914,0.5502,0.56507,0.32061,0.54007,0.50966,0.08941,0.0008878,0.0008878,0.0008878
19,3142.65,0.63911,0.49987,0.09236,0.61144,0.53752,0.53303,0.30453,0.54552,0.51114,0.09546,0.0008812,0.0008812,0.0008812
20,3304.08,0.63786,0.50911,0.09084,0.63251,0.57819,0.59478,0.34787,0.51759,0.49155,0.08428,0.0008746,0.0008746,0.0008746
21,3464.98,0.63305,0.49953,0.08989,0.59952,0.60766,0.61379,0.35934,0.51531,0.49516,0.083,0.000868,0.000868,0.000868
22,3626.16,0.60615,0.49289,0.08521,0.63641,0.5801,0.59897,0.35907,0.51349,0.48684,0.08468,0.0008614,0.0008614,0.0008614
23,3787.35,0.60893,0.49338,0.0871,0.66494,0.59723,0.63043,0.37154,0.51019,0.4746,0.08407,0.0008548,0.0008548,0.0008548
24,3947.99,0.60202,0.4943,0.08404,0.69136,0.60654,0.6431,0.37731,0.51415,0.47871,0.08615,0.0008482,0.0008482,0.0008482
25,4109.68,0.59681,0.48975,0.08407,0.72229,0.60163,0.65144,0.38502,0.49831,0.4734,0.08021,0.0008416,0.0008416,0.0008416
26,4270.8,0.58303,0.48299,0.08119,0.72612,0.60491,0.65401,0.39325,0.4925,0.47471,0.07947,0.000835,0.000835,0.000835
27,4433.34,0.58556,0.47588,0.08071,0.71768,0.63957,0.68372,0.41108,0.4971,0.46046,0.08112,0.0008284,0.0008284,0.0008284
28,4602.04,0.58724,0.47457,0.08,0.71462,0.64495,0.69745,0.42105,0.49058,0.46097,0.07915,0.0008218,0.0008218,0.0008218
29,4764.05,0.57053,0.46671,0.07572,0.74386,0.65587,0.6992,0.42343,0.47892,0.46072,0.07596,0.0008152,0.0008152,0.0008152
30,4925.24,0.57285,0.46706,0.07654,0.70023,0.62261,0.65973,0.39846,0.4864,0.47095,0.0774,0.0008086,0.0008086,0.0008086
31,5086.78,0.57034,0.47061,0.07693,0.74063,0.62244,0.68485,0.418,0.48017,0.45312,0.07636,0.000802,0.000802,0.000802
32,5247.8,0.56637,0.46328,0.07493,0.71992,0.65151,0.69671,0.42731,0.47756,0.4601,0.07442,0.0007954,0.0007954,0.0007954
33,5408.76,0.5664,0.46925,0.07572,0.68787,0.63051,0.65007,0.39458,0.49482,0.47643,0.08248,0.0007888,0.0007888,0.0007888
34,5570.4,0.57056,0.47158,0.07559,0.7261,0.65974,0.70454,0.42774,0.4691,0.45558,0.07311,0.0007822,0.0007822,0.0007822
35,5731.33,0.55775,0.45783,0.07138,0.73562,0.66397,0.72249,0.44419,0.46644,0.44834,0.07424,0.0007756,0.0007756,0.0007756
36,5892.87,0.54937,0.46043,0.072,0.73321,0.67939,0.72273,0.44528,0.4628,0.44531,0.07032,0.000769,0.000769,0.000769
37,6053.99,0.53679,0.45772,0.07186,0.74775,0.69783,0.74244,0.45305,0.46094,0.44867,0.07294,0.0007624,0.0007624,0.0007624
