epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,191.167,1.91393,0.65105,0.77573,0.52123,0.02926,0.01321,0.00352,1.32702,0.47518,0.4554,0.000332428,0.000332428,0.000332428
2,376.854,1.26824,0.50681,0.33127,0.76602,0.10377,0.07729,0.03243,0.97447,0.68021,0.26836,0.000661367,0.000661367,0.000661367
3,561.627,1.13732,0.55089,0.26401,0.54596,0.155,0.11386,0.04933,0.89548,0.68288,0.22092,0.000985906,0.000985906,0.000985906
4,745.755,1.0481,0.58083,0.22845,0.42783,0.21133,0.15341,0.06954,0.83434,0.69231,0.20395,0.0009802,0.0009802,0.0009802
5,930.068,0.96527,0.56862,0.20098,0.56646,0.21938,0.19757,0.0938,0.77996,0.61658,0.17524,0.0009736,0.0009736,0.0009736
6,1129.39,0.92241,0.57017,0.17837,0.3535,0.33326,0.25344,0.12234,0.72591,0.63448,0.14979,0.000967,0.000967,0.000967
7,1322,0.87203,0.57358,0.16182,0.36612,0.34001,0.28498,0.13968,0.68549,0.64692,0.13082,0.0009604,0.0009604,0.0009604
8,1520.03,0.85617,0.55612,0.15636,0.38027,0.38983,0.32697,0.17204,0.67231,0.61908,0.1324,0.0009538,0.0009538,0.0009538
9,1704.35,0.83375,0.56572,0.14675,0.4014,0.39415,0.34503,0.17149,0.65527,0.59633,0.11907,0.0009472,0.0009472,0.0009472
10,1902.49,0.79021,0.54328,0.13062,0.46305,0.44726,0.39852,0.20877,0.63462,0.57363,0.11628,0.0009406,0.0009406,0.0009406
11,2087.29,0.76803,0.54792,0.12685,0.45613,0.42655,0.38598,0.20741,0.61582,0.63649,0.11595,0.000934,0.000934,0.000934
12,2285.62,0.76002,0.54083,0.12425,0.4845,0.45946,0.43363,0.23062,0.61524,0.55585,0.11213,0.0009274,0.0009274,0.0009274
13,2469.95,0.74341,0.53915,0.11907,0.50084,0.41788,0.39913,0.21102,0.63089,0.5538,0.11865,0.0009208,0.0009208,0.0009208
14,2654.99,0.72223,0.5362,0.11252,0.53921,0.49661,0.48606,0.26709,0.58748,0.55707,0.09998,0.0009142,0.0009142,0.0009142
15,2857.73,0.70068,0.52553,0.10697,0.55552,0.47246,0.48211,0.27542,0.58294,0.5458,0.10262,0.0009076,0.0009076,0.0009076
16,3044.44,0.67755,0.52186,0.10233,0.58506,0.5062,0.52279,0.30082,0.56097,0.53241,0.09774,0.000901,0.000901,0.000901
17,3238.12,0.66715,0.51526,0.09886,0.62194,0.51218,0.54288,0.31387,0.55205,0.51015,0.09354,0.0008944,0.0008944,0.0008944
18,3422.35,0.66622,0.51381,0.0985,0.58748,0.54938,0.55149,0.31728,0.54761,0.51628,0.08983,0.0008878,0.0008878,0.0008878
19,3607.01,0.66744,0.52596,0.10013,0.5935,0.5227,0.55011,0.30935,0.5492,0.51395,0.09361,0.0008812,0.0008812,0.0008812
20,3797.36,0.64222,0.51289,0.09212,0.59571,0.55198,0.55614,0.3306,0.53608,0.51472,0.08791,0.0008746,0.0008746,0.0008746
21,3999.69,0.63684,0.50152,0.09006,0.64276,0.51405,0.55931,0.32719,0.54882,0.50793,0.10048,0.000868,0.000868,0.000868
22,4204.41,0.62408,0.50362,0.08983,0.63067,0.60149,0.61279,0.35951,0.52089,0.49144,0.08488,0.0008614,0.0008614,0.0008614
23,4397.23,0.61969,0.50053,0.08904,0.65071,0.57695,0.60354,0.35514,0.51823,0.49822,0.08448,0.0008548,0.0008548,0.0008548
24,4581.73,0.60806,0.49898,0.08583,0.6571,0.59562,0.61763,0.36256,0.51787,0.48303,0.08357,0.0008482,0.0008482,0.0008482
25,4766.83,0.60331,0.48924,0.08453,0.63763,0.58952,0.61784,0.37465,0.49921,0.48414,0.07924,0.0008416,0.0008416,0.0008416
26,4971.42,0.59471,0.49194,0.08388,0.65598,0.57421,0.59641,0.35337,0.52445,0.49429,0.08583,0.000835,0.000835,0.000835
27,5179.45,0.59613,0.48889,0.08259,0.67158,0.5919,0.63537,0.3845,0.50054,0.47502,0.08126,0.0008284,0.0008284,0.0008284
28,5370.25,0.59025,0.48103,0.08023,0.68681,0.62541,0.65766,0.3944,0.50108,0.47142,0.08037,0.0008218,0.0008218,0.0008218
29,5558.42,0.58081,0.47644,0.07851,0.73673,0.63657,0.6809,0.40288,0.487,0.45864,0.07623,0.0008152,0.0008152,0.0008152
30,5745.83,0.58004,0.47907,0.07791,0.6914,0.64074,0.67582,0.40461,0.49061,0.46438,0.07852,0.0008086,0.0008086,0.0008086
31,5972.93,0.57238,0.47223,0.07734,0.75474,0.64679,0.70066,0.42662,0.48304,0.45355,0.0759,0.000802,0.000802,0.000802
32,6202.9,0.57425,0.46804,0.07499,0.76592,0.62357,0.6878,0.41064,0.47942,0.45856,0.07321,0.0007954,0.0007954,0.0007954
33,6414.97,0.55987,0.47027,0.07386,0.70675,0.6684,0.69392,0.41753,0.48711,0.45968,0.07627,0.0007888,0.0007888,0.0007888
34,6624.11,0.56519,0.4699,0.07428,0.72403,0.66689,0.71541,0.44071,0.4647,0.45042,0.07108,0.0007822,0.0007822,0.0007822
35,6808.43,0.56207,0.45709,0.07173,0.74765,0.68323,0.71872,0.43953,0.46693,0.44527,0.07096,0.0007756,0.0007756,0.0007756
36,7008.52,0.55201,0.46271,0.07173,0.7349,0.64699,0.69708,0.41625,0.47902,0.45734,0.07588,0.000769,0.000769,0.000769
37,7246.07,0.54232,0.46529,0.07244,0.73974,0.68289,0.73208,0.43998,0.4639,0.44506,0.07041,0.0007624,0.0007624,0.0007624
38,7460.59,0.54084,0.45122,0.07002,0.75061,0.70632,0.73332,0.45548,0.461,0.43582,0.07063,0.0007558,0.0007558,0.0007558
39,7659.94,0.53634,0.45041,0.06967,0.75496,0.69024,0.73582,0.45206,0.46185,0.43757,0.07038,0.0007492,0.0007492,0.0007492
40,7873.09,0.53033,0.4516,0.0686,0.77736,0.72696,0.75959,0.47126,0.45791,0.43356,0.07109,0.0007426,0.0007426,0.0007426
41,8063.3,0.53779,0.45036,0.06901,0.77413,0.70418,0.75408,0.46968,0.45216,0.43602,0.07,0.000736,0.000736,0.000736
42,8283.73,0.53159,0.44899,0.06722,0.75547,0.71149,0.73913,0.46441,0.45389,0.43669,0.07049,0.0007294,0.0007294,0.0007294
43,8468.01,0.52232,0.44241,0.06702,0.75616,0.70816,0.74387,0.46409,0.45636,0.43658,0.06964,0.0007228,0.0007228,0.0007228
44,8652.13,0.53139,0.44929,0.06755,0.77859,0.71532,0.76182,0.47664,0.45415,0.43193,0.0687,0.0007162,0.0007162,0.0007162
45,8836.67,0.52157,0.4435,0.06852,0.76465,0.73439,0.77015,0.48106,0.45155,0.4268,0.06875,0.0007096,0.0007096,0.0007096
46,9021.13,0.5207,0.44152,0.06556,0.76622,0.73391,0.77256,0.48709,0.44816,0.43204,0.06798,0.000703,0.000703,0.000703
47,9199.78,0.51697,0.44158,0.06469,0.80473,0.75092,0.78579,0.48991,0.44391,0.42271,0.06547,0.0006964,0.0006964,0.0006964
48,9378.49,0.51268,0.44182,0.06558,0.78017,0.76204,0.79145,0.49565,0.44323,0.42065,0.06671,0.0006898,0.0006898,0.0006898
49,9557.99,0.50372,0.43475,0.06306,0.829,0.74321,0.80123,0.50834,0.43574,0.41773,0.06501,0.0006832,0.0006832,0.0006832
50,9736.02,0.51144,0.44078,0.0648,0.77573,0.71954,0.76577,0.48151,0.43889,0.42976,0.06612,0.0006766,0.0006766,0.0006766
51,9914.86,0.51238,0.43917,0.06458,0.755,0.7537,0.76395,0.48392,0.44202,0.42529,0.06638,0.00067,0.00067,0.00067
52,10092.8,0.50666,0.43672,0.06244,0.78551,0.74697,0.78367,0.48398,0.44659,0.42639,0.06753,0.0006634,0.0006634,0.0006634
53,10271.4,0.50163,0.43513,0.0625,0.78835,0.76197,0.79466,0.49582,0.43468,0.4169,0.06382,0.0006568,0.0006568,0.0006568
54,10450,0.51292,0.44201,0.06366,0.74945,0.76261,0.78003,0.48355,0.44364,0.43272,0.06501,0.0006502,0.0006502,0.0006502
55,10629.1,0.50556,0.43641,0.06346,0.80942,0.7391,0.79799,0.50364,0.43609,0.4207,0.06367,0.0006436,0.0006436,0.0006436
56,10807.6,0.50191,0.43554,0.06226,0.7975,0.75052,0.79246,0.49854,0.43573,0.41908,0.06552,0.000637,0.000637,0.000637
57,10986.9,0.49245,0.43223,0.06021,0.81688,0.76041,0.80147,0.50056,0.43386,0.41711,0.0644,0.0006304,0.0006304,0.0006304
58,11165.7,0.49315,0.42499,0.05964,0.79117,0.76566,0.80569,0.51465,0.42247,0.41218,0.06281,0.0006238,0.0006238,0.0006238
59,11345.2,0.48527,0.42701,0.06043,0.78965,0.78443,0.81388,0.5215,0.42448,0.41319,0.0626,0.0006172,0.0006172,0.0006172
