epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,184.732,1.9278,0.62443,0.77083,0.0022,0.01347,0.00104,0.00024,1.69425,0.38108,0.67206,0.000332428,0.000332428,0.000332428
2,388.3,1.35932,0.46585,0.37189,0.75528,0.09048,0.0635,0.02327,1.02194,0.64251,0.30356,0.000661367,0.000661367,0.000661367
3,571.725,1.16963,0.55155,0.28091,0.50666,0.13486,0.09978,0.03811,0.91779,0.71925,0.22955,0.000985906,0.000985906,0.000985906
4,744.822,1.05998,0.58511,0.23382,0.44913,0.1659,0.13174,0.06119,0.85576,0.68901,0.21276,0.0009802,0.0009802,0.0009802
5,917.668,1.00042,0.59612,0.21171,0.53351,0.19651,0.19213,0.09164,0.81629,0.71883,0.18139,0.0009736,0.0009736,0.0009736
6,1095.53,0.93818,0.57282,0.18207,0.3773,0.29923,0.24283,0.11329,0.74366,0.68823,0.15268,0.000967,0.000967,0.000967
7,1289.64,0.89047,0.58336,0.16932,0.3853,0.31953,0.28354,0.13975,0.71028,0.63663,0.1414,0.0009604,0.0009604,0.0009604
8,1483.71,0.87366,0.56098,0.16952,0.48389,0.34628,0.32804,0.17496,0.67392,0.62213,0.12989,0.0009538,0.0009538,0.0009538
9,1655.66,0.83614,0.56218,0.14612,0.5368,0.33578,0.34149,0.17648,0.67044,0.63099,0.13292,0.0009472,0.0009472,0.0009472
10,1827.06,0.80332,0.5504,0.13537,0.54919,0.38216,0.39359,0.21003,0.63742,0.57551,0.11738,0.0009406,0.0009406,0.0009406
11,2005.75,0.76826,0.54333,0.12613,0.45823,0.43398,0.38433,0.2024,0.61095,0.60082,0.11072,0.000934,0.000934,0.000934
12,2177.18,0.76264,0.5451,0.12501,0.53081,0.38092,0.39379,0.21833,0.60721,0.58731,0.10883,0.0009274,0.0009274,0.0009274
13,2349.29,0.74131,0.53928,0.11536,0.5274,0.43926,0.44668,0.23723,0.6264,0.55195,0.11571,0.0009208,0.0009208,0.0009208
14,2521.02,0.72614,0.53945,0.11313,0.47233,0.45782,0.42821,0.22616,0.64736,0.55857,0.12717,0.0009142,0.0009142,0.0009142
15,2700.61,0.70367,0.53036,0.10824,0.57823,0.51124,0.51854,0.30046,0.5626,0.52737,0.09307,0.0009076,0.0009076,0.0009076
16,2872.23,0.69843,0.53166,0.1096,0.45832,0.50587,0.45166,0.2427,0.60619,0.60673,0.11089,0.000901,0.000901,0.000901
17,3052.36,0.68626,0.51843,0.10337,0.52857,0.54169,0.51723,0.30101,0.55699,0.51922,0.09486,0.0008944,0.0008944,0.0008944
18,3252.31,0.67506,0.50962,0.10044,0.62236,0.50262,0.542,0.31827,0.54672,0.51858,0.09012,0.0008878,0.0008878,0.0008878
19,3437.44,0.65993,0.51048,0.09718,0.59228,0.56971,0.57228,0.32269,0.56238,0.50498,0.09356,0.0008812,0.0008812,0.0008812
20,3608.97,0.65607,0.50755,0.09488,0.60903,0.53945,0.5551,0.31211,0.55335,0.5022,0.09187,0.0008746,0.0008746,0.0008746
21,3797.64,0.64309,0.50557,0.09098,0.63764,0.5571,0.59015,0.3497,0.53894,0.4897,0.08892,0.000868,0.000868,0.000868
22,3969.37,0.62771,0.50142,0.08944,0.66846,0.56312,0.60552,0.36542,0.51367,0.48676,0.08293,0.0008614,0.0008614,0.0008614
23,4141.48,0.62546,0.50082,0.08953,0.60182,0.57189,0.59384,0.3504,0.53002,0.50724,0.08983,0.0008548,0.0008548,0.0008548
24,4318.03,0.61103,0.49384,0.0851,0.69831,0.58567,0.62764,0.37236,0.51934,0.47993,0.08437,0.0008482,0.0008482,0.0008482
25,4490.04,0.60276,0.48481,0.0837,0.71791,0.60702,0.64756,0.39514,0.54342,0.45628,0.10226,0.0008416,0.0008416,0.0008416
26,4661.37,0.59356,0.48146,0.08348,0.65191,0.58241,0.60621,0.35489,0.52561,0.4917,0.08997,0.000835,0.000835,0.000835
27,4833,0.60001,0.48568,0.08435,0.66778,0.63455,0.6621,0.39755,0.51179,0.47193,0.08522,0.0008284,0.0008284,0.0008284
28,5004.78,0.58757,0.4825,0.0789,0.70319,0.65136,0.68597,0.42079,0.49852,0.45651,0.08258,0.0008218,0.0008218,0.0008218
29,5176.47,0.59022,0.4788,0.08046,0.69185,0.5861,0.63161,0.3707,0.53701,0.50524,0.10651,0.0008152,0.0008152,0.0008152
30,5360.61,0.59065,0.47639,0.08119,0.65241,0.58915,0.60503,0.35923,0.54167,0.48285,0.09167,0.0008086,0.0008086,0.0008086
31,5532.07,0.58924,0.47843,0.07999,0.73877,0.60705,0.67817,0.41453,0.49731,0.46002,0.07854,0.000802,0.000802,0.000802
32,5703.83,0.58942,0.47152,0.07758,0.72757,0.66063,0.6938,0.42285,0.48863,0.45232,0.0768,0.0007954,0.0007954,0.0007954
33,5875.08,0.56859,0.46818,0.07564,0.71446,0.64641,0.67084,0.41437,0.48083,0.46273,0.07472,0.0007888,0.0007888,0.0007888
34,6047.02,0.56148,0.46326,0.07231,0.76339,0.68567,0.72962,0.44279,0.47128,0.44525,0.07297,0.0007822,0.0007822,0.0007822
35,6218.64,0.56247,0.46261,0.0721,0.73896,0.65911,0.71358,0.43507,0.47779,0.46114,0.07535,0.0007756,0.0007756,0.0007756
36,6394.61,0.55934,0.46626,0.07266,0.73896,0.66034,0.71133,0.43757,0.47264,0.4586,0.07494,0.000769,0.000769,0.000769
37,6565.64,0.54735,0.46692,0.07364,0.77188,0.68693,0.7431,0.4536,0.4637,0.44032,0.07187,0.0007624,0.0007624,0.0007624
38,6737.8,0.54712,0.46053,0.07147,0.76213,0.69833,0.75051,0.45912,0.4693,0.44126,0.07189,0.0007558,0.0007558,0.0007558
39,6918.71,0.54067,0.45831,0.07076,0.7422,0.69734,0.74194,0.46153,0.46008,0.44001,0.07108,0.0007492,0.0007492,0.0007492
40,7090.8,0.53221,0.45659,0.06861,0.78016,0.71151,0.75671,0.47334,0.45556,0.42953,0.06955,0.0007426,0.0007426,0.0007426
41,7262.53,0.53662,0.45373,0.06907,0.78005,0.70368,0.74609,0.46515,0.46073,0.44044,0.07141,0.000736,0.000736,0.000736
42,7449.8,0.53762,0.45023,0.06917,0.80901,0.71495,0.77025,0.47781,0.45388,0.42826,0.06829,0.0007294,0.0007294,0.0007294
43,7621.38,0.52214,0.4463,0.06642,0.79331,0.70957,0.7569,0.47837,0.45484,0.42805,0.06921,0.0007228,0.0007228,0.0007228
44,7793.48,0.52746,0.44285,0.06571,0.77634,0.72624,0.77088,0.48491,0.44423,0.43171,0.06522,0.0007162,0.0007162,0.0007162
45,7965.45,0.51415,0.43887,0.06644,0.79189,0.72585,0.77007,0.48124,0.44658,0.42763,0.06812,0.0007096,0.0007096,0.0007096
46,8152.49,0.51838,0.4412,0.06471,0.79162,0.74842,0.78235,0.4914,0.43862,0.43117,0.06556,0.000703,0.000703,0.000703
47,8323.89,0.51605,0.44475,0.06434,0.79247,0.73505,0.76731,0.48958,0.44508,0.42685,0.06669,0.0006964,0.0006964,0.0006964
48,8510.08,0.51374,0.44416,0.06478,0.7966,0.7384,0.7856,0.49618,0.4425,0.42106,0.06583,0.0006898,0.0006898,0.0006898
49,8681.64,0.51464,0.44673,0.06572,0.81892,0.71078,0.77532,0.49171,0.44573,0.42491,0.06755,0.0006832,0.0006832,0.0006832
50,8853.91,0.51527,0.44174,0.06566,0.81416,0.72252,0.77535,0.49374,0.44202,0.42767,0.06678,0.0006766,0.0006766,0.0006766
51,9027.28,0.50863,0.43784,0.06323,0.80494,0.75664,0.79269,0.50475,0.43513,0.42378,0.06377,0.00067,0.00067,0.00067
52,9199.05,0.4992,0.4335,0.06088,0.81115,0.7415,0.79192,0.50238,0.4338,0.41827,0.0648,0.0006634,0.0006634,0.0006634
53,9382.73,0.50582,0.4374,0.06322,0.81344,0.74315,0.79189,0.50149,0.4425,0.42527,0.06789,0.0006568,0.0006568,0.0006568
54,9554.59,0.5066,0.42942,0.0612,0.82034,0.7453,0.79185,0.50081,0.44518,0.41865,0.06776,0.0006502,0.0006502,0.0006502
55,9726.39,0.50442,0.43386,0.06343,0.81279,0.74868,0.79266,0.50492,0.43807,0.41992,0.06616,0.0006436,0.0006436,0.0006436
56,9898.36,0.50095,0.43466,0.06256,0.8124,0.75957,0.79504,0.50268,0.43622,0.41889,0.06548,0.000637,0.000637,0.000637
57,10069.4,0.48882,0.43094,0.05959,0.81019,0.77615,0.80157,0.51248,0.43706,0.4211,0.06526,0.0006304,0.0006304,0.0006304
58,10241.2,0.49518,0.42493,0.05953,0.79767,0.77179,0.81112,0.51659,0.42587,0.41487,0.06304,0.0006238,0.0006238,0.0006238
59,10412.6,0.48845,0.43053,0.06064,0.85801,0.7573,0.81642,0.52206,0.43488,0.41375,0.06457,0.0006172,0.0006172,0.0006172
60,10595.4,0.47606,0.42231,0.05878,0.82979,0.76755,0.82001,0.52363,0.42659,0.40984,0.06317,0.0006106,0.0006106,0.0006106
61,10776,0.48929,0.42383,0.05845,0.80471,0.78396,0.80779,0.5255,0.42304,0.40551,0.06153,0.000604,0.000604,0.000604
62,10961.4,0.48025,0.42586,0.06047,0.82729,0.75864,0.80418,0.51295,0.42167,0.41181,0.06281,0.0005974,0.0005974,0.0005974
63,11150.4,0.48149,0.42634,0.05837,0.81322,0.77067,0.80441,0.51256,0.4279,0.41378,0.06389,0.0005908,0.0005908,0.0005908
64,11338.2,0.48493,0.42378,0.05879,0.82905,0.79109,0.81556,0.52519,0.42274,0.41073,0.06249,0.0005842,0.0005842,0.0005842
65,11509.8,0.46999,0.41875,0.05773,0.81565,0.78637,0.8227,0.52866,0.42075,0.40785,0.06215,0.0005776,0.0005776,0.0005776
66,11681.7,0.48659,0.42499,0.05961,0.83687,0.76575,0.81758,0.52355,0.4209,0.41384,0.06191,0.000571,0.000571,0.000571
67,11853.6,0.47143,0.41749,0.05589,0.83683,0.78729,0.82882,0.53525,0.4188,0.40075,0.06145,0.0005644,0.0005644,0.0005644
68,12038.7,0.47366,0.41944,0.0562,0.83861,0.77098,0.82507,0.53225,0.41971,0.40918,0.06155,0.0005578,0.0005578,0.0005578
69,12227.4,0.48084,0.42099,0.05586,0.83977,0.77098,0.81855,0.52528,0.41997,0.40901,0.06147,0.0005512,0.0005512,0.0005512
70,12415.9,0.47245,0.41978,0.05665,0.85525,0.78579,0.83209,0.5265,0.42602,0.40673,0.06292,0.0005446,0.0005446,0.0005446
71,12607.3,0.47551,0.42457,0.05856,0.80578,0.67934,0.70709,0.44857,0.5227,0.44462,0.08988,0.000538,0.000538,0.000538
72,12800.2,0.46934,0.42151,0.05672,0.82028,0.7951,0.82385,0.52978,0.41748,0.40594,0.06103,0.0005314,0.0005314,0.0005314
73,12991.3,0.47686,0.42139,0.05686,0.82425,0.79008,0.82309,0.52722,0.4168,0.40796,0.06075,0.0005248,0.0005248,0.0005248
74,13183.2,0.46684,0.42003,0.05656,0.83663,0.77544,0.82603,0.52843,0.41714,0.40744,0.06034,0.0005182,0.0005182,0.0005182
75,13377.3,0.46627,0.42054,0.0558,0.84534,0.77802,0.82982,0.53615,0.41701,0.40328,0.06172,0.0005116,0.0005116,0.0005116
