epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,177.332,2.1536,0.61162,1.67393,0.00078,0.05134,0.00091,0.00021,1.46012,0.45942,0.50206,0.000332428,0.000332428,0.000332428
2,371.787,1.45182,0.43553,0.4232,0.19475,0.05013,0.01185,0.00289,1.27534,0.68527,0.3777,0.000661367,0.000661367,0.000661367
3,536.269,1.3064,0.47554,0.33845,0.7602,0.09169,0.06564,0.02216,1.04516,0.71399,0.28308,0.000985906,0.000985906,0.000985906
4,700.373,1.17246,0.55091,0.27483,0.77852,0.11578,0.09628,0.0372,0.95285,0.69715,0.22788,0.0009802,0.0009802,0.0009802
5,869.726,1.08581,0.55938,0.2389,0.74773,0.13215,0.13167,0.05347,0.87695,0.66449,0.20225,0.0009736,0.0009736,0.0009736
6,1033.37,1.03065,0.57678,0.213,0.50305,0.19982,0.17536,0.07681,0.82376,0.68757,0.17965,0.000967,0.000967,0.000967
7,1196.74,0.97648,0.56588,0.1971,0.38379,0.27892,0.2284,0.0971,0.79555,0.62869,0.1699,0.0009604,0.0009604,0.0009604
8,1360.29,0.95073,0.56102,0.18322,0.41396,0.306,0.25668,0.11704,0.76143,0.62108,0.15549,0.0009538,0.0009538,0.0009538
9,1523.04,0.91754,0.55682,0.17385,0.42206,0.31394,0.27322,0.12812,0.72847,0.61647,0.14921,0.0009472,0.0009472,0.0009472
10,1687.51,0.87739,0.54125,0.15689,0.41809,0.35928,0.32261,0.15348,0.70013,0.6032,0.1388,0.0009406,0.0009406,0.0009406
11,1850.78,0.86207,0.5472,0.15571,0.44126,0.3825,0.33375,0.15487,0.70513,0.59046,0.13626,0.000934,0.000934,0.000934
12,2014.02,0.84677,0.54698,0.14982,0.4038,0.36882,0.33087,0.1604,0.68952,0.59602,0.13027,0.0009274,0.0009274,0.0009274
13,2176.82,0.83216,0.54024,0.14382,0.52545,0.37473,0.3605,0.19245,0.65949,0.5997,0.12303,0.0009208,0.0009208,0.0009208
