epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,158.862,1.87848,0.72414,0.74187,0.70511,0.05399,0.01995,0.0055,1.2656,0.56944,0.4528,0.000332428,0.000332428,0.000332428
2,325.465,1.25079,0.52951,0.34381,0.87307,0.05203,0.0457,0.01867,1.30209,0.58704,0.46718,0.000661367,0.000661367,0.000661367
3,480.554,1.13668,0.57528,0.27878,0.57307,0.15158,0.11001,0.04893,0.86921,0.73032,0.22871,0.000985906,0.000985906,0.000985906
4,641.461,1.02653,0.59628,0.2218,0.45843,0.21269,0.16458,0.07455,0.80239,0.73486,0.17794,0.0009802,0.0009802,0.0009802
5,791.561,0.95306,0.59271,0.19569,0.32642,0.27185,0.20515,0.10134,0.75973,0.67275,0.16814,0.0009736,0.0009736,0.0009736
6,941.975,0.9235,0.59141,0.17886,0.49829,0.2238,0.20281,0.1016,0.7271,0.82613,0.14928,0.000967,0.000967,0.000967
7,1092.41,0.86951,0.58041,0.1609,0.38999,0.3172,0.2908,0.15337,0.67712,0.63902,0.1289,0.0009604,0.0009604,0.0009604
8,1243.85,0.84788,0.56511,0.15155,0.37246,0.34944,0.29181,0.15149,0.69586,0.62618,0.13025,0.0009538,0.0009538,0.0009538
9,1394.69,0.82059,0.5661,0.14051,0.49949,0.3531,0.34135,0.17837,0.65607,0.61657,0.12891,0.0009472,0.0009472,0.0009472
10,1545.83,0.79865,0.55942,0.13381,0.48851,0.40814,0.38412,0.20249,0.63145,0.58635,0.11284,0.0009406,0.0009406,0.0009406
11,1697.47,0.75676,0.55177,0.12363,0.48672,0.3958,0.37959,0.18524,0.68901,0.59088,0.13423,0.000934,0.000934,0.000934
12,1848.05,0.74796,0.54089,0.12036,0.55577,0.40971,0.40441,0.22597,nan,nan,nan,0.0009274,0.0009274,0.0009274
13,1999.3,0.7221,0.53558,0.11219,0.54655,0.48791,0.47266,0.25809,0.58626,0.56349,0.10072,0.0009208,0.0009208,0.0009208
14,2149.95,0.71321,0.5404,0.1103,0.54802,0.48415,0.48697,0.27081,0.59357,0.54218,0.10007,0.0009142,0.0009142,0.0009142
15,2302.16,0.69888,0.53765,0.10804,0.54897,0.45698,0.47381,0.27587,0.58033,0.5628,0.10124,0.0009076,0.0009076,0.0009076
16,2474.53,0.68277,0.53137,0.10473,0.52244,0.48473,0.48056,0.279,0.56346,0.55225,0.09749,0.000901,0.000901,0.000901
17,2637.83,0.67679,0.52326,0.10097,0.58029,0.51666,0.52648,0.30286,0.56003,0.52026,0.09445,0.0008944,0.0008944,0.0008944
18,2800.41,0.65807,0.51679,0.09686,0.63223,0.53006,0.57193,0.33789,0.54091,0.50131,0.0879,0.0008878,0.0008878,0.0008878
19,2951.15,0.64432,0.51651,0.0939,0.56848,0.54911,0.53837,0.31732,0.54941,0.53843,0.09307,0.0008812,0.0008812,0.0008812
20,3102.65,0.6399,0.51454,0.09231,0.58649,0.56417,0.56909,0.33105,0.53618,0.50584,0.08771,0.0008746,0.0008746,0.0008746
21,3253.23,0.63099,0.50645,0.08802,0.63635,0.59111,0.62661,0.36508,0.52929,0.48667,0.08868,0.000868,0.000868,0.000868
22,3404.54,0.62457,0.50394,0.0895,0.64544,0.56805,0.60959,0.34787,0.52888,0.50513,0.08732,0.0008614,0.0008614,0.0008614
23,3555.49,0.60951,0.50153,0.08634,0.66369,0.56695,0.61574,0.35966,0.51438,0.48741,0.08137,0.0008548,0.0008548,0.0008548
24,3706.3,0.6072,0.50012,0.08518,0.67083,0.56199,0.6029,0.35364,0.51867,0.49595,0.08764,0.0008482,0.0008482,0.0008482
25,3857.79,0.60526,0.50337,0.0852,0.68653,0.58643,0.6156,0.35951,0.51207,0.48822,0.08186,0.0008416,0.0008416,0.0008416
26,4008.65,0.59517,0.49376,0.08367,0.63094,0.62708,0.62136,0.36712,0.51885,0.50043,0.08656,0.000835,0.000835,0.000835
27,4159.87,0.59007,0.48772,0.08132,0.70137,0.62582,0.6586,0.38972,0.50335,0.46744,0.08118,0.0008284,0.0008284,0.0008284
28,4310.94,0.59169,0.4797,0.08002,0.69062,0.64575,0.67099,0.39347,0.51224,0.46424,0.08166,0.0008218,0.0008218,0.0008218
29,4462.22,0.5861,0.47531,0.07902,0.70629,0.66308,0.69291,0.40921,0.48947,0.46649,0.07827,0.0008152,0.0008152,0.0008152
30,4614.78,0.57326,0.47039,0.0762,0.74246,0.6549,0.7044,0.42095,0.48233,0.45589,0.07397,0.0008086,0.0008086,0.0008086
31,4767.28,0.57336,0.47164,0.07655,0.73891,0.63415,0.68444,0.41478,0.49792,0.45492,0.07932,0.000802,0.000802,0.000802
32,4919.09,0.57615,0.47082,0.07657,0.75916,0.6598,0.72057,0.43781,0.47776,0.45593,0.07438,0.0007954,0.0007954,0.0007954
33,5070.14,0.56732,0.47437,0.07526,0.67418,0.67133,0.67103,0.40177,0.49175,0.48903,0.07832,0.0007888,0.0007888,0.0007888
34,5221.41,0.56584,0.46618,0.07396,0.75701,0.67792,0.72197,0.44448,0.47461,0.44351,0.07332,0.0007822,0.0007822,0.0007822
