epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,213.997,1.87541,0.69364,0.72318,0.53913,0.06015,0.02076,0.00579,1.18114,0.62567,0.36166,0.000332428,0.000332428,0.000332428
2,422.994,1.19909,0.55491,0.29765,0.76121,0.09818,0.06995,0.02983,0.91015,0.71964,0.22275,0.000661367,0.000661367,0.000661367
3,635.793,1.07609,0.60084,0.24789,0.50169,0.17597,0.13139,0.06223,0.82505,0.71133,0.19514,0.000985906,0.000985906,0.000985906
4,845.255,0.98269,0.58794,0.20271,0.33011,0.21275,0.17703,0.08126,0.81743,0.65673,0.18597,0.0009802,0.0009802,0.0009802
5,1051.06,0.90699,0.58367,0.17432,0.51371,0.27406,0.26558,0.12578,0.71027,0.64859,0.14187,0.0009736,0.0009736,0.0009736
6,1260.58,0.86197,0.58354,0.15539,0.44356,0.31659,0.29184,0.14881,0.81686,0.56984,0.18932,0.000967,0.000967,0.000967
7,1470.48,0.82509,0.57337,0.14811,0.41665,0.37367,0.33173,0.17464,0.67833,0.60652,0.12188,0.0009604,0.0009604,0.0009604
8,1676.19,0.79036,0.56288,0.1325,0.42605,0.41804,0.36562,0.19354,0.63937,0.59191,0.12461,0.0009538,0.0009538,0.0009538
9,1887.42,0.76047,0.56145,0.12311,0.44894,0.42687,0.37973,0.21064,0.61567,0.60284,0.11117,0.0009472,0.0009472,0.0009472
10,2093.53,0.74572,0.54754,0.11672,0.50389,0.4359,0.43371,0.24496,0.59811,0.55735,0.11118,0.0009406,0.0009406,0.0009406
11,2303.73,0.72388,0.54074,0.11439,0.44793,0.4623,0.41298,0.2294,0.60966,0.57258,0.11475,0.000934,0.000934,0.000934
12,2509.73,0.72749,0.54196,0.11398,0.56937,0.43696,0.45945,0.24934,0.62424,0.53653,0.11261,0.0009274,0.0009274,0.0009274
13,2721.89,0.70671,0.53005,0.10677,0.51046,0.50337,0.48485,0.27695,0.5749,0.55518,0.10353,0.0009208,0.0009208,0.0009208
