epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,158.694,2.02572,0.55044,0.83904,0.16928,0.06088,0.00164,0.00038,nan,nan,nan,0.000332428,0.000332428,0.000332428
2,313.52,1.45438,0.42859,0.41364,0.55004,0.05712,0.0238,0.00599,1.23577,0.53593,0.38356,0.000661367,0.000661367,0.000661367
3,466.562,1.31387,0.47162,0.33981,0.74272,0.0796,0.04759,0.01234,1.14476,0.60061,0.34278,0.000985906,0.000985906,0.000985906
4,619.763,1.19521,0.52202,0.28177,0.77577,0.10495,0.08504,0.03324,0.96682,0.63698,0.2342,0.0009802,0.0009802,0.0009802
5,772.893,1.11335,0.53962,0.24761,0.75772,0.14313,0.12359,0.04821,0.91692,0.61582,0.21856,0.0009736,0.0009736,0.0009736
6,926.117,1.06785,0.54476,0.22605,0.60164,0.14873,0.13748,0.05828,0.86855,0.6851,0.19097,0.000967,0.000967,0.000967
7,1079.93,1.01549,0.56044,0.2083,0.26447,0.26747,0.18976,0.07853,0.85273,0.62598,0.1842,0.0009604,0.0009604,0.0009604
8,1240.7,1.00238,0.54942,0.19791,0.27958,0.30812,0.22765,0.10272,0.80039,0.61271,0.16721,0.0009538,0.0009538,0.0009538
9,1413.02,0.9659,0.55575,0.18643,0.3627,0.25464,0.21307,0.10138,0.78831,0.63165,0.16704,0.0009472,0.0009472,0.0009472
10,1570.92,0.93106,0.53836,0.16808,0.3491,0.3211,0.26097,0.12607,0.75068,0.59804,0.14982,0.0009406,0.0009406,0.0009406
11,1726.94,0.91159,0.54567,0.16462,0.37022,0.30487,0.2742,0.1375,0.72976,0.57658,0.14581,0.000934,0.000934,0.000934
12,1879.87,0.88464,0.54165,0.15457,0.45707,0.30843,0.27177,0.13845,0.72373,0.60633,0.13669,0.0009274,0.0009274,0.0009274
13,2034.24,0.8589,0.53983,0.14544,0.48793,0.34158,0.31675,0.16106,0.69592,0.59106,0.12813,0.0009208,0.0009208,0.0009208
14,2224.37,0.83924,0.53884,0.13878,0.44508,0.34482,0.33136,0.17196,0.68247,0.58431,0.12682,0.0009142,0.0009142,0.0009142
15,2429.9,0.83037,0.54141,0.14055,0.40502,0.36809,0.33989,0.17476,0.68935,0.57357,0.13021,0.0009076,0.0009076,0.0009076
16,2613.49,0.80442,0.54268,0.13207,0.44829,0.3618,0.33646,0.17611,0.66183,0.5752,0.12222,0.000901,0.000901,0.000901
17,2788.35,0.78187,0.53526,0.12549,0.47401,0.31417,0.31218,0.15965,0.70737,0.62032,0.14414,0.0008944,0.0008944,0.0008944
18,2979.32,0.80131,0.54478,0.13033,0.50528,0.42268,0.38466,0.2116,0.63378,0.55538,0.11009,0.0008878,0.0008878,0.0008878
19,3140.77,0.77647,0.52759,0.12244,0.4437,0.41598,0.38722,0.20947,0.64169,0.53989,0.11181,0.0008812,0.0008812,0.0008812
20,3320.27,0.76101,0.5336,0.11744,0.5417,0.41154,0.41906,0.2314,0.63942,0.53512,0.11101,0.0008746,0.0008746,0.0008746
21,3473.18,0.74793,0.5201,0.11372,0.50248,0.45815,0.44645,0.24643,0.60416,0.52589,0.10298,0.000868,0.000868,0.000868
22,3626.35,0.71397,0.52312,0.10649,0.56279,0.46599,0.46634,0.25969,0.59663,0.52776,0.09879,0.0008614,0.0008614,0.0008614
23,3784.19,0.72179,0.5184,0.109,0.5472,0.45213,0.46587,0.25245,0.61048,0.52196,0.10271,0.0008548,0.0008548,0.0008548
24,3955.96,0.70771,0.52143,0.10408,0.53852,0.46693,0.46836,0.27156,0.59367,0.51648,0.09966,0.0008482,0.0008482,0.0008482
25,4135.22,0.70286,0.52127,0.10449,0.597,0.50402,0.50459,0.28374,0.57217,0.53022,0.09375,0.0008416,0.0008416,0.0008416
26,4297.09,0.68699,0.51946,0.10234,0.55598,0.51385,0.4989,0.28416,0.58275,0.51978,0.09871,0.000835,0.000835,0.000835
27,4462.34,0.69092,0.5116,0.10191,0.59467,0.5005,0.50538,0.286,0.57744,0.50635,0.0979,0.0008284,0.0008284,0.0008284
28,4617.64,0.69185,0.51172,0.0996,0.60446,0.49113,0.51882,0.30363,0.56158,0.50113,0.09163,0.0008218,0.0008218,0.0008218
29,4808.04,0.68317,0.51152,0.09831,0.61133,0.51718,0.5285,0.3042,0.55366,0.50658,0.08824,0.0008152,0.0008152,0.0008152
30,4997.73,0.66693,0.49913,0.0939,0.61576,0.54586,0.56036,0.32028,0.55186,0.50252,0.0875,0.0008086,0.0008086,0.0008086
31,5200.8,0.66158,0.50275,0.09418,0.65868,0.50854,0.55033,0.31864,0.5526,0.49722,0.08692,0.000802,0.000802,0.000802
32,5393.07,0.67157,0.50464,0.09472,0.63765,0.52397,0.53784,0.31004,0.55415,0.51113,0.09137,0.0007954,0.0007954,0.0007954
33,5582.21,0.65344,0.49944,0.09155,0.65138,0.53953,0.54939,0.31747,0.54947,0.49881,0.08693,0.0007888,0.0007888,0.0007888
34,5756.63,0.65176,0.49675,0.09034,0.68307,0.5459,0.57418,0.32826,0.54955,0.47972,0.08837,0.0007822,0.0007822,0.0007822
35,5913.89,0.65535,0.49233,0.08994,0.70573,0.55108,0.59187,0.33887,0.54619,0.48162,0.08545,0.0007756,0.0007756,0.0007756
36,6101.96,0.63995,0.49715,0.08855,0.67619,0.55791,0.58438,0.33965,0.53758,0.48862,0.08734,0.000769,0.000769,0.000769
37,6290.48,0.62641,0.4932,0.08869,0.59792,0.59422,0.59693,0.35316,0.53598,0.47944,0.08399,0.0007624,0.0007624,0.0007624
38,6443.89,0.63614,0.48857,0.08759,0.685,0.56584,0.59749,0.34915,0.53194,0.47747,0.08708,0.0007558,0.0007558,0.0007558
