epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,190.656,1.9288,0.62715,0.82549,0.20324,0.04405,0.01516,0.00358,1.25282,0.57079,0.41136,0.000332428,0.000332428,0.000332428
2,380.679,1.32203,0.47488,0.34492,0.76058,0.09075,0.06307,0.02165,1.05645,0.64829,0.28614,0.000661367,0.000661367,0.000661367
3,565.833,1.19211,0.52077,0.287,0.72879,0.13895,0.12137,0.04677,0.90153,0.6703,0.20761,0.000985906,0.000985906,0.000985906
4,750.141,1.09917,0.5651,0.24334,0.57282,0.16787,0.15976,0.06075,0.85581,0.68122,0.19811,0.0009802,0.0009802,0.0009802
5,928.827,1.00983,0.57253,0.20995,0.5299,0.21375,0.20921,0.08723,0.79399,0.66966,0.1713,0.0009736,0.0009736,0.0009736
6,1115.24,0.9798,0.57517,0.1933,0.57871,0.22421,0.21749,0.09817,0.77398,0.68516,0.15342,0.000967,0.000967,0.000967
7,1288.8,0.92398,0.57241,0.17952,0.34192,0.32547,0.26478,0.11975,0.70687,0.66435,0.13638,0.0009604,0.0009604,0.0009604
8,1463.52,0.90136,0.5546,0.16929,0.41419,0.3436,0.29566,0.14548,0.71015,0.61675,0.14126,0.0009538,0.0009538,0.0009538
9,1637.57,0.86126,0.55745,0.15499,0.41468,0.37747,0.32717,0.17175,0.66847,0.61356,0.12582,0.0009472,0.0009472,0.0009472
10,1812.16,0.82959,0.54711,0.14433,0.45802,0.38277,0.36146,0.18183,0.67634,0.60534,0.12979,0.0009406,0.0009406,0.0009406
11,1987.36,0.80807,0.54108,0.14027,0.46057,0.42468,0.38932,0.20532,0.62647,0.57813,0.11394,0.000934,0.000934,0.000934
12,2163.37,0.80113,0.53867,0.13783,0.50866,0.42938,0.42223,0.22393,0.61625,0.56192,0.10936,0.0009274,0.0009274,0.0009274
13,2337.98,0.76923,0.52889,0.12554,0.5143,0.45252,0.44193,0.2408,0.61461,0.55106,0.10837,0.0009208,0.0009208,0.0009208
14,2512.58,0.74317,0.52867,0.11823,0.50152,0.45153,0.4357,0.23023,0.62037,0.55827,0.11442,0.0009142,0.0009142,0.0009142
15,2686.81,0.73249,0.52884,0.11821,0.5618,0.47509,0.48374,0.26374,0.59915,0.54163,0.10129,0.0009076,0.0009076,0.0009076
16,2862.47,0.7143,0.5223,0.11208,0.66293,0.43714,0.49853,0.26432,0.59494,0.55128,0.10342,0.000901,0.000901,0.000901
17,3043.68,0.70132,0.51733,0.10896,0.55031,0.49643,0.5098,0.28717,0.59404,0.53078,0.10756,0.0008944,0.0008944,0.0008944
18,3225.79,0.70277,0.53103,0.11028,0.56896,0.50414,0.51522,0.28633,0.56336,0.5381,0.09787,0.0008878,0.0008878,0.0008878
19,3407.35,0.68212,0.52064,0.10416,0.58505,0.52556,0.53152,0.30292,0.54688,0.51969,0.09222,0.0008812,0.0008812,0.0008812
20,3586.73,0.66474,0.50628,0.09853,0.60937,0.54041,0.56615,0.32265,0.53689,0.50313,0.09031,0.0008746,0.0008746,0.0008746
21,3761.55,0.6522,0.49795,0.09519,0.66133,0.54155,0.57336,0.32225,0.54193,0.49935,0.09111,0.000868,0.000868,0.000868
22,3940.44,0.63643,0.50059,0.09329,0.65856,0.55011,0.59688,0.34498,0.52709,0.49297,0.08812,0.0008614,0.0008614,0.0008614
23,4118.95,0.63217,0.50076,0.09308,0.58117,0.54485,0.54367,0.31574,0.54262,0.54394,0.09486,0.0008548,0.0008548,0.0008548
24,4298.15,0.6187,0.49599,0.08814,0.65807,0.59092,0.634,0.37141,0.51023,0.49176,0.08361,0.0008482,0.0008482,0.0008482
25,4479.01,0.62366,0.49524,0.092,0.63728,0.58615,0.60808,0.35009,0.51615,0.49233,0.0849,0.0008416,0.0008416,0.0008416
26,4658.91,0.61127,0.49202,0.08844,0.67707,0.5883,0.62451,0.367,0.51939,0.47743,0.08574,0.000835,0.000835,0.000835
27,4836.43,0.6205,0.49239,0.08981,0.65205,0.60024,0.63304,0.37207,0.49826,0.49234,0.0784,0.0008284,0.0008284,0.0008284
28,5009.78,0.61655,0.48171,0.08686,0.6609,0.6429,0.65862,0.40237,0.49545,0.46904,0.08004,0.0008218,0.0008218,0.0008218
29,5183.33,0.59405,0.47622,0.08234,0.62654,0.63217,0.63116,0.37251,0.50747,0.48614,0.08623,0.0008152,0.0008152,0.0008152
30,5357.38,0.58881,0.47632,0.08031,0.68385,0.62758,0.6571,0.39778,0.49458,0.46992,0.07967,0.0008086,0.0008086,0.0008086
31,5530.76,0.59155,0.47493,0.08165,0.6974,0.65067,0.69015,0.40995,0.48489,0.46402,0.07724,0.000802,0.000802,0.000802
32,5704.46,0.58702,0.47401,0.07948,0.68756,0.65167,0.66779,0.40236,0.49638,0.45968,0.08109,0.0007954,0.0007954,0.0007954
33,5877.58,0.58148,0.47132,0.08015,0.75216,0.63389,0.68172,0.4141,0.4825,0.45697,0.07513,0.0007888,0.0007888,0.0007888
34,6051.07,0.57622,0.46726,0.07724,0.70284,0.66421,0.69264,0.42298,0.48756,0.45744,0.08187,0.0007822,0.0007822,0.0007822
35,6224.38,0.57297,0.46265,0.07548,0.75356,0.65536,0.71085,0.42776,0.48435,0.45862,0.07674,0.0007756,0.0007756,0.0007756
36,6397.65,0.56075,0.46605,0.07424,0.73243,0.65253,0.70633,0.42942,0.47671,0.45806,0.07578,0.000769,0.000769,0.000769
37,6571.12,0.55986,0.46473,0.07697,0.68457,0.68653,0.71221,0.43218,0.47729,0.45588,0.07572,0.0007624,0.0007624,0.0007624
38,6744.42,0.56057,0.45982,0.0754,0.72514,0.66487,0.70766,0.43189,0.47925,0.45639,0.07679,0.0007558,0.0007558,0.0007558
39,6917.78,0.55214,0.4574,0.07518,0.7498,0.68349,0.73041,0.45123,0.46329,0.44809,0.07364,0.0007492,0.0007492,0.0007492
40,7090.71,0.55064,0.45511,0.07343,0.75706,0.68873,0.73291,0.4537,0.47467,0.43655,0.07517,0.0007426,0.0007426,0.0007426
41,7263.97,0.55062,0.45667,0.07264,0.76619,0.70917,0.75405,0.46567,0.46107,0.43083,0.07126,0.000736,0.000736,0.000736
42,7437.04,0.55582,0.46511,0.07403,0.76745,0.66752,0.72187,0.43897,0.47943,0.45188,0.07725,0.0007294,0.0007294,0.0007294
43,7610.72,0.53809,0.45942,0.07098,0.75528,0.72838,0.75401,0.47039,0.4528,0.44141,0.07055,0.0007228,0.0007228,0.0007228
44,7783.64,0.53566,0.44887,0.06884,0.74354,0.69894,0.73263,0.44931,0.46373,0.45777,0.07361,0.0007162,0.0007162,0.0007162
45,7957,0.53389,0.45444,0.07251,0.78022,0.66904,0.73251,0.44713,0.47214,0.44931,0.07235,0.0007096,0.0007096,0.0007096
46,8130.05,0.53518,0.45108,0.06898,0.7544,0.72882,0.76208,0.47067,0.45196,0.43701,0.07091,0.000703,0.000703,0.000703
47,8303.82,0.53056,0.44813,0.06855,0.77982,0.7134,0.764,0.47111,0.45292,0.43383,0.06993,0.0006964,0.0006964,0.0006964
48,8476.72,0.52766,0.4531,0.06894,0.74431,0.71938,0.75231,0.44926,0.46651,0.44497,0.0735,0.0006898,0.0006898,0.0006898
49,8650.34,0.52468,0.44815,0.06787,0.77723,0.73467,0.77608,0.48312,0.45277,0.42838,0.06892,0.0006832,0.0006832,0.0006832
50,8823.3,0.51901,0.43987,0.06643,0.80218,0.7295,0.77178,0.49074,0.44504,0.42552,0.06759,0.0006766,0.0006766,0.0006766
51,8996.92,0.51892,0.44395,0.0663,0.78967,0.73024,0.76559,0.47231,0.45039,0.43078,0.06974,0.00067,0.00067,0.00067
52,9169.96,0.52346,0.44846,0.06732,0.78335,0.72461,0.77652,0.47982,0.44319,0.42929,0.06851,0.0006634,0.0006634,0.0006634
53,9343.62,0.52131,0.44544,0.06796,0.79693,0.73178,0.79139,0.49033,0.4404,0.43031,0.0679,0.0006568,0.0006568,0.0006568
