epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,179.888,1.96126,0.63406,0.78441,0.19482,0.0308,0.00926,0.00205,1.3328,0.50499,0.4357,0.000332428,0.000332428,0.000332428
2,356.514,1.39726,0.45983,0.37626,0.55648,0.06846,0.03069,0.00777,1.16387,0.61286,0.35783,0.000661367,0.000661367,0.000661367
3,535.632,1.28689,0.48373,0.32625,0.76882,0.10043,0.07585,0.02643,1.04917,0.59726,0.2797,0.000985906,0.000985906,0.000985906
4,710.816,1.1886,0.52601,0.27808,0.63984,0.12169,0.09395,0.03436,0.97117,0.63564,0.24588,0.0009802,0.0009802,0.0009802
5,896.212,1.07419,0.55829,0.23728,0.51819,0.20004,0.16423,0.06531,0.85633,0.66452,0.1968,0.0009736,0.0009736,0.0009736
6,1070.81,1.0346,0.55662,0.21702,0.47772,0.22368,0.20555,0.0848,0.82387,0.65046,0.18519,0.000967,0.000967,0.000967
7,1245.39,0.96727,0.55656,0.19519,0.38248,0.28722,0.24454,0.10161,0.78835,0.63201,0.16717,0.0009604,0.0009604,0.0009604
8,1420.45,0.94118,0.56222,0.1843,0.46189,0.27567,0.24684,0.10834,0.74803,0.64029,0.15822,0.0009538,0.0009538,0.0009538
9,1595.02,0.898,0.56012,0.1673,0.43114,0.35991,0.31193,0.1484,0.69952,0.60478,0.13552,0.0009472,0.0009472,0.0009472
10,1771.26,0.86479,0.54277,0.15342,0.39705,0.36352,0.32512,0.15436,0.68394,0.60122,0.13336,0.0009406,0.0009406,0.0009406
11,1946.08,0.84594,0.54327,0.15097,0.43716,0.41077,0.35261,0.17747,0.6722,0.59004,0.12527,0.000934,0.000934,0.000934
12,2121.06,0.82564,0.53365,0.14425,0.5072,0.4006,0.3731,0.19786,0.65669,0.56418,0.12431,0.0009274,0.0009274,0.0009274
13,2296.01,0.79878,0.53512,0.13738,0.4869,0.40053,0.36663,0.19218,0.66198,0.59722,0.12557,0.0009208,0.0009208,0.0009208
14,2486.33,0.76998,0.53859,0.12666,0.54021,0.41454,0.42428,0.23383,0.62068,0.55901,0.10989,0.0009142,0.0009142,0.0009142
15,2674.98,0.76143,0.53626,0.12847,0.53327,0.44371,0.42416,0.23295,0.60775,0.56918,0.11125,0.0009076,0.0009076,0.0009076
16,2865.17,0.73284,0.5285,0.11771,0.49403,0.42893,0.41466,0.22689,0.65312,0.54882,0.13943,0.000901,0.000901,0.000901
