epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,195.321,2.09951,0.57067,0.87146,0.00035,0.02445,0.00027,8e-05,2.13978,0.17523,1.55331,0.000332428,0.000332428,0.000332428
2,383.272,1.46652,0.44084,0.42605,0.74035,0.06687,0.03926,0.01173,1.16568,0.58277,0.33893,0.000661367,0.000661367,0.000661367
3,571.113,1.28594,0.48189,0.32608,0.5912,0.10116,0.08259,0.03087,1.01245,0.66951,0.25434,0.000985906,0.000985906,0.000985906
4,752.855,1.14869,0.54185,0.26509,0.47884,0.1749,0.12996,0.05019,0.92473,0.68048,0.22494,0.0009802,0.0009802,0.0009802
5,938.327,1.07718,0.56324,0.23752,0.51386,0.18649,0.1454,0.05997,0.88639,0.67792,0.20752,0.0009736,0.0009736,0.0009736
6,1119.74,1.01656,0.57068,0.2113,0.50826,0.20214,0.17901,0.07806,0.80438,0.70176,0.17369,0.000967,0.000967,0.000967
7,1305.36,0.9829,0.57679,0.20581,0.44414,0.25652,0.21392,0.09477,0.79736,0.67117,0.1622,0.0009604,0.0009604,0.0009604
8,1486.54,0.96749,0.57568,0.19536,0.38436,0.25738,0.23932,0.10781,0.75661,0.66858,0.15734,0.0009538,0.0009538,0.0009538
9,1668.3,0.93547,0.57155,0.1798,0.40103,0.31696,0.25299,0.11713,0.75665,0.63479,0.15855,0.0009472,0.0009472,0.0009472
10,1849.59,0.89334,0.55401,0.16313,0.34599,0.33173,0.2948,0.15021,0.70172,0.60448,0.13449,0.0009406,0.0009406,0.0009406
11,2031.42,0.85804,0.54639,0.15347,0.41113,0.3422,0.31066,0.15949,0.66139,0.62154,0.12368,0.000934,0.000934,0.000934
12,2212.9,0.85383,0.54352,0.15298,0.43745,0.42516,0.37405,0.19008,0.67069,0.56621,0.12201,0.0009274,0.0009274,0.0009274
13,2394.65,0.8102,0.53423,0.13772,0.43269,0.40634,0.35297,0.18548,0.66957,0.58039,0.12738,0.0009208,0.0009208,0.0009208
14,2575.45,0.78706,0.53391,0.13131,0.48996,0.43167,0.40907,0.21954,0.64071,0.56006,0.12276,0.0009142,0.0009142,0.0009142
15,2757.1,0.7742,0.53968,0.13003,0.51176,0.42889,0.41653,0.22632,0.63628,0.61749,0.11408,0.0009076,0.0009076,0.0009076
16,2938.3,0.76317,0.53608,0.12653,0.4613,0.42144,0.38532,0.20521,0.66468,0.53306,0.12755,0.000901,0.000901,0.000901
17,3120.17,0.74303,0.52864,0.11945,0.5544,0.42895,0.45227,0.24492,0.61535,0.55085,0.10668,0.0008944,0.0008944,0.0008944
18,3301.64,0.72327,0.51486,0.11217,0.53043,0.44281,0.44106,0.24893,0.60002,0.53873,0.10889,0.0008878,0.0008878,0.0008878
19,3483.88,0.70611,0.51347,0.10979,0.58705,0.47545,0.49775,0.26984,0.60195,0.53347,0.10644,0.0008812,0.0008812,0.0008812
20,3665.5,0.69681,0.51475,0.1068,0.55214,0.50901,0.49211,0.27349,0.56722,0.53479,0.09634,0.0008746,0.0008746,0.0008746
21,3847.65,0.69028,0.51242,0.10395,0.49362,0.35938,0.34167,0.18812,nan,nan,nan,0.000868,0.000868,0.000868
22,4033.27,0.6768,0.52077,0.10293,0.54035,0.48158,0.47359,0.27044,0.59185,0.53943,0.11072,0.0008614,0.0008614,0.0008614
23,4221.23,0.66705,0.51826,0.1008,0.63839,0.54669,0.55889,0.31839,0.54687,0.49695,0.09176,0.0008548,0.0008548,0.0008548
