epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,210.977,1.88391,0.67748,0.75835,0.53296,0.03135,0.01167,0.00302,1.37354,0.52977,0.49617,0.000332428,0.000332428,0.000332428
2,415.682,1.30585,0.49312,0.34632,0.57369,0.10818,0.06138,0.02146,1.0243,0.7441,0.27292,0.000661367,0.000661367,0.000661367
3,618.501,1.15647,0.54628,0.27053,0.78886,0.11387,0.10478,0.04287,0.897,0.70549,0.20449,0.000985906,0.000985906,0.000985906
4,821.829,1.0532,0.59615,0.22449,0.47183,0.18383,0.1347,0.06074,0.82308,0.70603,0.19023,0.0009802,0.0009802,0.0009802
5,1027.88,0.97591,0.58108,0.19817,0.49991,0.23439,0.20641,0.09212,0.77549,0.65839,0.1635,0.0009736,0.0009736,0.0009736
6,1230.88,0.93557,0.57849,0.18095,0.48007,0.25641,0.23576,0.10682,0.75139,0.70827,0.15002,0.000967,0.000967,0.000967
7,1433.85,0.89116,0.58037,0.16787,0.42364,0.34979,0.27474,0.1299,0.72405,0.64651,0.14887,0.0009604,0.0009604,0.0009604
8,1637.12,0.87334,0.55573,0.15996,0.5427,0.3236,0.309,0.16055,0.66621,0.60733,0.12309,0.0009538,0.0009538,0.0009538
9,1840.33,0.82341,0.56396,0.14462,0.3658,0.39026,0.3213,0.15909,0.67308,0.63279,0.13149,0.0009472,0.0009472,0.0009472
10,2048.74,0.81195,0.54382,0.1369,0.48602,0.39558,0.37862,0.19646,0.64414,0.56128,0.11962,0.0009406,0.0009406,0.0009406
11,2251.91,0.77997,0.54771,0.132,0.48186,0.42115,0.40671,0.21211,0.64152,0.55885,0.11982,0.000934,0.000934,0.000934
12,2454.7,0.76292,0.53366,0.12716,0.45968,0.4269,0.3944,0.211,0.65192,0.59787,0.12133,0.0009274,0.0009274,0.0009274
13,2655.03,0.75077,0.53316,0.12261,0.50037,0.49143,0.45894,0.25314,0.58768,0.54329,0.10077,0.0009208,0.0009208,0.0009208
14,2854.49,0.71473,0.53012,0.11341,0.57689,0.49787,0.49283,0.28064,0.58664,0.52969,0.10372,0.0009142,0.0009142,0.0009142
15,3054.49,0.71909,0.53504,0.11455,0.47536,0.50759,0.45093,0.25631,0.59041,0.56836,0.10442,0.0009076,0.0009076,0.0009076
16,3254.37,0.67622,0.52236,0.10231,0.54593,0.53212,0.51477,0.29597,0.5584,0.5238,0.09317,0.000901,0.000901,0.000901
17,3454.06,0.66545,0.50959,0.09862,0.60244,0.54251,0.55301,0.32498,0.55106,0.50474,0.09236,0.0008944,0.0008944,0.0008944
18,3653.94,0.66337,0.51793,0.09928,0.64712,0.5179,0.54703,0.31289,0.54424,0.5137,0.09225,0.0008878,0.0008878,0.0008878
19,3853.5,0.64503,0.4997,0.09381,0.64678,0.48274,0.53382,0.3045,0.55618,0.51099,0.09749,0.0008812,0.0008812,0.0008812
20,4053.24,0.63767,0.50004,0.09109,0.6411,0.53879,0.57477,0.33125,0.55202,0.50321,0.09599,0.0008746,0.0008746,0.0008746
21,4252.55,0.64465,0.50145,0.09257,0.61315,0.55677,0.59275,0.34332,0.53587,0.4994,0.09115,0.000868,0.000868,0.000868
22,4452.66,0.61898,0.50184,0.08883,0.63034,0.60116,0.5952,0.35781,0.52147,0.51321,0.08765,0.0008614,0.0008614,0.0008614
23,4654.77,0.61333,0.49556,0.08798,0.69745,0.56426,0.63497,0.36426,0.52059,0.48306,0.08516,0.0008548,0.0008548,0.0008548
