epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,189.475,1.90278,0.82046,0.77205,0.33786,0.03417,0.00182,0.00046,1.58986,0.485,0.5225,0.000332428,0.000332428,0.000332428
2,375.377,1.33,0.49102,0.35702,0.74753,0.11072,0.05261,0.01881,1.03063,0.72342,0.29442,0.000661367,0.000661367,0.000661367
3,564.615,1.15657,0.576,0.27306,0.76799,0.11396,0.09077,0.03917,0.90305,0.72537,0.22071,0.000985906,0.000985906,0.000985906
4,749.434,1.07629,0.58508,0.24128,0.5371,0.20486,0.14139,0.06271,0.85246,0.69944,0.19996,0.0009802,0.0009802,0.0009802
5,932.081,1.00294,0.59238,0.21235,0.6876,0.17542,0.15584,0.07923,0.78179,0.71553,0.17298,0.0009736,0.0009736,0.0009736
6,1116.86,0.958,0.58764,0.19156,0.41627,0.24906,0.19355,0.09318,0.74469,0.71232,0.1465,0.000967,0.000967,0.000967
7,1300.26,0.91097,0.58062,0.17539,0.34683,0.32802,0.25768,0.1233,0.71248,0.657,0.14453,0.0009604,0.0009604,0.0009604
8,1485.98,0.88542,0.56557,0.16563,0.43512,0.32677,0.29763,0.14734,0.70139,0.61828,0.14489,0.0009538,0.0009538,0.0009538
9,1676.4,0.84988,0.56624,0.15164,0.4507,0.34224,0.32155,0.15869,0.66295,0.63287,0.12604,0.0009472,0.0009472,0.0009472
10,1866.62,0.84766,0.54874,0.15037,0.45719,0.37773,0.34636,0.17942,0.67822,0.60687,0.13141,0.0009406,0.0009406,0.0009406
11,2051.05,0.79324,0.55262,0.13515,0.46728,0.42877,0.38273,0.20447,0.65694,0.58684,0.12108,0.000934,0.000934,0.000934
12,2235.34,0.769,0.55123,0.12907,0.39949,0.40948,0.36221,0.19912,0.62764,0.63647,0.11885,0.0009274,0.0009274,0.0009274
13,2420.24,0.76336,0.54099,0.12523,0.48593,0.429,0.41876,0.22207,0.61407,0.57071,0.10993,0.0009208,0.0009208,0.0009208
14,2604.29,0.73959,0.53916,0.11769,0.47513,0.4545,0.42162,0.23197,0.61325,0.64008,0.11016,0.0009142,0.0009142,0.0009142
15,2788.67,0.73028,0.53809,0.11848,0.52676,0.43691,0.45469,0.24974,0.60306,0.53394,0.10733,0.0009076,0.0009076,0.0009076
16,2972.43,0.70689,0.52787,0.11019,0.53396,0.47828,0.46591,0.26223,0.58738,0.55586,0.10249,0.000901,0.000901,0.000901
17,3156.53,0.69006,0.52327,0.10501,0.60248,0.51667,0.52692,0.30589,0.57194,0.51377,0.10048,0.0008944,0.0008944,0.0008944
18,3339.78,0.68885,0.51055,0.10538,0.57853,0.52589,0.5217,0.30052,0.57591,0.51101,0.09677,0.0008878,0.0008878,0.0008878
19,3523.92,0.66614,0.50772,0.09923,0.57429,0.52556,0.52129,0.28769,0.57291,0.53718,0.09755,0.0008812,0.0008812,0.0008812
20,3707.35,0.66264,0.50902,0.09728,0.598,0.55942,0.55523,0.32033,0.54333,0.5112,0.08773,0.0008746,0.0008746,0.0008746
21,3891.68,0.66658,0.50547,0.09863,0.61243,0.53917,0.55864,0.32251,0.54226,0.51346,0.09128,0.000868,0.000868,0.000868
22,4075.32,0.6451,0.50236,0.09453,0.62647,0.56858,0.57416,0.33273,0.53293,0.50156,0.08921,0.0008614,0.0008614,0.0008614
23,4260.6,0.63909,0.50069,0.09367,0.65982,0.56096,0.60314,0.35199,0.52268,0.48872,0.0862,0.0008548,0.0008548,0.0008548
24,4444.29,0.62856,0.49643,0.09096,0.59493,0.53696,0.54756,0.31797,0.54322,0.50516,0.09274,0.0008482,0.0008482,0.0008482
25,4628.92,0.62796,0.49916,0.09245,0.70747,0.58713,0.61755,0.36,0.5075,0.4789,0.08098,0.0008416,0.0008416,0.0008416
26,4812.69,0.60645,0.48871,0.08814,0.70517,0.57738,0.62668,0.36696,0.51408,0.48801,0.08614,0.000835,0.000835,0.000835
27,4997.69,0.61535,0.49682,0.08841,0.56528,0.57562,0.53444,0.31972,0.51607,0.53457,0.08742,0.0008284,0.0008284,0.0008284
28,5181.21,0.61863,0.49316,0.08766,0.69921,0.60851,0.64691,0.38774,0.50318,0.47041,0.08246,0.0008218,0.0008218,0.0008218
29,5366.14,0.60133,0.48278,0.084,0.67942,0.59601,0.62327,0.36483,0.51868,0.47625,0.0888,0.0008152,0.0008152,0.0008152
30,5550.21,0.5969,0.48136,0.08264,0.70919,0.60384,0.63887,0.38197,0.51258,0.46762,0.08579,0.0008086,0.0008086,0.0008086
31,5735.64,0.59362,0.47919,0.08169,0.7239,0.62163,0.66805,0.39629,0.49474,0.47502,0.07987,0.000802,0.000802,0.000802
32,5918.93,0.6007,0.47929,0.08291,0.75677,0.59868,0.67248,0.38777,0.49941,0.45815,0.0813,0.0007954,0.0007954,0.0007954
