epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,286.907,1.87896,0.66717,0.7442,0.52212,0.02986,0.00787,0.00185,1.33401,0.53073,0.43357,0.00033288,0.00033288,0.00033288
2,484.541,1.30057,0.51832,0.35774,0.74626,0.09179,0.05677,0.02243,0.98734,0.72843,0.27234,0.000661816,0.000661816,0.000661816
3,683.149,1.14814,0.57805,0.2823,0.76341,0.10646,0.07633,0.0336,0.877,0.8218,0.2128,0.000986352,0.000986352,0.000986352
4,879.644,1.05459,0.59574,0.23167,0.46663,0.17657,0.14602,0.06702,0.82982,0.67214,0.19763,0.0009802,0.0009802,0.0009802
5,1082.67,0.99965,0.58808,0.21929,0.47042,0.1858,0.16837,0.07852,0.78239,0.70879,0.16436,0.0009736,0.0009736,0.0009736
6,1276.46,0.9547,0.57639,0.19653,0.5078,0.24818,0.2105,0.09939,0.76769,0.68143,0.19096,0.000967,0.000967,0.000967
7,1482.9,0.90813,0.57554,0.18574,0.54645,0.28104,0.25937,0.12306,0.74601,0.64328,0.16664,0.0009604,0.0009604,0.0009604
8,1688.33,0.88001,0.56799,0.17166,0.45047,0.30221,0.28716,0.13653,0.7185,0.65867,0.13966,0.0009538,0.0009538,0.0009538
9,1888.09,0.85141,0.57753,0.15821,0.43409,0.4009,0.35754,0.18126,0.65698,0.61732,0.12866,0.0009472,0.0009472,0.0009472
10,2088.01,0.80919,0.54201,0.14462,0.46787,0.42551,0.39292,0.20405,0.63248,0.56865,0.1158,0.0009406,0.0009406,0.0009406
11,2288.41,0.78019,0.55925,0.13831,0.41642,0.39761,0.34652,0.18998,0.61441,0.60474,0.11249,0.000934,0.000934,0.000934
12,2493.25,0.76785,0.54792,0.13374,0.53382,0.40459,0.40653,0.21517,0.61186,0.58352,0.11052,0.0009274,0.0009274,0.0009274
13,2696.82,0.74471,0.53619,0.12455,0.53757,0.45661,0.44632,0.2381,0.59477,0.54694,0.10923,0.0009208,0.0009208,0.0009208
14,2894,0.72963,0.5539,0.12261,0.49422,0.47139,0.43669,0.24676,0.57573,0.56675,0.09973,0.0009142,0.0009142,0.0009142
15,3089.22,0.71799,0.52995,0.12067,0.4607,0.4912,0.44665,0.25524,0.57909,0.54417,0.10447,0.0009076,0.0009076,0.0009076
16,3283.79,0.69431,0.52474,0.11145,0.5506,0.47656,0.4942,0.28469,0.55614,0.53332,0.09473,0.000901,0.000901,0.000901
17,3479.23,0.69055,0.5254,0.11241,0.55332,0.50453,0.49581,0.28412,0.54508,0.52983,0.09358,0.0008944,0.0008944,0.0008944
18,3677.88,0.67958,0.51508,0.10923,0.57523,0.48807,0.50503,0.29581,0.53831,0.51318,0.09023,0.0008878,0.0008878,0.0008878
19,3879.57,0.66406,0.51839,0.10324,0.63201,0.49594,0.53215,0.2976,0.53751,0.52982,0.0918,0.0008812,0.0008812,0.0008812
20,4077.66,0.66087,0.51452,0.10347,0.55944,0.53542,0.52461,0.30296,0.53863,0.48926,0.0929,0.0008746,0.0008746,0.0008746
21,4273.74,0.64739,0.51463,0.09961,0.5973,0.55766,0.55794,0.32157,0.52486,0.4972,0.08939,0.000868,0.000868,0.000868
22,4468.52,0.63553,0.51788,0.09718,0.637,0.53535,0.5763,0.33674,0.51053,0.49136,0.08574,0.0008614,0.0008614,0.0008614
23,4664.27,0.61956,0.50697,0.09334,0.65598,0.55203,0.59123,0.34779,0.51267,0.48797,0.08744,0.0008548,0.0008548,0.0008548
24,4863.91,0.60914,0.49721,0.09085,0.65509,0.57271,0.59108,0.35111,0.50014,0.48158,0.08332,0.0008482,0.0008482,0.0008482
