epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,168.312,2.14762,0.58619,1.60707,0.00593,0.02046,0.00216,0.00056,nan,nan,nan,0.000332428,0.000332428,0.000332428
2,343.51,1.36746,0.45357,0.37278,0.41613,0.09105,0.0563,0.01652,nan,nan,nan,0.000661367,0.000661367,0.000661367
3,517.387,1.22606,0.50317,0.29859,0.77737,0.11202,0.08394,0.03157,nan,nan,nan,0.000985906,0.000985906,0.000985906
4,677.098,1.12232,0.54051,0.25185,0.78194,0.11371,0.08962,0.03558,nan,nan,nan,0.0009802,0.0009802,0.0009802
5,836.996,1.03939,0.55686,0.2249,0.71535,0.14835,0.15429,0.06574,nan,nan,nan,0.0009736,0.0009736,0.0009736
6,997.037,0.99896,0.57708,0.20438,0.50679,0.20718,0.1756,0.07414,nan,nan,nan,0.000967,0.000967,0.000967
7,1157.76,0.94474,0.56941,0.18599,0.343,0.30532,0.24035,0.11043,0.76702,0.62255,0.16309,0.0009604,0.0009604,0.0009604
8,1318.2,0.92397,0.56081,0.17881,0.36655,0.27108,0.22665,0.11499,nan,nan,nan,0.0009538,0.0009538,0.0009538
9,1492.65,0.88026,0.56662,0.16189,0.4452,0.33916,0.29063,0.14325,0.697,0.61516,0.13968,0.0009472,0.0009472,0.0009472
10,1652.45,0.86698,0.56137,0.15608,0.37449,0.36648,0.31085,0.14937,0.6754,0.62045,0.12762,0.0009406,0.0009406,0.0009406
11,1813.04,0.82748,0.5568,0.14733,0.34493,0.36033,0.2929,0.1455,0.70318,0.60891,0.15074,0.000934,0.000934,0.000934
12,1973.69,0.84003,0.55743,0.15639,0.34814,0.32303,0.26639,0.13739,nan,nan,nan,0.0009274,0.0009274,0.0009274
13,2148.35,0.82496,0.55575,0.14921,0.44316,0.34424,0.32163,0.16799,0.6759,0.61597,0.14082,0.0009208,0.0009208,0.0009208
14,2308.49,0.78388,0.55452,0.13437,0.45785,0.39624,0.38,0.20027,0.61634,0.59616,0.11357,0.0009142,0.0009142,0.0009142
15,2470.26,0.76926,0.55232,0.1324,0.48351,0.43888,0.41866,0.23622,0.6092,0.57035,0.11099,0.0009076,0.0009076,0.0009076
16,2630.36,0.73575,0.54144,0.12199,0.49326,0.44001,0.40845,0.22724,nan,nan,nan,0.000901,0.000901,0.000901
17,2790.5,0.71905,0.53532,0.11633,0.50236,0.44443,0.4316,0.24942,0.58461,0.56953,0.10716,0.0008944,0.0008944,0.0008944
18,2960.34,0.72342,0.53175,0.11581,0.49969,0.48878,0.43618,0.24528,0.58447,0.54817,0.10636,0.0008878,0.0008878,0.0008878
19,3120.16,0.69733,0.53049,0.11071,0.57523,0.46424,0.48865,0.26807,0.57231,0.54299,0.1026,0.0008812,0.0008812,0.0008812
20,3280.45,0.70502,0.53668,0.11383,0.54025,0.48403,0.4617,0.25438,0.57763,0.56677,0.11084,0.0008746,0.0008746,0.0008746
21,3448.91,0.69351,0.52937,0.10839,0.5835,0.50665,0.52581,0.29867,0.55322,0.54997,0.0943,0.000868,0.000868,0.000868
22,3619.57,0.67677,0.52593,0.1059,0.60658,0.48365,0.49679,0.28328,0.57417,0.5345,0.10894,0.0008614,0.0008614,0.0008614
23,3779.43,0.69233,0.54047,0.11112,0.51463,0.46971,0.45868,0.26641,0.57975,0.55888,0.11233,0.0008548,0.0008548,0.0008548
24,3939.4,0.66952,0.52648,0.10261,0.60663,0.5174,0.53214,0.30571,0.53482,0.52994,0.08988,0.0008482,0.0008482,0.0008482
25,4099.38,0.67179,0.52736,0.10627,0.53424,0.44046,0.44473,0.23577,0.64281,0.55415,0.15597,0.0008416,0.0008416,0.0008416
26,4259.46,0.68967,0.53728,0.1149,0.56097,0.47397,0.4826,0.26923,nan,nan,nan,0.000835,0.000835,0.000835
27,4436.1,0.67443,0.52793,0.1061,0.63232,0.51697,0.54272,0.31361,0.53292,0.51893,0.08876,0.0008284,0.0008284,0.0008284
28,4608.94,0.67326,0.52316,0.10534,0.57092,0.51594,0.52426,0.30516,0.53767,0.52834,0.0895,0.0008218,0.0008218,0.0008218
29,4772.1,0.65097,0.51115,0.0996,0.65756,0.5532,0.59122,0.33864,0.52757,0.49174,0.09278,0.0008152,0.0008152,0.0008152
30,4956.46,0.64575,0.51128,0.09624,0.6424,0.51138,0.55841,0.32327,0.53167,0.5038,0.09079,0.0008086,0.0008086,0.0008086
31,5131.24,0.64213,0.50836,0.09643,0.69988,0.56424,0.60799,0.34458,0.51597,0.4942,0.08595,0.000802,0.000802,0.000802
32,5293.63,0.64181,0.50664,0.0943,0.63277,0.55606,0.5766,0.32917,0.53456,0.50895,0.09098,0.0007954,0.0007954,0.0007954
33,5454.35,0.64972,0.5114,0.09972,0.60962,0.54457,0.54919,0.30537,0.5414,0.51367,0.09162,0.0007888,0.0007888,0.0007888
34,5614.09,0.64105,0.50064,0.0945,0.67458,0.54688,0.59778,0.34692,0.51266,0.49496,0.08618,0.0007822,0.0007822,0.0007822
35,5779.77,0.62908,0.49477,0.08923,0.704,0.60394,0.6372,0.36845,0.51471,0.48158,0.08284,0.0007756,0.0007756,0.0007756
36,5939.58,0.62672,0.50051,0.09264,0.6551,0.60065,0.61984,0.36334,0.50732,0.47538,0.085,0.000769,0.000769,0.000769
37,6117.89,0.61014,0.4933,0.09197,0.685,0.57518,0.60498,0.35396,0.52664,0.49311,0.09272,0.0007624,0.0007624,0.0007624
38,6277.63,0.61095,0.49695,0.08981,0.70386,0.60271,0.63226,0.37818,nan,nan,nan,0.0007558,0.0007558,0.0007558
39,6437.43,0.61409,0.49328,0.09135,0.65954,0.62265,0.63943,0.37915,0.5084,0.48203,0.0857,0.0007492,0.0007492,0.0007492
40,6597.69,0.60543,0.49035,0.08872,0.65295,0.60809,0.62801,0.36733,0.50833,0.49599,0.08742,0.0007426,0.0007426,0.0007426
41,6758.11,0.6011,0.48822,0.08467,0.66731,0.63467,0.64888,0.3809,0.4975,0.4756,0.09077,0.000736,0.000736,0.000736
42,6936.47,0.59251,0.48493,0.0838,0.65181,0.64835,0.63604,0.37918,0.49282,0.48096,0.08056,0.0007294,0.0007294,0.0007294
43,7118.42,0.58673,0.48942,0.08427,0.69654,0.6319,0.65251,0.37977,0.50246,0.489,0.08463,0.0007228,0.0007228,0.0007228
44,7302.29,0.58576,0.48447,0.08127,0.73124,0.64506,0.70169,0.42821,0.47998,0.46338,0.07574,0.0007162,0.0007162,0.0007162
45,7484.64,0.57555,0.47101,0.08194,0.76222,0.65504,0.69473,0.41558,0.48607,0.45496,0.076,0.0007096,0.0007096,0.0007096
46,7666.62,0.56658,0.47367,0.07609,0.76378,0.65042,0.71393,0.43522,0.4754,0.45996,0.07562,0.000703,0.000703,0.000703
47,7838.24,0.56616,0.47254,0.0772,0.76866,0.66225,0.70945,0.43548,0.47239,0.44735,0.07321,0.0006964,0.0006964,0.0006964
48,8005.63,0.56217,0.46806,0.0778,0.78304,0.68914,0.73534,0.43586,0.47164,0.44353,0.07394,0.0006898,0.0006898,0.0006898
49,8202.99,0.55639,0.46543,0.07555,0.78929,0.67044,0.73789,0.46259,0.46,0.44341,0.07038,0.0006832,0.0006832,0.0006832
50,8378.68,0.54997,0.45943,0.07351,0.7734,0.68645,0.74273,0.45189,0.46271,0.44372,0.07113,0.0006766,0.0006766,0.0006766
51,8589.78,0.55216,0.4562,0.07328,0.77789,0.69474,0.7555,0.46527,0.46214,0.44205,0.07176,0.00067,0.00067,0.00067
52,8766.45,0.54957,0.45956,0.07352,0.76365,0.68151,0.73552,0.44255,0.4609,0.44022,0.07281,0.0006634,0.0006634,0.0006634
53,8926.24,0.54427,0.45772,0.07355,0.79524,0.71778,0.7666,0.4738,0.45392,0.43633,0.07069,0.0006568,0.0006568,0.0006568
54,9086.58,0.54365,0.46057,0.07116,0.79754,0.691,0.74867,0.4666,0.46004,0.43974,0.06993,0.0006502,0.0006502,0.0006502
55,9246.26,0.54443,0.46116,0.0725,0.78186,0.7011,0.75923,0.46644,0.45231,0.44419,0.07101,0.0006436,0.0006436,0.0006436
56,9429.24,0.54364,0.4585,0.0717,0.77625,0.72216,0.76666,0.47576,0.44332,0.43977,0.06668,0.000637,0.000637,0.000637
57,9627.99,0.52163,0.44719,0.06682,0.83335,0.71628,0.78008,0.48516,0.44816,0.43263,0.06838,0.0006304,0.0006304,0.0006304
58,9830.09,0.52852,0.44528,0.06781,0.78917,0.74635,0.78443,0.48676,0.4455,0.42997,0.06729,0.0006238,0.0006238,0.0006238
59,10018.1,0.52243,0.44586,0.06866,0.82894,0.73954,0.79346,0.48767,0.44368,0.42239,0.06673,0.0006172,0.0006172,0.0006172
60,10184,0.5144,0.4456,0.06761,0.7975,0.72721,0.77927,0.49048,0.4438,0.42699,0.06627,0.0006106,0.0006106,0.0006106
61,10371.3,0.52504,0.44338,0.06633,0.7945,0.75164,0.79918,0.4929,0.44045,0.43382,0.06546,0.000604,0.000604,0.000604
62,10541.2,0.52114,0.44673,0.06948,0.78282,0.70799,0.76289,0.47762,0.45637,0.43151,0.07077,0.0005974,0.0005974,0.0005974
63,10726.4,0.51976,0.44161,0.06691,0.80624,0.74656,0.80369,0.50248,0.44126,0.41736,0.06713,0.0005908,0.0005908,0.0005908
64,10906.3,0.52356,0.44515,0.0673,0.80626,0.71706,0.77554,0.48681,0.44225,0.42849,0.06741,0.0005842,0.0005842,0.0005842
65,11066.2,0.51447,0.44311,0.06806,0.81775,0.72053,0.79313,0.50037,0.44354,0.42902,0.06807,0.0005776,0.0005776,0.0005776
66,11239.9,0.52109,0.44309,0.06632,0.80952,0.74375,0.79902,0.50339,0.43344,0.42423,0.06539,0.000571,0.000571,0.000571
67,11400,0.52267,0.44287,0.06767,0.78847,0.72149,0.77907,0.48937,0.44326,0.42674,0.06672,0.0005644,0.0005644,0.0005644
68,11562.2,0.51734,0.44325,0.0663,0.79641,0.71563,0.77607,0.48753,0.4477,0.43131,0.06864,0.0005578,0.0005578,0.0005578
69,11755.6,0.53391,0.4494,0.06915,0.80451,0.73194,0.77917,0.48532,0.4478,0.42601,0.06655,0.0005512,0.0005512,0.0005512
70,11916.2,0.51405,0.44108,0.06617,0.78845,0.74927,0.78282,0.48991,0.44257,0.42748,0.06648,0.0005446,0.0005446,0.0005446
71,12100.9,0.50887,0.43777,0.0653,0.82345,0.77449,0.82356,0.51387,0.43325,0.41869,0.06619,0.000538,0.000538,0.000538
72,12314.3,0.50407,0.43881,0.06445,0.83738,0.75952,0.81911,0.51041,0.43206,0.42102,0.06388,0.0005314,0.0005314,0.0005314
73,12521.5,0.50914,0.43748,0.06439,0.82271,0.7699,0.81281,0.51454,0.4287,0.41756,0.0635,0.0005248,0.0005248,0.0005248
74,12752.4,0.50086,0.43038,0.06441,0.81472,0.75601,0.81158,0.5203,0.43065,0.41374,0.06412,0.0005182,0.0005182,0.0005182
75,12917.1,0.49681,0.43066,0.06235,0.82471,0.76616,0.81666,0.52344,0.42714,0.41434,0.06267,0.0005116,0.0005116,0.0005116
76,13129.2,0.50176,0.43334,0.06515,0.82042,0.78286,0.81563,0.51535,0.42879,0.4152,0.06311,0.000505,0.000505,0.000505
77,13366.3,0.50011,0.4406,0.06404,0.82661,0.76013,0.81398,0.51708,0.42615,0.41289,0.06341,0.0004984,0.0004984,0.0004984
78,13604.4,0.50036,0.43024,0.06261,0.83133,0.77548,0.81977,0.52293,0.42909,0.41136,0.06423,0.0004918,0.0004918,0.0004918
79,13815.6,0.49324,0.42991,0.06178,0.82658,0.77079,0.81972,0.52169,0.42365,0.41405,0.06172,0.0004852,0.0004852,0.0004852
80,13986.1,0.48845,0.42798,0.06034,0.83311,0.77887,0.8329,0.53061,0.4192,0.41115,0.06081,0.0004786,0.0004786,0.0004786
81,14175.6,0.48915,0.42683,0.06191,0.84837,0.76792,0.83123,0.53826,0.41558,0.41055,0.05969,0.000472,0.000472,0.000472
82,14363.8,0.48109,0.42247,0.06062,0.83992,0.77199,0.83474,0.53666,0.41731,0.40846,0.06076,0.0004654,0.0004654,0.0004654
83,14530.1,0.4864,0.42365,0.06056,0.85888,0.77089,0.83204,0.538,0.4163,0.41202,0.05899,0.0004588,0.0004588,0.0004588
84,14702.9,0.4763,0.42316,0.05852,0.86457,0.78535,0.84508,0.5426,0.41246,0.40655,0.06008,0.0004522,0.0004522,0.0004522
85,14871.5,0.48032,0.42654,0.05898,0.83427,0.77992,0.83111,0.53671,0.41446,0.41036,0.05996,0.0004456,0.0004456,0.0004456
86,15043.5,0.47431,0.4209,0.05841,0.84657,0.78355,0.83611,0.53646,0.41486,0.40802,0.06072,0.000439,0.000439,0.000439
87,15203.7,0.48995,0.42487,0.06003,0.83112,0.78295,0.83239,0.54298,0.41203,0.40852,0.06021,0.0004324,0.0004324,0.0004324
88,15363.5,0.4792,0.42096,0.05829,0.8472,0.79355,0.84397,0.54701,0.41003,0.40933,0.0596,0.0004258,0.0004258,0.0004258
89,15524.6,0.48121,0.423,0.05922,0.87187,0.80023,0.84167,0.54576,0.414,0.40844,0.06049,0.0004192,0.0004192,0.0004192
90,15696.6,0.47488,0.42112,0.05892,0.85085,0.78683,0.84143,0.54755,0.41406,0.4047,0.05973,0.0004126,0.0004126,0.0004126
91,15857.4,0.47699,0.42079,0.05821,0.83265,0.81238,0.84274,0.54428,0.40907,0.40813,0.058,0.000406,0.000406,0.000406
92,16029.1,0.47101,0.42125,0.05962,0.85096,0.78759,0.83669,0.53672,0.41423,0.40776,0.0609,0.0003994,0.0003994,0.0003994
93,16189.5,0.4649,0.42037,0.05789,0.85343,0.79226,0.84136,0.5413,0.41162,0.40277,0.05934,0.0003928,0.0003928,0.0003928
94,16349.5,0.47916,0.42167,0.05923,0.84994,0.78502,0.83605,0.53988,0.41527,0.4136,0.06138,0.0003862,0.0003862,0.0003862
95,16509.1,0.47051,0.42149,0.05811,0.85489,0.79353,0.84141,0.5444,0.40977,0.40788,0.05967,0.0003796,0.0003796,0.0003796
96,16672.2,0.46963,0.41538,0.05631,0.83817,0.8025,0.8404,0.54495,0.40837,0.40422,0.05889,0.000373,0.000373,0.000373
97,16836.1,0.47579,0.41981,0.05894,0.8484,0.79714,0.85009,0.55126,0.4103,0.40711,0.06007,0.0003664,0.0003664,0.0003664
98,17040,0.46939,0.41408,0.05744,0.85622,0.8161,0.86068,0.55996,0.40864,0.40504,0.05906,0.0003598,0.0003598,0.0003598
99,17228.7,0.45884,0.41295,0.05683,0.87766,0.77427,0.84681,0.5511,0.40521,0.40361,0.05906,0.0003532,0.0003532,0.0003532
100,17417.1,0.46281,0.41366,0.05614,0.86585,0.79566,0.8436,0.54967,0.40594,0.40452,0.05765,0.0003466,0.0003466,0.0003466
101,17596,0.46227,0.41231,0.05634,0.86319,0.808,0.85329,0.55795,0.40278,0.40578,0.05881,0.00034,0.00034,0.00034
102,17755.2,0.4612,0.41524,0.05653,0.85312,0.80992,0.85725,0.5565,0.40133,0.40341,0.05864,0.0003334,0.0003334,0.0003334
103,17914.2,0.45764,0.41175,0.05475,0.85424,0.80823,0.84831,0.55677,0.4003,0.40344,0.05714,0.0003268,0.0003268,0.0003268
104,18074.1,0.45202,0.40989,0.05445,0.84146,0.79041,0.84335,0.5571,0.39999,0.40566,0.0566,0.0003202,0.0003202,0.0003202
105,18233.2,0.45465,0.40676,0.0549,0.84888,0.81041,0.85222,0.55806,0.40221,0.40196,0.05809,0.0003136,0.0003136,0.0003136
106,18393.1,0.45714,0.40659,0.05361,0.84004,0.81061,0.85085,0.56182,0.39933,0.40573,0.05625,0.000307,0.000307,0.000307
107,18552.7,0.45166,0.40681,0.05478,0.84129,0.82668,0.84874,0.55408,0.40085,0.40253,0.05742,0.0003004,0.0003004,0.0003004
108,18712.4,0.45033,0.40427,0.05422,0.8697,0.78538,0.84522,0.5536,0.40227,0.40164,0.0556,0.0002938,0.0002938,0.0002938
109,18872,0.44897,0.40785,0.05417,0.84899,0.80283,0.84788,0.55517,0.39975,0.40198,0.05635,0.0002872,0.0002872,0.0002872
110,19031,0.44569,0.40602,0.05188,0.86879,0.80654,0.8606,0.56497,0.39561,0.40023,0.05638,0.0002806,0.0002806,0.0002806
111,19190.9,0.44706,0.40504,0.05387,0.87884,0.8032,0.85969,0.56392,0.39706,0.40049,0.05567,0.000274,0.000274,0.000274
112,19350.2,0.44913,0.40368,0.05294,0.8849,0.80128,0.86161,0.56625,0.39566,0.39771,0.05629,0.0002674,0.0002674,0.0002674
113,19510.4,0.44295,0.40185,0.05129,0.86797,0.82112,0.86464,0.57013,0.39392,0.3978,0.05533,0.0002608,0.0002608,0.0002608
114,19669.6,0.4451,0.40784,0.05181,0.88687,0.81308,0.86913,0.57017,0.39577,0.39734,0.05587,0.0002542,0.0002542,0.0002542
115,19829.6,0.44158,0.40471,0.05172,0.87371,0.81138,0.85882,0.5692,0.39323,0.39928,0.05455,0.0002476,0.0002476,0.0002476
116,19989,0.4441,0.40511,0.05104,0.85008,0.81498,0.8557,0.56702,0.39392,0.39615,0.05593,0.000241,0.000241,0.000241
117,20148.8,0.43449,0.40219,0.05229,0.87197,0.80205,0.86044,0.56869,0.39443,0.39874,0.05569,0.0002344,0.0002344,0.0002344
118,20308.4,0.4383,0.40177,0.05097,0.87292,0.80323,0.86448,0.57268,0.39427,0.39772,0.0552,0.0002278,0.0002278,0.0002278
119,20467.7,0.43752,0.40414,0.05257,0.86377,0.81457,0.86272,0.57157,0.39503,0.39791,0.0555,0.0002212,0.0002212,0.0002212
120,20627.9,0.43819,0.40067,0.05195,0.86089,0.81333,0.85895,0.56622,0.39398,0.39669,0.05505,0.0002146,0.0002146,0.0002146
121,20787.3,0.43505,0.39985,0.05184,0.86992,0.81996,0.86654,0.57156,0.39276,0.39569,0.05588,0.000208,0.000208,0.000208
122,20947.4,0.42988,0.39781,0.0513,0.86784,0.82164,0.86733,0.57471,0.39415,0.39306,0.0558,0.0002014,0.0002014,0.0002014
123,21106.6,0.4301,0.39756,0.05107,0.86024,0.83146,0.8664,0.57557,0.39287,0.39506,0.0552,0.0001948,0.0001948,0.0001948
124,21266.4,0.43069,0.40072,0.05073,0.86726,0.82122,0.86552,0.57493,0.39147,0.39616,0.05457,0.0001882,0.0001882,0.0001882
125,21425.7,0.4348,0.39649,0.05073,0.88181,0.81024,0.86534,0.57676,0.39248,0.39615,0.05489,0.0001816,0.0001816,0.0001816
126,21585.8,0.42926,0.39581,0.04924,0.87228,0.8258,0.87159,0.58159,0.39105,0.39427,0.05499,0.000175,0.000175,0.000175
127,21745.5,0.42957,0.39514,0.0494,0.86586,0.82772,0.86851,0.58001,0.39177,0.39607,0.05449,0.0001684,0.0001684,0.0001684
128,21904.8,0.43043,0.39637,0.05047,0.87565,0.81226,0.8638,0.57429,0.39508,0.39561,0.05617,0.0001618,0.0001618,0.0001618
129,22064.8,0.42525,0.39597,0.04925,0.8651,0.81518,0.86539,0.5771,0.38993,0.39419,0.05485,0.0001552,0.0001552,0.0001552
130,22223.9,0.4283,0.39215,0.0492,0.86884,0.82196,0.87313,0.58056,0.38869,0.39341,0.0548,0.0001486,0.0001486,0.0001486
131,22383.8,0.41374,0.39097,0.04867,0.86862,0.82536,0.86837,0.58136,0.38817,0.39319,0.05454,0.000142,0.000142,0.000142
132,22543,0.4167,0.39202,0.04849,0.87679,0.82586,0.87018,0.58268,0.38908,0.39311,0.05441,0.0001354,0.0001354,0.0001354
133,22702.9,0.41908,0.39383,0.04957,0.88146,0.8224,0.87127,0.58381,0.38827,0.39443,0.0543,0.0001288,0.0001288,0.0001288
134,22862.2,0.41289,0.39145,0.04943,0.86806,0.83149,0.87111,0.58306,0.39166,0.39134,0.05504,0.0001222,0.0001222,0.0001222
135,23022,0.41996,0.38832,0.04789,0.87446,0.82567,0.87167,0.58233,0.38912,0.39425,0.05453,0.0001156,0.0001156,0.0001156
136,23181.6,0.41409,0.39013,0.04795,0.87064,0.83434,0.8747,0.58559,0.38816,0.39285,0.05462,0.000109,0.000109,0.000109
137,23340.6,0.41629,0.38786,0.04789,0.86171,0.84765,0.87316,0.58615,0.38833,0.39247,0.0545,0.0001024,0.0001024,0.0001024
138,23500.6,0.41022,0.38859,0.0498,0.86238,0.83527,0.87467,0.58636,0.38853,0.39187,0.05451,9.58e-05,9.58e-05,9.58e-05
139,23659.8,0.41647,0.38775,0.04668,0.87516,0.81968,0.87402,0.58738,0.38764,0.39119,0.0543,8.92e-05,8.92e-05,8.92e-05
140,23819.9,0.41154,0.3883,0.04799,0.89095,0.82642,0.87745,0.589,0.38894,0.3882,0.05462,8.26e-05,8.26e-05,8.26e-05
141,24008.5,0.38277,0.37854,0.04795,0.89818,0.82033,0.87522,0.58614,0.38996,0.38957,0.05531,7.6e-05,7.6e-05,7.6e-05
142,24167.8,0.37873,0.37638,0.0471,0.86741,0.8362,0.86961,0.58532,0.38787,0.38919,0.05517,6.94e-05,6.94e-05,6.94e-05
143,24326.2,0.38086,0.37619,0.04745,0.8882,0.83836,0.87229,0.58774,0.38818,0.38947,0.05455,6.28e-05,6.28e-05,6.28e-05
144,24485.5,0.37846,0.376,0.04635,0.87663,0.8246,0.87057,0.58589,0.3887,0.38962,0.0549,5.62e-05,5.62e-05,5.62e-05
145,24644.4,0.3749,0.37372,0.04639,0.87519,0.83611,0.86831,0.58569,0.38701,0.38965,0.0543,4.96e-05,4.96e-05,4.96e-05
146,24803,0.37737,0.37183,0.04633,0.88806,0.82888,0.87202,0.59127,0.38598,0.38882,0.05421,4.3e-05,4.3e-05,4.3e-05
147,24962.3,0.3726,0.37165,0.04574,0.8832,0.82396,0.87083,0.59072,0.38583,0.38768,0.05417,3.64e-05,3.64e-05,3.64e-05
148,25120.7,0.37286,0.37434,0.04594,0.88874,0.82573,0.86878,0.58875,0.38439,0.39027,0.0541,2.98e-05,2.98e-05,2.98e-05
149,25280.3,0.37102,0.37136,0.04594,0.89034,0.82838,0.87071,0.58984,0.38413,0.38982,0.05404,2.32e-05,2.32e-05,2.32e-05
150,25438.8,0.36958,0.37023,0.04501,0.86986,0.83619,0.86997,0.58845,0.3842,0.38932,0.05424,1.66e-05,1.66e-05,1.66e-05
