epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,173.031,2.00027,0.67877,0.86012,0.00245,0.06558,0.0031,0.00064,1.41864,0.4803,0.47872,0.000332428,0.000332428,0.000332428
2,336.457,1.36645,0.46699,0.3759,0.74888,0.08755,0.05213,0.01598,1.09827,0.60357,0.32848,0.000661367,0.000661367,0.000661367
3,496.885,1.18725,0.52174,0.28509,0.45747,0.11548,0.09937,0.03606,0.9557,0.6581,0.23783,0.000985906,0.000985906,0.000985906
4,670.71,1.06728,0.56718,0.2293,0.64769,0.13517,0.14497,0.05573,0.85262,0.66872,0.19957,0.0009802,0.0009802,0.0009802
5,829.559,0.9933,0.59455,0.20496,0.63615,0.19301,0.1802,0.07663,0.82969,0.63505,0.18498,0.0009736,0.0009736,0.0009736
6,989.341,0.94537,0.5766,0.18285,0.57265,0.24403,0.21533,0.09745,0.77699,0.66514,0.16613,0.000967,0.000967,0.000967
7,1148.96,0.89931,0.57166,0.16892,0.29999,0.33903,0.24465,0.11708,0.75038,0.62911,0.154,0.0009604,0.0009604,0.0009604
8,1308.82,0.86959,0.55853,0.1556,0.41391,0.36181,0.31699,0.16332,0.69011,0.59492,0.12893,0.0009538,0.0009538,0.0009538
9,1468.4,0.82393,0.55866,0.13994,0.40333,0.36631,0.32209,0.1606,0.68184,0.61172,0.1293,0.0009472,0.0009472,0.0009472
10,1627.83,0.83239,0.54998,0.1446,0.50591,0.33856,0.33582,0.16711,0.70027,0.59361,0.13866,0.0009406,0.0009406,0.0009406
11,1788.6,0.79815,0.55043,0.13502,0.47467,0.39826,0.38375,0.20047,0.6359,0.57817,0.11665,0.000934,0.000934,0.000934
12,1950.84,0.77071,0.54047,0.12556,0.44075,0.39315,0.37619,0.20798,0.62695,0.62412,0.1153,0.0009274,0.0009274,0.0009274
13,2111.54,0.75748,0.53932,0.12008,0.61285,0.40786,0.43409,0.23561,0.60831,0.58472,0.10699,0.0009208,0.0009208,0.0009208
14,2274.83,0.7332,0.54377,0.11272,0.5601,0.46618,0.47459,0.2652,0.57597,0.55046,0.09687,0.0009142,0.0009142,0.0009142
15,2435.04,0.70926,0.52642,0.10924,0.57425,0.45133,0.46551,0.25762,0.59501,0.57858,0.10482,0.0009076,0.0009076,0.0009076
16,2594.77,0.69412,0.52539,0.10567,0.54819,0.50869,0.50827,0.28605,0.57061,0.52682,0.09616,0.000901,0.000901,0.000901
