epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,254.54,1.87037,0.74756,0.73807,0.71031,0.05715,0.01969,0.0055,1.21259,0.59151,0.38611,0.000332428,0.000332428,0.000332428
2,500.391,1.29121,0.53675,0.35225,0.75133,0.09353,0.06001,0.024,0.96755,0.75426,0.26406,0.000661367,0.000661367,0.000661367
3,735.66,1.10764,0.59879,0.25913,0.71748,0.12707,0.09729,0.04426,0.83921,0.7544,0.2019,0.000985906,0.000985906,0.000985906
4,968.468,1.04789,0.61256,0.2315,0.42718,0.16491,0.12032,0.05544,0.82616,0.71123,0.1918,0.0009802,0.0009802,0.0009802
5,1200.78,0.98028,0.6029,0.20873,0.7011,0.17345,0.17972,0.08711,0.77922,0.67679,0.17815,0.0009736,0.0009736,0.0009736
6,1434.68,0.94898,0.58343,0.19845,0.37241,0.28161,0.19084,0.097,0.74403,0.71294,0.15223,0.000967,0.000967,0.000967
7,1667.43,0.89031,0.59052,0.17238,0.37165,0.26076,0.22782,0.11508,0.71576,0.68627,0.14418,0.0009604,0.0009604,0.0009604
8,1899.77,0.86888,0.57696,0.16218,0.36814,0.36726,0.29218,0.15854,0.68943,0.61853,0.13324,0.0009538,0.0009538,0.0009538
9,2133.14,0.83471,0.57037,0.15085,0.43681,0.34541,0.3068,0.15754,0.67428,0.63491,0.13211,0.0009472,0.0009472,0.0009472
10,2365.15,0.80366,0.55157,0.13819,0.43065,0.40189,0.33991,0.18378,0.64449,0.64688,0.12311,0.0009406,0.0009406,0.0009406
11,2597.81,0.77423,0.54531,0.13125,0.48857,0.40971,0.39757,0.22144,0.62028,0.57826,0.11466,0.000934,0.000934,0.000934
12,2830.93,0.76681,0.54562,0.12855,0.41232,0.42849,0.36377,0.19355,0.63056,0.61831,0.11588,0.0009274,0.0009274,0.0009274
13,3065.39,0.74529,0.54705,0.12065,0.50223,0.43294,0.41359,0.22761,0.62847,0.56757,0.11289,0.0009208,0.0009208,0.0009208
14,3297.98,0.71567,0.53618,0.11181,0.51351,0.48643,0.4598,0.25647,0.59582,0.5397,0.10227,0.0009142,0.0009142,0.0009142
15,3531.24,0.71026,0.53624,0.1128,0.52819,0.46744,0.45003,0.24361,0.60679,0.54617,0.11728,0.0009076,0.0009076,0.0009076
16,3762.98,0.68757,0.53908,0.10546,0.58032,0.47077,0.48142,0.27795,0.58572,0.54898,0.10245,0.000901,0.000901,0.000901
17,3996.05,0.67814,0.52888,0.10322,0.62461,0.51167,0.53886,0.31234,0.5515,0.51586,0.09399,0.0008944,0.0008944,0.0008944
18,4228.37,0.6773,0.51608,0.10139,0.60257,0.52607,0.54317,0.2998,0.57949,0.5338,0.09614,0.0008878,0.0008878,0.0008878
19,4460.31,0.65794,0.51256,0.09863,0.58079,0.52639,0.52356,0.29921,0.55366,0.5107,0.09352,0.0008812,0.0008812,0.0008812
20,4692.66,0.67499,0.52344,0.09994,0.65693,0.52032,0.57339,0.32566,0.54575,0.52451,0.09312,0.0008746,0.0008746,0.0008746
21,4924.81,0.6531,0.51402,0.09596,0.63297,0.54227,0.5614,0.3282,0.54065,0.50703,0.09179,0.000868,0.000868,0.000868
22,5156.3,0.62818,0.50737,0.09186,0.64971,0.55468,0.57424,0.3453,0.51749,0.51348,0.08537,0.0008614,0.0008614,0.0008614
23,5388.9,0.62345,0.50104,0.09017,0.64304,0.55485,0.56812,0.33361,0.53325,0.50897,0.08986,0.0008548,0.0008548,0.0008548
24,5620.9,0.61455,0.49331,0.08681,0.63919,0.57266,0.59365,0.35615,0.51401,0.48016,0.08476,0.0008482,0.0008482,0.0008482
25,5852.54,0.60585,0.49651,0.08735,0.66857,0.56371,0.61268,0.36349,0.51399,0.48532,0.08437,0.0008416,0.0008416,0.0008416
26,6085.19,0.5946,0.49212,0.08497,0.62744,0.60858,0.62204,0.37908,0.5064,0.46513,0.082,0.000835,0.000835,0.000835
27,6317.14,0.59639,0.49079,0.084,0.67846,0.62621,0.64657,0.38284,0.50575,0.47062,0.08058,0.0008284,0.0008284,0.0008284
28,6550.39,0.5896,0.47518,0.08152,0.6928,0.61002,0.6453,0.38635,0.50093,0.46959,0.07875,0.0008218,0.0008218,0.0008218
29,6784.08,0.59203,0.47634,0.08136,0.68255,0.63511,0.65324,0.39537,0.48473,0.45507,0.07463,0.0008152,0.0008152,0.0008152
30,7016.02,0.58198,0.47727,0.07844,0.69773,0.62975,0.66218,0.40011,0.48881,0.45561,0.07568,0.0008086,0.0008086,0.0008086
31,7249.29,0.57384,0.47526,0.07803,0.67331,0.6223,0.64522,0.39156,0.50085,0.45744,0.08242,0.000802,0.000802,0.000802
32,7482.37,0.5787,0.47092,0.07704,0.69697,0.65748,0.67782,0.41072,0.48362,0.45886,0.07541,0.0007954,0.0007954,0.0007954
33,7714.68,0.56481,0.46807,0.07619,0.72707,0.63546,0.68755,0.42191,0.4801,0.45988,0.07341,0.0007888,0.0007888,0.0007888
34,7947.87,0.57664,0.46918,0.07779,0.69687,0.6697,0.68817,0.40671,0.4808,0.45336,0.07561,0.0007822,0.0007822,0.0007822
35,8180.57,0.57155,0.46548,0.07557,0.71189,0.64901,0.69682,0.43158,0.48002,0.45017,0.07439,0.0007756,0.0007756,0.0007756
36,8412.54,0.5558,0.46443,0.07364,0.73942,0.67773,0.7206,0.44858,0.46403,0.44968,0.07176,0.000769,0.000769,0.000769
37,8645.61,0.54236,0.45958,0.0734,0.74778,0.6843,0.72737,0.45062,0.46994,0.44353,0.07262,0.0007624,0.0007624,0.0007624
38,8878.38,0.54668,0.45533,0.07256,0.7821,0.67846,0.73609,0.45523,0.46348,0.43551,0.07104,0.0007558,0.0007558,0.0007558
39,9110.18,0.54186,0.45387,0.07258,0.77278,0.69045,0.73721,0.45895,0.45549,0.44363,0.06781,0.0007492,0.0007492,0.0007492
40,9343.37,0.53655,0.45421,0.0722,0.77363,0.67713,0.72361,0.45411,0.46478,0.44299,0.07298,0.0007426,0.0007426,0.0007426
41,9579.55,0.53821,0.4584,0.07109,0.75778,0.68933,0.7385,0.45431,0.45691,0.43612,0.07113,0.000736,0.000736,0.000736
42,9812.08,0.55,0.46017,0.07284,0.7705,0.69549,0.75156,0.46829,0.4617,0.43282,0.07169,0.0007294,0.0007294,0.0007294
43,10047.2,0.52242,0.45197,0.06802,0.74859,0.73173,0.74637,0.46486,0.45238,0.43411,0.0695,0.0007228,0.0007228,0.0007228
44,10286,0.52952,0.44718,0.06768,0.78904,0.7134,0.75967,0.47365,0.44949,0.43395,0.06907,0.0007162,0.0007162,0.0007162
45,10518,0.52863,0.44709,0.07048,0.77532,0.72825,0.76433,0.47166,0.45127,0.4285,0.06821,0.0007096,0.0007096,0.0007096
46,10750.7,0.5184,0.44375,0.06562,0.7588,0.72317,0.74833,0.46471,0.45112,0.43675,0.06846,0.000703,0.000703,0.000703
47,10982.7,0.5206,0.44701,0.06685,0.75604,0.75202,0.77936,0.48147,0.44582,0.43197,0.06618,0.0006964,0.0006964,0.0006964
48,11215.6,0.51909,0.4435,0.06748,0.77921,0.74051,0.78447,0.49327,0.44487,0.42144,0.06766,0.0006898,0.0006898,0.0006898
49,11448.7,0.50947,0.44143,0.06541,0.80948,0.74222,0.79108,0.49764,0.43855,0.41835,0.06592,0.0006832,0.0006832,0.0006832
50,11680.6,0.50604,0.44342,0.06387,0.7871,0.74465,0.7835,0.49693,0.43948,0.42551,0.06572,0.0006766,0.0006766,0.0006766
51,11914.4,0.50297,0.43669,0.0629,0.80048,0.76364,0.79199,0.50079,0.43508,0.41592,0.06536,0.00067,0.00067,0.00067
52,12148.4,0.5043,0.4332,0.06279,0.81219,0.7456,0.78829,0.49244,0.44117,0.41986,0.06564,0.0006634,0.0006634,0.0006634
53,12381.2,0.49683,0.43048,0.0623,0.81901,0.73511,0.78861,0.5074,0.4301,0.41511,0.06287,0.0006568,0.0006568,0.0006568
