epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,222.106,1.82371,0.69811,0.68874,0.85248,0.03211,0.01038,0.00247,nan,nan,nan,0.000332428,0.000332428,0.000332428
2,424.032,1.19679,0.55371,0.30679,0.78465,0.10578,0.0855,0.03418,0.92921,0.68665,0.263,0.000661367,0.000661367,0.000661367
3,607.193,1.0439,0.59636,0.23269,0.47441,0.1689,0.1371,0.06253,0.81006,0.69124,0.20672,0.000985906,0.000985906,0.000985906
4,793.236,0.96168,0.61125,0.19765,0.27562,0.29068,0.19261,0.08381,0.79404,0.65352,0.1891,0.0009802,0.0009802,0.0009802
5,951.776,0.91016,0.59187,0.17581,0.46665,0.24425,0.20846,0.09831,0.75781,0.64548,0.16753,0.0009736,0.0009736,0.0009736
6,1109.54,0.87703,0.58799,0.16478,0.38961,0.23597,0.2139,0.10927,0.75505,0.62708,0.15929,0.000967,0.000967,0.000967
7,1266.65,0.81712,0.57777,0.14403,0.40703,0.334,0.2915,0.14422,0.69372,0.64055,0.13455,0.0009604,0.0009604,0.0009604
8,1425.2,0.80884,0.56817,0.13966,0.38511,0.3559,0.33126,0.18009,0.66074,0.59093,0.12766,0.0009538,0.0009538,0.0009538
9,1585.84,0.77687,0.55698,0.12732,0.42308,0.40615,0.36892,0.2041,0.62777,0.58661,0.1154,0.0009472,0.0009472,0.0009472
10,1743.69,0.74842,0.54564,0.11848,0.42462,0.40584,0.37523,0.22158,0.60363,0.59798,0.10662,0.0009406,0.0009406,0.0009406
11,1901.31,0.72091,0.54888,0.11273,0.41461,0.46257,0.41461,0.23526,0.60571,0.55875,0.11228,0.000934,0.000934,0.000934
12,2058.97,0.71552,0.53518,0.11164,0.50958,0.41723,0.40775,0.23011,0.60676,0.5757,0.10746,0.0009274,0.0009274,0.0009274
13,2216.93,0.72203,0.53535,0.11233,0.52181,0.41062,0.41721,0.22592,0.60761,0.58568,0.10701,0.0009208,0.0009208,0.0009208
14,2386.69,0.68722,0.54428,0.10299,0.5576,0.46595,0.47486,0.27667,0.5722,0.54821,0.10053,0.0009142,0.0009142,0.0009142
15,2545.16,0.68013,0.52704,0.10288,0.57983,0.48463,0.49205,0.28919,0.56054,0.51438,0.09277,0.0009076,0.0009076,0.0009076
