epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,167.557,1.80641,0.7067,0.68405,0.70549,0.07678,0.02331,0.00702,1.13607,0.64335,0.3468,0.000332428,0.000332428,0.000332428
2,347.592,1.17919,0.57573,0.29762,0.76524,0.10622,0.08192,0.03051,0.96354,0.67863,0.28023,0.000661367,0.000661367,0.000661367
3,524.574,1.08783,0.60688,0.25853,0.73291,0.15782,0.13367,0.06163,0.82066,0.71174,0.20518,0.000985906,0.000985906,0.000985906
4,698.846,0.97326,0.60598,0.19979,0.43855,0.17368,0.14454,0.0635,nan,nan,nan,0.0009802,0.0009802,0.0009802
5,866.141,0.91052,0.59097,0.17644,0.29189,0.27332,0.21912,0.10743,0.72868,0.65174,0.15157,0.0009736,0.0009736,0.0009736
6,1029.22,0.87402,0.58503,0.16124,0.50815,0.25914,0.23601,0.12221,0.72736,0.6444,0.15576,0.000967,0.000967,0.000967
7,1192.18,0.82774,0.5791,0.14805,0.41253,0.29807,0.26723,0.13309,0.73537,0.64607,0.16364,0.0009604,0.0009604,0.0009604
8,1349.91,0.8085,0.58289,0.14052,0.42708,0.38,0.32277,0.17002,0.66767,0.60936,0.12996,0.0009538,0.0009538,0.0009538
9,1508.39,0.79687,0.56166,0.13425,0.40488,0.40464,0.33777,0.18524,0.658,0.60662,0.12815,0.0009472,0.0009472,0.0009472
10,1666.75,0.74759,0.55063,0.11787,0.45268,0.43172,0.3935,0.22182,0.61228,0.56787,0.10599,0.0009406,0.0009406,0.0009406
11,1825.42,0.73248,0.54513,0.11632,0.46931,0.46224,0.42874,0.23986,0.59726,0.54637,0.10383,0.000934,0.000934,0.000934
12,1983.93,0.70962,0.53867,0.10915,0.52749,0.43652,0.42123,0.24289,0.58584,0.56162,0.09919,0.0009274,0.0009274,0.0009274
13,2142.81,0.69686,0.52973,0.10455,0.51876,0.45915,0.4594,0.25706,0.57821,0.55359,0.09774,0.0009208,0.0009208,0.0009208
14,2301.58,0.68149,0.53452,0.10195,0.56275,0.48397,0.47917,0.2782,0.58763,0.53301,0.10159,0.0009142,0.0009142,0.0009142
15,2459.93,0.66932,0.53184,0.09925,0.54194,0.49945,0.4863,0.28009,0.57311,0.52799,0.0952,0.0009076,0.0009076,0.0009076
16,2618.47,0.65252,0.52513,0.09569,0.54144,0.52346,0.5057,0.29918,0.55006,0.51526,0.09199,0.000901,0.000901,0.000901
17,2776.75,0.64752,0.52014,0.09352,0.62194,0.51893,0.55008,0.31627,0.55101,0.51962,0.09185,0.0008944,0.0008944,0.0008944
18,2935.05,0.64257,0.51163,0.09146,0.59554,0.55314,0.55355,0.3304,0.53248,0.49866,0.08876,0.0008878,0.0008878,0.0008878
19,3093.21,0.62452,0.50478,0.08839,0.65042,0.53389,0.57102,0.33676,0.52988,0.50523,0.08508,0.0008812,0.0008812,0.0008812
20,3251.65,0.61986,0.50189,0.08606,0.6288,0.55924,0.56296,0.32323,0.55696,0.49924,0.09222,0.0008746,0.0008746,0.0008746
21,3409.54,0.62482,0.50295,0.08695,0.60593,0.59333,0.59428,0.35672,0.51887,0.49138,0.08526,0.000868,0.000868,0.000868
22,3567.61,0.60187,0.49709,0.08206,0.63949,0.50876,0.54294,0.28413,0.61844,0.52282,0.10526,0.0008614,0.0008614,0.0008614
23,3725.91,0.61703,0.50383,0.08826,0.62598,0.5783,0.60824,0.36136,0.52484,0.48876,0.0865,0.0008548,0.0008548,0.0008548
24,3884,0.59422,0.49206,0.0798,0.68547,0.59275,0.62742,0.38297,0.49841,0.47853,0.08068,0.0008482,0.0008482,0.0008482
25,4042.58,0.59281,0.48707,0.08155,0.67357,0.61006,0.64331,0.38432,0.50434,0.47946,0.08144,0.0008416,0.0008416,0.0008416
26,4201.14,0.58042,0.48388,0.08005,0.71153,0.59787,0.63377,0.38897,0.51385,0.46781,0.08346,0.000835,0.000835,0.000835
27,4359.88,0.58032,0.47968,0.07854,0.72333,0.61683,0.65826,0.40112,0.49327,0.45911,0.07774,0.0008284,0.0008284,0.0008284
28,4518.56,0.57603,0.47134,0.07631,0.72936,0.64982,0.68556,0.42066,0.49057,0.45258,0.07772,0.0008218,0.0008218,0.0008218
29,4677.26,0.57299,0.47038,0.07641,0.71458,0.64353,0.68569,0.41299,0.49136,0.45901,0.07887,0.0008152,0.0008152,0.0008152
30,4835.85,0.56523,0.47016,0.0746,0.70771,0.63578,0.6769,0.42109,0.48896,0.46135,0.0782,0.0008086,0.0008086,0.0008086
31,4994.39,0.5652,0.47633,0.07522,0.76831,0.61479,0.67953,0.41242,0.486,0.453,0.07701,0.000802,0.000802,0.000802
32,5153.31,0.56505,0.46606,0.07382,0.7235,0.631,0.672,0.41003,0.49124,0.45666,0.07752,0.0007954,0.0007954,0.0007954
33,5311.76,0.55282,0.46086,0.07191,0.76577,0.64124,0.69761,0.43011,0.48176,0.43385,0.0762,0.0007888,0.0007888,0.0007888
34,5470.48,0.55512,0.45774,0.07169,0.75929,0.65314,0.7123,0.4373,0.4721,0.43842,0.07377,0.0007822,0.0007822,0.0007822
35,5628.66,0.54871,0.45693,0.06946,0.78401,0.66654,0.725,0.44405,0.46328,0.43992,0.07006,0.0007756,0.0007756,0.0007756
36,5787.29,0.54021,0.46532,0.06918,0.76122,0.69584,0.73643,0.46025,0.46171,0.43949,0.07193,0.000769,0.000769,0.000769
37,5945.83,0.53554,0.45941,0.0704,0.71438,0.65917,0.69925,0.4254,0.47832,0.45461,0.07309,0.0007624,0.0007624,0.0007624
38,6104.14,0.53276,0.45473,0.06844,0.80035,0.67015,0.74028,0.45645,0.46191,0.43822,0.07019,0.0007558,0.0007558,0.0007558
