epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,190.6,1.91216,0.65868,0.77464,0.50385,0.02689,0.00165,0.0003,1.35905,0.60879,0.45415,0.000332428,0.000332428,0.000332428
2,350.02,1.46563,0.41039,0.42551,0.74534,0.06449,0.03451,0.00908,1.21638,0.55399,0.38149,0.000661367,0.000661367,0.000661367
3,507.207,1.23652,0.48627,0.30338,0.78352,0.11121,0.0814,0.0257,1.02208,0.61825,0.27856,0.000985906,0.000985906,0.000985906
4,663.47,1.13811,0.52586,0.26181,0.80571,0.12539,0.11494,0.04156,0.97905,0.59956,0.26744,0.0009802,0.0009802,0.0009802
5,803.468,1.04563,0.56027,0.22632,0.80262,0.15172,0.13462,0.05468,0.85997,0.67302,0.19861,0.0009736,0.0009736,0.0009736
6,942.779,0.99135,0.56739,0.2015,0.39451,0.21058,0.16806,0.06617,0.82859,0.73005,0.18395,0.000967,0.000967,0.000967
7,1081.22,0.95073,0.57268,0.18824,0.41739,0.27159,0.22496,0.09367,0.81841,0.62425,0.18185,0.0009604,0.0009604,0.0009604
8,1218.26,0.92005,0.55553,0.17032,0.50543,0.2808,0.24726,0.11684,0.78401,0.58891,0.16708,0.0009538,0.0009538,0.0009538
9,1354.58,0.88584,0.55424,0.1586,0.39652,0.31371,0.27902,0.12718,0.75767,0.58289,0.15235,0.0009472,0.0009472,0.0009472
10,1491.05,0.86111,0.55815,0.14772,0.37185,0.35161,0.31539,0.15544,0.70904,0.59862,0.13242,0.0009406,0.0009406,0.0009406
11,1628.49,0.83147,0.5574,0.14066,0.39713,0.37896,0.33582,0.17592,0.67684,0.5855,0.1269,0.000934,0.000934,0.000934
12,1765.81,0.80522,0.54839,0.13245,0.33408,0.37234,0.31058,0.15915,0.71081,0.57466,0.14189,0.0009274,0.0009274,0.0009274
13,1903.44,0.78394,0.53935,0.12453,0.44076,0.39196,0.3561,0.18909,0.64752,0.58119,0.11678,0.0009208,0.0009208,0.0009208
14,2040.73,0.75998,0.53777,0.11783,0.47386,0.42913,0.41365,0.22185,0.62657,0.55362,0.10955,0.0009142,0.0009142,0.0009142
15,2178.28,0.74723,0.53176,0.11657,0.45868,0.43214,0.40843,0.22702,0.62764,0.53689,0.10926,0.0009076,0.0009076,0.0009076
16,2315.92,0.71973,0.53554,0.10892,0.53937,0.46144,0.46151,0.26289,0.5992,0.53333,0.10322,0.000901,0.000901,0.000901
17,2453.37,0.70436,0.53284,0.10395,0.55626,0.5083,0.49618,0.27647,0.58508,0.5248,0.09624,0.0008944,0.0008944,0.0008944
18,2590.81,0.70291,0.53093,0.10357,0.53217,0.47679,0.48669,0.27645,0.57651,0.51762,0.09602,0.0008878,0.0008878,0.0008878
19,2728.44,0.68669,0.51978,0.10043,0.56319,0.4679,0.50033,0.28098,0.57844,0.52284,0.09634,0.0008812,0.0008812,0.0008812
20,2865.89,0.67993,0.52346,0.09849,0.51136,0.51962,0.50288,0.28304,0.58256,0.50911,0.09606,0.0008746,0.0008746,0.0008746
21,3003.38,0.66798,0.50945,0.09371,0.59396,0.52782,0.5317,0.30067,0.55286,0.50736,0.09019,0.000868,0.000868,0.000868
22,3140.49,0.65133,0.52514,0.09303,0.57388,0.54195,0.52153,0.30233,0.55259,0.50844,0.08974,0.0008614,0.0008614,0.0008614
