epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,144.755,1.65815,0.62155,0.58946,0.72562,0.07096,0.03173,0.00856,1.1434,0.60623,0.35632,0.00033288,0.00033288,0.00033288
2,347.737,1.156,0.56482,0.29197,0.7959,0.11328,0.0978,0.04236,0.90313,0.69707,0.24354,0.000661816,0.000661816,0.000661816
3,521.444,1.0388,0.58725,0.22937,0.68235,0.14904,0.13898,0.06456,0.8513,0.73588,0.20686,0.000986352,0.000986352,0.000986352
4,643.659,1.04699,0.58515,0.24363,0.5936,0.19267,0.17633,0.07975,0.81422,0.69028,0.20566,0.0009802,0.0009802,0.0009802
5,852.596,0.9377,0.58854,0.19757,0.35715,0.26098,0.21322,0.10216,0.78272,0.6184,0.17962,0.0009736,0.0009736,0.0009736
6,1008.18,0.89465,0.58068,0.17437,0.47146,0.30084,0.26493,0.13776,0.67594,0.70179,0.13008,0.000967,0.000967,0.000967
7,1176.24,0.85236,0.57721,0.16291,0.38752,0.36274,0.30702,0.15264,0.66227,0.63139,0.13012,0.0009604,0.0009604,0.0009604
8,1298.44,0.84077,0.56669,0.15534,0.45183,0.33266,0.32301,0.1702,0.70128,0.63524,0.14079,0.0009538,0.0009538,0.0009538
9,1463,0.79051,0.55883,0.13515,0.40181,0.40891,0.35682,0.1963,0.6321,0.6013,0.11946,0.0009472,0.0009472,0.0009472
10,1621.25,0.77203,0.54285,0.13132,0.46625,0.42556,0.39998,0.22681,0.59358,0.57406,0.10224,0.0009406,0.0009406,0.0009406
11,1793.61,0.74221,0.54115,0.12303,0.5099,0.40867,0.39641,0.21071,0.60685,0.5747,0.11237,0.000934,0.000934,0.000934
12,1989.11,0.7368,0.53553,0.12261,0.52094,0.40858,0.38728,0.20184,0.6322,0.56785,0.12107,0.0009274,0.0009274,0.0009274
13,2236.16,0.7286,0.55224,0.11874,0.5387,0.44144,0.43812,0.24826,0.57399,0.5658,0.09713,0.0009208,0.0009208,0.0009208
14,2452.78,0.69057,0.53022,0.10809,0.57093,0.44189,0.46629,0.27271,0.55294,0.54279,0.09522,0.0009142,0.0009142,0.0009142
15,2688.34,0.68763,0.53009,0.10891,0.51028,0.48454,0.47166,0.27377,0.55505,0.52649,0.09632,0.0009076,0.0009076,0.0009076
16,2929.93,0.66613,0.52639,0.1026,0.55927,0.51929,0.51869,0.29087,0.54393,0.51054,0.09282,0.000901,0.000901,0.000901
17,3177.62,0.66484,0.52138,0.10309,0.54398,0.52179,0.52351,0.30752,0.54307,0.51845,0.0957,0.0008944,0.0008944,0.0008944
18,3423.73,0.65663,0.51365,0.10002,0.58612,0.52547,0.52797,0.30393,0.53153,0.50463,0.08824,0.0008878,0.0008878,0.0008878
19,3683.43,0.64979,0.50981,0.09857,0.56632,0.54991,0.53587,0.32057,0.53324,0.51921,0.0919,0.0008812,0.0008812,0.0008812
20,3926.69,0.63509,0.50615,0.09401,0.57734,0.55985,0.55635,0.3236,0.52234,0.49303,0.08434,0.0008746,0.0008746,0.0008746
21,4176.59,0.63556,0.51413,0.09416,0.63686,0.4852,0.52677,0.31296,0.53747,0.49728,0.08876,0.000868,0.000868,0.000868
22,4400.54,0.61393,0.50631,0.09021,0.65363,0.56773,0.60073,0.35863,0.51274,0.47811,0.08308,0.0008614,0.0008614,0.0008614
23,4627.37,0.60329,0.49539,0.08793,0.67279,0.55551,0.5986,0.34534,0.51292,0.4775,0.08321,0.0008548,0.0008548,0.0008548
24,4871.98,0.59302,0.48855,0.08535,0.70591,0.55132,0.6128,0.36634,0.49711,0.46777,0.08166,0.0008482,0.0008482,0.0008482
25,5093.89,0.5956,0.49386,0.08596,0.66055,0.58965,0.60756,0.3553,0.5087,0.48859,0.08277,0.0008416,0.0008416,0.0008416
26,5285.69,0.58247,0.4824,0.08393,0.73461,0.5817,0.65556,0.39541,0.48042,0.45916,0.07863,0.000835,0.000835,0.000835
27,5537.21,0.58497,0.4813,0.08304,0.70101,0.59317,0.64177,0.38255,0.48334,0.46663,0.07515,0.0008284,0.0008284,0.0008284
28,5743.33,0.57613,0.47941,0.07869,0.67061,0.63621,0.66334,0.40681,0.46805,0.46109,0.07396,0.0008218,0.0008218,0.0008218
29,6002.01,0.56787,0.47753,0.07855,0.7112,0.59197,0.62409,0.36718,0.4886,0.46605,0.07968,0.0008152,0.0008152,0.0008152
30,6270.62,0.57345,0.47902,0.07904,0.71454,0.62206,0.66231,0.40692,0.47869,0.46454,0.07711,0.0008086,0.0008086,0.0008086
31,6531.49,0.56949,0.48089,0.07831,0.74371,0.61715,0.67406,0.40856,0.47513,0.4533,0.07561,0.000802,0.000802,0.000802
32,6786.35,0.57004,0.47491,0.0773,0.71598,0.648,0.69127,0.42264,0.47042,0.4478,0.07393,0.0007954,0.0007954,0.0007954
33,7064.92,0.55518,0.46457,0.07626,0.69124,0.63849,0.67503,0.41366,0.47749,0.44819,0.07555,0.0007888,0.0007888,0.0007888
34,7323.99,0.56349,0.47146,0.07785,0.73696,0.63265,0.67971,0.42525,0.46872,0.44992,0.07322,0.0007822,0.0007822,0.0007822
35,7649,0.54995,0.4625,0.07362,0.75981,0.67161,0.71736,0.44361,0.45875,0.4306,0.07209,0.0007756,0.0007756,0.0007756
36,7904.96,0.55257,0.46876,0.07503,0.7031,0.65334,0.68885,0.42071,0.47281,0.45101,0.07603,0.000769,0.000769,0.000769
37,8057.17,0.56118,0.47814,0.07836,0.69544,0.66698,0.69936,0.43225,0.4589,0.4458,0.0725,0.0007624,0.0007624,0.0007624
38,8227.14,0.54132,0.46547,0.07491,0.74646,0.67586,0.72361,0.4435,0.45356,0.43409,0.07012,0.0007558,0.0007558,0.0007558
39,8380.47,0.52826,0.45942,0.07228,0.78629,0.68725,0.73732,0.45604,0.4481,0.43083,0.06919,0.0007492,0.0007492,0.0007492
40,8559.1,0.52268,0.44922,0.06967,0.78285,0.68288,0.73242,0.45985,0.44873,0.42562,0.06869,0.0007426,0.0007426,0.0007426
41,8736.98,0.54005,0.45602,0.07131,0.76789,0.67463,0.73676,0.45634,0.45865,0.43261,0.07122,0.000736,0.000736,0.000736
42,8916.65,0.53368,0.4586,0.07169,0.75568,0.68883,0.72424,0.45455,0.45008,0.43744,0.06934,0.0007294,0.0007294,0.0007294
43,9097.34,0.51266,0.44943,0.0667,0.77338,0.72214,0.76345,0.47432,0.44192,0.42234,0.06938,0.0007228,0.0007228,0.0007228
44,9300.01,0.51649,0.4503,0.06848,0.75834,0.72368,0.76226,0.47319,0.44651,0.42377,0.06827,0.0007162,0.0007162,0.0007162
45,9532,0.51517,0.44898,0.06895,0.76769,0.70633,0.75584,0.48113,0.44023,0.42382,0.06814,0.0007096,0.0007096,0.0007096
46,9723.02,0.50764,0.44625,0.06713,0.75457,0.72378,0.76355,0.47098,0.44295,0.42971,0.06803,0.000703,0.000703,0.000703
