epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,184.835,1.72008,0.74066,0.65657,0.55888,0.07876,0.03773,0.01189,1.12795,0.6382,0.36033,0.00033288,0.00033288,0.00033288
2,425.321,1.1638,0.5653,0.3056,0.79695,0.12008,0.10381,0.04433,0.87197,0.76073,0.23635,0.000661816,0.000661816,0.000661816
3,572.325,1.02411,0.5912,0.22817,0.63033,0.15365,0.14425,0.06678,0.81907,0.68872,0.19638,0.000986352,0.000986352,0.000986352
4,699.298,0.96351,0.58909,0.19988,0.55738,0.18795,0.18034,0.08429,0.76416,0.6677,0.16448,0.0009802,0.0009802,0.0009802
5,823.049,0.8935,0.59928,0.18026,0.4634,0.27296,0.23088,0.11795,0.76552,0.62154,0.17048,0.0009736,0.0009736,0.0009736
6,946.814,0.86893,0.5802,0.16415,0.3722,0.34472,0.30104,0.15828,0.67225,0.61665,0.13449,0.000967,0.000967,0.000967
7,1071.84,0.81794,0.57884,0.14897,0.38097,0.37929,0.31699,0.16649,0.63823,0.60927,0.12042,0.0009604,0.0009604,0.0009604
8,1192.81,0.79079,0.56258,0.13711,0.48244,0.34807,0.33792,0.18547,0.62961,0.5805,0.11451,0.0009538,0.0009538,0.0009538
9,1315.04,0.75653,0.5665,0.1257,0.51726,0.35878,0.35711,0.19694,0.60292,0.60132,0.10751,0.0009472,0.0009472,0.0009472
10,1435.39,0.7389,0.54912,0.11987,0.49618,0.4513,0.43517,0.24409,0.58273,0.56127,0.10249,0.0009406,0.0009406,0.0009406
11,1558.39,0.7188,0.54849,0.11598,0.47204,0.44562,0.42592,0.23842,0.58032,0.58273,0.10415,0.000934,0.000934,0.000934
12,1680.27,0.71383,0.54041,0.1142,0.49638,0.46069,0.4392,0.2529,0.57642,0.54828,0.10331,0.0009274,0.0009274,0.0009274
13,1802.96,0.69719,0.53755,0.11029,0.53076,0.43607,0.43982,0.25278,0.56723,0.55166,0.09624,0.0009208,0.0009208,0.0009208
14,1924.89,0.67777,0.5372,0.10504,0.57314,0.45929,0.4927,0.2895,0.54323,0.52776,0.09164,0.0009142,0.0009142,0.0009142
