order,name,out_channels_orig,in_channels_orig,groups_orig,kernel_size_orig,out_channels_pruned,in_channels_pruned,groups_pruned,kernel_size_pruned,reduced,remain_ratio,reduced_ratio
0,model.0.conv,64,3,1,3x3,64,3,1,3x3,0,1.0,0.0
1,model.1.conv,128,64,64,3x3,128,64,64,3x3,0,1.0,0.0
2,model.2.cv1.conv,128,128,1,1x1,64,128,1,1x1,64,0.5,0.5
3,model.2.cv2.conv,128,192,1,1x1,128,96,1,1x1,0,1.0,0.0
4,model.2.m.0.features.0.1.conv,16,64,1,1x1,8,32,1,1x1,8,0.5,0.5
5,model.2.m.0.features.0.2.conv,16,16,16,3x3,8,8,8,3x3,8,0.5,0.5
6,model.2.m.0.features.1.1.conv,16,64,1,1x1,8,32,1,1x1,8,0.5,0.5
7,model.2.m.0.features.1.2.conv,16,16,16,3x3,8,8,8,3x3,8,0.5,0.5
8,model.2.m.0.features.2.1.conv,16,64,1,1x1,8,32,1,1x1,8,0.5,0.5
9,model.2.m.0.features.2.2.conv,16,16,16,3x3,8,8,8,3x3,8,0.5,0.5
10,model.2.m.0.features.3.1.conv,16,64,1,1x1,8,32,1,1x1,8,0.5,0.5
11,model.2.m.0.features.3.2.conv,16,16,16,3x3,8,8,8,3x3,8,0.5,0.5
12,model.2.m.0.ees.0.out_conv.conv,16,16,1,1x1,8,8,1,1x1,8,0.5,0.5
13,model.2.m.0.ees.1.out_conv.conv,16,16,1,1x1,8,8,1,1x1,8,0.5,0.5
14,model.2.m.0.ees.2.out_conv.conv,16,16,1,1x1,8,8,1,1x1,8,0.5,0.5
15,model.2.m.0.ees.3.out_conv.conv,16,16,1,1x1,8,8,1,1x1,8,0.5,0.5
16,model.2.m.0.local_conv.conv,64,64,1,3x3,32,32,1,3x3,32,0.5,0.5
17,model.2.m.0.final_conv.conv,64,128,1,1x1,32,64,1,1x1,32,0.5,0.5
18,model.3.conv,256,128,128,3x3,256,128,128,3x3,0,1.0,0.0
19,model.4.cv1.conv,256,256,1,1x1,128,256,1,1x1,128,0.5,0.5
20,model.4.cv2.conv,256,384,1,1x1,256,192,1,1x1,0,1.0,0.0
21,model.4.m.0.features.0.1.conv,32,128,1,1x1,16,64,1,1x1,16,0.5,0.5
22,model.4.m.0.features.0.2.conv,32,32,32,3x3,16,16,16,3x3,16,0.5,0.5
23,model.4.m.0.features.1.1.conv,32,128,1,1x1,16,64,1,1x1,16,0.5,0.5
24,model.4.m.0.features.1.2.conv,32,32,32,3x3,16,16,16,3x3,16,0.5,0.5
25,model.4.m.0.features.2.1.conv,32,128,1,1x1,16,64,1,1x1,16,0.5,0.5
26,model.4.m.0.features.2.2.conv,32,32,32,3x3,16,16,16,3x3,16,0.5,0.5
27,model.4.m.0.features.3.1.conv,32,128,1,1x1,16,64,1,1x1,16,0.5,0.5
28,model.4.m.0.features.3.2.conv,32,32,32,3x3,16,16,16,3x3,16,0.5,0.5
29,model.4.m.0.ees.0.out_conv.conv,32,32,1,1x1,16,16,1,1x1,16,0.5,0.5
30,model.4.m.0.ees.1.out_conv.conv,32,32,1,1x1,16,16,1,1x1,16,0.5,0.5
